Positive or Negative,Drug Type,concentration
Positive,Morphine,12
Positive,Codeine,720
Positive,Morphine,28
Positive,Codeine,778
Positive,Morphine,22
Positive,Tramadol,358
Positive,Betaxolol,212
Positive,Betaxolol,190
Positive,Metoprolol,54
Positive,Metoprolol acid,200
Positive,Methoxytamoxifen,25
Positive,Anastrozole,250
Positive,Caffeine,7000
Positive,Lorazepam,5556
Positive,Methadone,5
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
Negative,None,
