"position","wealth","industry","full_name","age","country_of_residence","city_of_residence","source","citizenship","gender"
23,50100,"Technology","Michael Dell",58,"United States","Austin","Dell Technologies","United States","M"
24,47200,"Diversified","Gautam Adani",60,"India","Ahmedabad","Infrastructure, commodities","India","M"
25,45100,"Fashion & Retail","Phil Knight & family",85,"United States","Hillsboro","Nike","United States","M"
26,45000,"Technology","Zhang Yiming",39,"China","Beijing","TikTok","China","M"
27,42900,"Fashion & Retail","Dieter Schwarz",83,"Germany","Neckarsulm","Retail","Germany","M"
28,40100,"Fashion & Retail","François Pinault & family",86,"France","Paris","Luxury goods","France","M"
29,39100,"Logistics","Klaus-Michael Kuehne",85,"Switzerland","Schindellegi","Shipping","Germany","M"
30,38900,"Food & Beverage","Giovanni Ferrero",58,"Belgium","Brussels","Nutella, chocolates","Italy","M"
31,38300,"Food & Beverage","Jacqueline Mars",83,"United States","The Plains","Candy, pet food","United States","F"
31,38300,"Food & Beverage","John Mars",87,"United States","Jackson","Candy, pet food","United States","M"
33,38000,"Diversified","Li Ka-shing",94,"Hong Kong","Unknown","Diversified","Hong Kong","M"
34,35300,"Technology","Ma Huateng",51,"China","Shenzhen","Internet media","China","M"
35,35000,"Gambling & Casinos","Miriam Adelson & family",77,"United States","Las Vegas","Casinos","United States","F"
35,35000,"Finance & Investments","Ken Griffin",54,"United States","Miami","Hedge funds","United States","M"
37,34700,"Food & Beverage","Mark Mateschitz",30,"Austria","Salzburg","Red Bull","Austria","M"
38,33400,"Automotive","Robin Zeng",54,"China","Ningde","Batteries","Hong Kong","M"
39,32600,"Fashion & Retail","Tadashi Yanai & family",74,"Japan","Tokyo","Fashion retail","Japan","M"
40,32100,"Diversified","Len Blavatnik",65,"United Kingdom","London","Music, chemicals","United States","M"
41,31600,"Fashion & Retail","Alain Wertheimer",74,"United States","New York","Chanel","France","M"
41,31600,"Fashion & Retail","Gerard Wertheimer",72,"United States","New York","Chanel","France","M"
43,31200,"Logistics","Gianluigi Aponte",82,"Switzerland","Geneva","Shipping","Switzerland","M"
43,31200,"Logistics","Rafaela Aponte-Diamant",78,"Switzerland","Geneva","Shipping","Switzerland","F"
45,30200,"Technology","Colin Zheng Huang",43,"China","Shanghai","E-commerce","China","M"
46,29700,"Manufacturing","Reinhold Wuerth & family",87,"Germany","Kuenzelsau","Fasteners","Germany","M"
47,29500,"Real Estate","Lee Shau Kee",95,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
48,28500,"Finance & Investments","Jeff Yass",64,"United States","Haverford","Trading, investments","United States","M"
49,28100,"Finance & Investments","Jim Simons",84,"United States","East Setauket","Hedge funds","United States","M"
50,27800,"Finance & Investments","Stephen Schwarzman",76,"United States","New York","Investments","United States","M"
51,27400,"Automotive","Susanne Klatten",60,"Germany","Bad Homburg","BMW, pharmaceuticals","Germany","F"
52,27000,"Metals & Mining","Gina Rinehart",69,"Australia","Perth","Mining","Australia","F"
53,26700,"Technology","William Ding",51,"China","Hangzhou","Online games","China","M"
54,26600,"Metals & Mining","Germán Larrea Mota Velasco & family",69,"Mexico","Mexico City","Mining","Mexico","M"
55,25600,"Technology","Shiv Nadar",77,"India","Delhi","software services","India","M"
56,25500,"Energy","Low Tuck Kwong",74,"Indonesia","Jakarta","Coal","Indonesia","M"
57,25300,"Finance & Investments","Thomas Peterffy",78,"United States","Palm Beach","Discount brokerage","United States","M"
58,25200,"Metals & Mining","Andrey Melnichenko & family",51,"United Arab Emirates","Ras Al Khaimah","Fertilizers, coal","Russia","M"
59,24600,"Automotive","Stefan Quandt",56,"Germany","Frankfurt","BMW","Germany","M"
60,24400,"Technology","MacKenzie Scott",52,"United States","Seattle","Amazon","United States","F"
61,24200,"Finance & Investments","R. Budi Hartono",82,"Indonesia","Kudus","Banking, tobacco","Indonesia","M"
62,23700,"Metals & Mining","Vladimir Potanin",62,"Russia","Moscow","Metals","Russia","M"
63,23500,"Technology","Jack Ma",58,"China","Hangzhou","E-commerce","China","M"
64,23400,"Manufacturing","He Xiangjian & family",80,"China","Foshan","Home appliances","China","M"
65,23100,"Metals & Mining","Iris Fontbona & family",80,"Chile","Santiago","Mining","Chile","F"
65,23100,"Manufacturing","Michael Hartono",83,"Indonesia","Kudus","Banking, tobacco","Indonesia","M"
67,22900,"Manufacturing","James Ratcliffe",70,"United Kingdom","London","Chemicals","United Kingdom","M"
68,22600,"Healthcare","Cyrus Poonawalla",81,"India","Pune","Vaccines","India","M"
69,22400,"Telecom","Masayoshi Son",65,"Japan","Tokyo","Internet, telecom","Japan","M"
70,22100,"Metals & Mining","Vladimir Lisin",66,"Russia","Moscow","Steel, transport","Russia","M"
71,22000,"Food & Beverage","Emmanuel Besnier",52,"France","Laval","Cheese","France","M"
72,21600,"Finance & Investments","Abigail Johnson",61,"United States","Milton","Fidelity","United States","F"
72,21600,"Energy","Leonid Mikhelson & family",67,"Russia","Moscow","Gas, chemicals","Russia","M"
74,21200,"Fashion & Retail","Lukas Walton",36,"United States","Chicago","Walmart","United States","M"
74,21200,"Service","Wang Wei",52,"China","Shenzhen","Package delivery","China","M"
76,21100,"Technology","Jensen Huang",60,"United States","Los Altos","Semiconductors","United States","M"
77,21000,"Fashion & Retail","Leonard Lauder",90,"United States","New York","Estee Lauder","United States","M"
77,21000,"Manufacturing","Takemitsu Takizaki",77,"Japan","Osaka","Sensors","Japan","M"
79,20900,"Metals & Mining","Alexey Mordashov & family",57,"Russia","Moscow","Steel, investments","Russia","M"
80,20500,"Energy","Vagit Alekperov",72,"Russia","Moscow","Oil","Russia","M"
81,20200,"Healthcare","Thomas Frist, Jr. & family",84,"United States","Nashville","Hospitals","United States","M"
82,19600,"Metals & Mining","Andrew Forrest",61,"Australia","Perth","Mining","Australia","M"
83,19100,"Finance & Investments","Ray Dalio",73,"United States","Greenwich","Hedge funds","United States","M"
84,19000,"Automotive","Eric Li",59,"China","Hangzhou","Automobiles","China","M"
84,19000,"Metals & Mining","Wang Wenyin",55,"China","Shenzhen","Mining, copper products","China","M"
86,18900,"Diversified","Eyal Ofer",72,"Monaco","Monte Carlo","Real estate, shipping","Israel","M"
86,18900,"Food & Beverage","Qin Yinglin",57,"China","Nanyang","Pig breeding","China","M"
88,18700,"Automotive","Wang Chuanfu",57,"China","Shenzhen","Batteries, automobiles","China","M"
89,18500,"Energy","Harold Hamm & family",77,"United States","Oklahoma City","Oil & gas","United States","M"
89,18500,"Finance & Investments","David Tepper",65,"United States","Palm Beach","Hedge funds","United States","M"
89,18500,"Energy","Gennady Timchenko",70,"Russia","Moscow","Oil, gas","Russia","M"
92,18000,"Finance & Investments","Daniel Gilbert",61,"United States","Franklin","Quicken Loans","United States","M"
93,17700,"Metals & Mining","Lakshmi Mittal",72,"United Kingdom","London","Steel","India","M"
94,17500,"Finance & Investments","Steve Cohen",66,"United States","Greenwich","Hedge funds","United States","M"
94,17500,"Finance & Investments","Carl Icahn",87,"United States","Indian Creek","Investments","United States","M"
94,17500,"Metals & Mining","Savitri Jindal & family",73,"India","Hisar","Steel","India","F"
97,17400,"Real Estate","Donald Bren",90,"United States","Newport Beach","Real estate","United States","M"
97,17400,"Fashion & Retail","John Menard, Jr.",83,"United States","Eau Claire","Home improvement stores","United States","M"
99,17100,"Media & Entertainment","Rupert Murdoch & family",92,"United States","New York","Newspapers, TV network","United States","M"
100,16700,"Finance & Investments","Vicky Safra & family",70,"Switzerland","Crans-Montana","Banking","Brazil","F"
101,16500,"Fashion & Retail","Theo Albrecht, Jr. & family",72,"Germany","Mulheim an der Ruhr","Aldi, Trader Joe's","Germany","M"
101,16500,"Finance & Investments","Renata Kellnerova & family",55,"Czech Republic","Prague","Finance, telecommunications","Czech Republic","F"
103,16300,"Healthcare","Li Xiting",72,"China","Shenzhen","medical devices","Singapore","M"
104,16200,"Fashion & Retail","Stefan Persson",75,"Sweden","Stockholm","H&M","Sweden","M"
104,16200,"Technology","Eric Schmidt",67,"United States","Atherton","Google","United States","M"
106,16000,"Finance & Investments","Michael Platt",55,"Switzerland","Geneva","Hedge funds","United Kingdom","M"
107,15900,"Food & Beverage","Pang Kang",67,"China","Foshan","Soy sauce","China","M"
108,15800,"Fashion & Retail","Karl Albrecht Jr. & family",65,"Germany","Unknown","Supermarkets","Germany","M"
108,15800,"Food & Beverage","Jorge Paulo Lemann & family",83,"Switzerland","Zurich","Beer","Brazil","M"
108,15800,"Real Estate","Peter Woo",76,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
112,15600,"Healthcare","Dilip Shanghvi",67,"India","Mumbai","Pharmaceuticals","India","M"
113,15500,"Technology","Robert Pera",45,"United States","San Jose","Wireless networking","United States","M"
114,15300,"Fashion & Retail","Radhakishan Damani",68,"India","Mumbai","Retail, investments","India","M"
115,15200,"Automotive","Huang Shilin",56,"China","Ningde","Batteries","China","M"
116,14900,"Diversified","Dhanin Chearavanont",83,"Thailand","Bangkok","Diversified","Thailand","M"
116,14900,"Fashion & Retail","David Green & family",81,"United States","Oklahoma City","Retail","United States","M"
118,14800,"Food & Beverage","Charoen Sirivadhanabhakdi",78,"Thailand","Bangkok","Alcohol, real estate","Thailand","M"
119,14700,"Food & Beverage","Charlene de Carvalho-Heineken & family",68,"United Kingdom","London","Heineken","Netherlands","F"
120,14600,"Healthcare","Xu Hang",60,"China","Shenzhen","Medical devices","Hong Kong","M"
121,14500,"Automotive","Wei Jianjun & family",59,"China","Baoding","Automobiles","China","M"
122,14400,"Metals & Mining","Alisher Usmanov",69,"Uzbekistan","Tashkent","Steel, telecom, investments","Russia","M"
123,14300,"Manufacturing","Goh Cheng Liang",95,"Singapore","Singapore","Paints","Singapore","M"
124,14200,"Diversified","Kumar Birla",55,"India","Mumbai","Commodities","India","M"
124,14200,"Manufacturing","Aliko Dangote",65,"Nigeria","Lagos","Cement, sugar","Nigeria","M"
126,14100,"Real Estate","Kwong Siu-hing",93,"Hong Kong","Hong Kong","Real estate","Hong Kong","F"
127,14000,"Diversified","Idan Ofer",67,"United Kingdom","London","Shipping","Israel","M"
128,13900,"Healthcare","Chen Bang",57,"China","Changsha","Hospitals","China","M"
128,13900,"Gambling & Casinos","Lui Che Woo",94,"Hong Kong","Hong Kong","Casinos/hotels","Hong Kong","M"
130,13700,"Logistics","John Fredriksen",78,"United Kingdom","London","Shipping","Cyprus","M"
130,13700,"Construction & Engineering","Diane Hendricks",76,"United States","Afton","Building supplies","United States","F"
130,13700,"Technology","Jan Koum",47,"United States","Atherton","WhatsApp","United States","M"
133,13300,"Sports","Jerry Jones",80,"United States","Dallas","Dallas Cowboys","United States","M"
133,13300,"Energy","George Kaiser",80,"United States","Tulsa","Oil & gas, banking","United States","M"
133,13300,"Real Estate","Joseph Lau",71,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
136,13200,"Automotive","Lu Xiangyang",60,"China","Guangzhou","Automobiles, batteries","China","M"
137,13100,"Real Estate","Harry Triguboff",90,"Australia","Sydney","Real estate","Australia","M"
138,12900,"Finance & Investments","Uday Kotak",64,"India","Mumbai","Banking","India","M"
138,12900,"Sports","Stanley Kroenke",75,"United States","Electra","Sports, real estate","United States","M"
140,12600,"Energy","Mikhail Fridman",58,"United Kingdom","London","Oil, banking, telecom","Russia","M"
141,12300,"Energy","Sarath Ratanavadi",57,"Thailand","Bangkok","Energy","Thailand","M"
142,12200,"Metals & Mining","Dang Yanbao",50,"China","Yinchuan","Coal","China","M"
142,12200,"Healthcare","Jiang Rensheng & family",69,"China","Chongqing","Vaccines","China","M"
144,12100,"Automotive","Shahid Khan",72,"United States","Naples","Auto parts","United States","M"
145,12000,"Technology","Laurene Powell Jobs & family",59,"United States","Palo Alto","Apple, Disney","United States","F"
146,11800,"Diversified","Robert Kuok",99,"Hong Kong","Hong Kong","Palm oil, shipping, property","Malaysia","M"
147,11600,"Real Estate","Stephen Ross",82,"United States","New York","Real estate","United States","M"
148,11500,"Technology","Pavel Durov",38,"United Arab Emirates","Dubai","Messaging app","United Arab Emirates","M"
148,11500,"Healthcare","Andreas Struengmann & family",73,"Germany","Tegernsee","Pharmaceuticals","Germany","M"
148,11500,"Healthcare","Thomas Struengmann & family",73,"Germany","Tegernsee","Pharmaceuticals","Germany","M"
151,11400,"Food & Beverage","Liu Hanyuan",59,"China","Chengdu","Agribusiness","China","M"
151,11400,"Fashion & Retail","Michael Rubin",50,"United States","Bryn Mawr","Online retail","United States","M"
153,11300,"Finance & Investments","Israel Englander",74,"United States","New York","Hedge funds","United States","M"
153,11300,"Manufacturing","Viatcheslav Kantor",69,"Israel","Herzliya","Fertilizer, real estate","Russia","M"
153,11300,"Manufacturing","Anthony Pratt",62,"Australia","Melbourne","Manufacturing","Australia","M"
153,11300,"Finance & Investments","Mikhail Prokhorov",57,"Switzerland","Frauenfeld","Investments","Russia","M"
157,11100,"Fashion & Retail","Giorgio Armani",88,"Italy","Milan","Luxury goods","Italy","M"
157,11100,"Fashion & Retail","Johann Rupert & family",72,"South Africa","Cape Town","Luxury goods","South Africa","M"
159,11000,"Finance & Investments","Gong Hongjia & family",58,"Hong Kong","Hong Kong","Video surveillance","Hong Kong","M"
159,11000,"Technology","Zhang Zhidong",51,"China","Shenzhen","Internet media","China","M"
161,10900,"Finance & Investments","Philip Anschutz",83,"United States","Denver","Energy, sports, entertainment","United States","M"
161,10900,"Fashion & Retail","Judy Love & family",85,"United States","Oklahoma City","Gas stations","United States","F"
161,10900,"Fashion & Retail","Ricardo Salinas Pliego & family",67,"Mexico","Mexico City","Retail, media","Mexico","M"
164,10700,"Media & Entertainment","Donald Newhouse",93,"United States","New York","Media","United States","M"
165,10600,"Sports","Robert Kraft",81,"United States","Brookline","Manufacturing, New England Patriots","United States","M"
165,10600,"Food & Beverage","Marcel Herrmann Telles",73,"Brazil","Sao Paulo","Beer","Brazil","M"
167,10500,"Finance & Investments","Suleiman Kerimov & family",57,"Russia","Moscow","Gold","Russia","M"
167,10500,"Fashion & Retail","Sky Xu",39,"China","Guangzhou","E-commerce","China","M"
167,10500,"Finance & Investments","Changpeng Zhao",45,"United Arab Emirates","Dubai","Cryptocurrency exchange","Canada","M"
170,10300,"Finance & Investments","Andrew Beal",70,"United States","Dallas","Banks, real estate","United States","M"
171,10200,"Technology","Mike Cannon-Brookes",43,"Australia","Sydney","Software","Australia","M"
171,10200,"Healthcare","Carl Cook",60,"United States","Bloomington","Medical devices","United States","M"
171,10200,"Technology","David Duffield",82,"United States","Incline Village","Business software","United States","M"
171,10200,"Energy","Jeffery Hildebrand",64,"United States","Houston","Oil","United States","M"
171,10200,"Manufacturing","Viktor Rashnikov",74,"Russia","Magnitogorsk","Steel","Russia","M"
171,10200,"Technology","Eduardo Saverin",41,"Singapore","Singapore","Facebook","Brazil","M"
171,10200,"Automotive","Georg Schaeffler",58,"Germany","Herzogenaurach","Auto parts","Germany","M"
171,10200,"Fashion & Retail","Christy Walton",74,"United States","Jackson","Walmart","United States","F"
179,10100,"Technology","Scott Farquhar",43,"Australia","Sydney","Software","Australia","M"
179,10100,"Diversified","Quek Leng Chan",81,"Malaysia","Kuala Lumpur","Banking, property","Malaysia","M"
179,10100,"Real Estate","Wu Yajun",59,"China","Beijing","Real estate","China","F"
182,10000,"Energy","Autry Stephens",85,"United States","Midland","Oil","United States","M"
183,9900,"Service","Liu Yongxing",74,"China","Shanghai","Diversified","China","M"
184,9800,"Diversified","Vinod Adani",74,"United Arab Emirates","Dubai","Infrastructure, commodities","Cyprus","M"
184,9800,"Fashion & Retail","Nicolas Puech",80,"Switzerland","Martigny","Hermes","France","M"
184,9800,"Logistics","Jacques Saadé, Jr.",51,"France","Marseille","Shipping","France","M"
184,9800,"Logistics","Rodolphe Saadé",53,"France","Marseille","Shipping","France","M"
184,9800,"Logistics","Tanya Saadé Zeenny",55,"France","Marseille","Shipping","France","F"
184,9800,"Finance & Investments","Melker Schorling & family",75,"Sweden","Stockholm","Investments","Sweden","M"
190,9700,"Manufacturing","Andrei Guriev & family",63,"Russia","Moscow","Fertilizers","Russia","M"
190,9700,"Finance & Investments","Michael Kim",59,"South Korea","Seoul","Private equity","United States","M"
190,9700,"Technology","Lei Jun",53,"China","Beijing","Smartphones","China","M"
190,9700,"Manufacturing","Friedhelm Loh",76,"Germany","Haiger","Manufacturing","Germany","M"
190,9700,"Healthcare","Sun Piaoyang",64,"China","Lianyungang","Pharmaceuticals","China","M"
195,9600,"Technology","Rick Cohen & family",70,"United States","Keene","Warehouse automation","United States","M"
195,9600,"Energy","Jin Baofang",70,"China","Xingtai","Solar panels","China","M"
195,9600,"Manufacturing","Luo Liguo & family",67,"China","Ningbo","Chemicals","China","M"
195,9600,"Food & Beverage","Marijke Mars",58,"United States","Los Angeles","Candy, pet food","United States","F"
195,9600,"Food & Beverage","Pamela Mars",62,"United States","Alexandria","Candy, pet food","United States","F"
195,9600,"Food & Beverage","Valerie Mars",64,"United States","New York","Candy, pet food","United States","F"
195,9600,"Food & Beverage","Victoria Mars",66,"United States","Philadelphia","Candy, pet food","United States","F"
202,9500,"Finance & Investments","Vincent Bolloré & family",71,"France","Paris","Investments","France","M"
202,9500,"Diversified","Jim Pattison",94,"Canada","Vancouver","Diversified","Canada","M"
204,9400,"Healthcare","Ernesto Bertarelli",57,"Switzerland","Gstaad","Biotech, investments","Switzerland","M"
204,9400,"Technology","Wang Xing",44,"China","Beijing","Food delivery","China","M"
206,9300,"Technology","Brian Chesky",41,"United States","San Francisco","Airbnb","United States","M"
206,9300,"Manufacturing","James Dyson",75,"United Kingdom","Gloucestershire","Vacuums","United Kingdom","M"
208,9200,"Diversified","Roman Abramovich & family",56,"Russia","Moscow","Steel, investments","Russia","M"
208,9200,"Diversified","Antonia Ax:son Johnson & family",79,"Sweden","Stockholm","Diversified","Sweden","F"
208,9200,"Energy","Daniel Kretinsky",47,"Czech Republic","Prague","Energy, investments","Czech Republic","M"
208,9200,"Media & Entertainment","John Malone",82,"United States","Elizabeth","Cable television","United States","M"
208,9200,"Technology","Azim Premji",77,"India","Bangalore","Software services","India","M"
208,9200,"Finance & Investments","Charles Schwab",85,"United States","Woodside","Discount brokerage","United States","M"
208,9200,"Fashion & Retail","Eric Smidt",63,"United States","Beverly Hills","Hardware stores","United States","M"
215,9000,"Technology","David Cheriton",72,"United States","Palo Alto","Google","Canada","M"
215,9000,"Metals & Mining","Ivan Glasenberg",66,"Switzerland","Ruschlikon","Mining","Switzerland","M"
215,9000,"Real Estate","Alexander Otto",55,"Germany","Hamburg","Real estate","Germany","M"
215,9000,"Food & Beverage","Anthony von Mandl",73,"Canada","Vancouver","Alcoholic beverages","Canada","M"
215,9000,"Manufacturing","Wang Liping & family",57,"China","Changzhou","Hydraulic machinery","China","M"
220,8900,"Food & Beverage","Finn Rausing",68,"United Kingdom","London","Packaging","Sweden","M"
220,8900,"Food & Beverage","Jorn Rausing",63,"United Kingdom","Surrey","Packaging","Sweden","M"
220,8900,"Food & Beverage","Kirsten Rausing",70,"United Kingdom","Newmarket","Packaging","Sweden","F"
223,8800,"Fashion & Retail","Tatyana Bakalchuk",47,"Russia","Moscow region","Ecommerce","Russia","F"
223,8800,"Technology","John Doerr",71,"United States","Woodside","Venture capital","United States","M"
223,8800,"Technology","Richard Liu",49,"China","Beijing","E-commerce","China","M"
223,8800,"Technology","Dustin Moskovitz",38,"United States","San Francisco","Facebook","United States","M"
223,8800,"Technology","Pierre Omidyar",55,"United States","Honolulu","EBay, PayPal","United States","M"
223,8800,"Energy","Pei Zhenhua",64,"China","Ningde","Batteries","China","M"
223,8800,"Energy","Carrie Perrodo & family",72,"United Kingdom","London","Oil","France","F"
230,8700,"Manufacturing","Chen Jianhua",52,"China","Wujiang","Chemicals","China","M"
230,8700,"Fashion & Retail","Michael Otto",79,"Germany","Hamburg","Retail, real estate","Germany","M"
232,8600,"Finance & Investments","Leon Black",71,"United States","New York","Private equity","United States","M"
232,8600,"Finance & Investments","Graeme Hart",67,"New Zealand","Auckland","Investments","New Zealand","M"
232,8600,"Food & Beverage","Ravi Jaipuria",68,"India","Delhi","Soft drinks, fast food","India","M"
232,8600,"Technology","Hasso Plattner & family",79,"Germany","Heidelberg","Software","Germany","M"
232,8600,"Food & Beverage","Carlos Alberto Sicupira & family",75,"Switzerland","St. Gallen","Beer","Brazil","M"
232,8600,"Real Estate","Manuel Villar",73,"Philippines","Manila","Real estate","Philippines","M"
232,8600,"Technology","Andreas von Bechtolsheim & family",67,"United States","Palo Alto","Google","Germany","M"
239,8500,"Finance & Investments","Chase Coleman, III.",47,"United States","New York","Investments","United States","M"
239,8500,"Fashion & Retail","Ann Walton Kroenke",74,"United States","Electra","Walmart","United States","F"
239,8500,"Manufacturing","Li Zhenguo & family",55,"China","Xi'an","Solar wafers and modules","China","M"
242,8400,"Media & Entertainment","Jim Kennedy",75,"United States","Atlanta","Media, automotive","United States","M"
242,8400,"Metals & Mining","Nicky Oppenheimer & family",77,"South Africa","Johannesburg","Diamonds","South Africa","M"
242,8400,"Media & Entertainment","Blair Parry-Okeden",72,"Australia","New South Wales","Media, automotive","United States","F"
242,8400,"Metals & Mining","Zheng Shuliang & family",77,"China","Binzhou","Aluminum products","China","F"
246,8300,"Fashion & Retail","John Morris",75,"United States","Springfield","Sporting goods retail","United States","M"
246,8300,"Fashion & Retail","Stefano Pessina",81,"Monaco","Monte Carlo","Drugstores","Monaco","M"
246,8300,"Finance & Investments","Francine von Finck & family",67,"Switzerland","Thurgau","Investments","Germany","F"
249,8200,"Real Estate","Francis Choi",75,"Hong Kong","Hong Kong","Real estate","Hong Kong","M"
249,8200,"Energy","German Khan",61,"Russia","Moscow","Oil, banking, telecom","Russia","M"
249,8200,"Diversified","Abdulsamad Rabiu",62,"Nigeria","Lagos","Cement, sugar","Nigeria","M"
249,8200,"Finance & Investments","George Roberts",79,"United States","Atherton","Private equity","United States","M"
249,8200,"Real Estate","Kushal Pal Singh",91,"India","Delhi","Real estate","India","M"
249,8200,"Real Estate","Wang Jianlin",68,"China","Beijing","Real estate","China","M"
249,8200,"Real Estate","Yang Huiyan & family",41,"China","Foshan","Real estate","China","F"
256,8100,"Diversified","Laurent Dassault",69,"France","Paris","Diversified","France","M"
256,8100,"Diversified","Thierry Dassault",66,"France","Paris","Diversified","France","M"
256,8100,"Food & Beverage","Tilman Fertitta",65,"United States","Houston","Houston Rockets, entertainment","United States","M"
256,8100,"Diversified","Marie-Hélène Habert-Dassault",58,"France","Paris","Diversified","France","F"
256,8100,"Gambling & Casinos","Karel Komarek",54,"Switzerland","Verbier","Oil and gas, IT, lotteries","Czech Republic","M"
261,8000,"Technology","Nathan Blecharczyk",39,"United States","San Francisco","Airbnb","United States","M"
261,8000,"Energy","Leonid Fedun",66,"Russia","Moscow","Oil","Russia","M"
261,8000,"Fashion & Retail","Bernard Marcus",93,"United States","Atlanta","Home Depot","United States","M"
261,8000,"Finance & Investments","Patrick Ryan",85,"United States","Winnetka","Insurance","United States","M"
261,8000,"Finance & Investments","Robert F. Smith",60,"United States","Austin","Private equity","United States","M"
261,8000,"Metals & Mining","Pavel Tykac",58,"Czech Republic","Prague","Coal mines","Czech Republic","M"
261,8000,"Finance & Investments","Eric Wittouck",76,"Monaco","Unknown","Investments","Belgium","M"
268,7900,"Finance & Investments","Orlando Bravo",52,"United States","Miami Beach","Private equity","United States","M"
268,7900,"Fashion & Retail","Ding Shizhong",52,"China","Quanzhou","Sports apparel","China","M"
268,7900,"Fashion & Retail","Nancy Walton Laurie",71,"United States","Henderson","Walmart","United States","F"
268,7900,"Technology","Jay Y. Lee",54,"South Korea","Seoul","Samsung","South Korea","M"
268,7900,"Finance & Investments","Ramzi Musallam",54,"United States","New York","Private equity","United States","M"
268,7900,"Finance & Investments","David Shaw",72,"United States","New York","Hedge funds","United States","M"
268,7900,"Metals & Mining","Andrei Skoch & family",57,"Russia","Moscow","Metals and mining","Russia","M"
268,7900,"Diversified","Georg Stumpf",50,"Austria","Vienna","Real estate, construction","Austria","M"
276,7800,"Telecom","Rocco Commisso",73,"United States","Saddle River","Telecom","United States","M"
276,7800,"Manufacturing","Li Shuirong & family",66,"China","Hangzhou","Petrochemicals","China","M"
276,7800,"Manufacturing","Lin Shu-hong",94,"Taiwan","Taipei","Petrochemicals","Taiwan","M"
276,7800,"Technology","Qi Shi & family",53,"China","Shanghai","Financial information","China","M"
276,7800,"Manufacturing","Yao Liangsong",58,"China","Guangzhou","Furniture","China","M"
276,7800,"Fashion & Retail","Zhang Congyuan",75,"Taiwan","Taoyuan","Shoes","Taiwan","M"
282,7700,"Food & Beverage","Jean-Michel Besnier",55,"France","Laval","Cheese","France","M"
282,7700,"Food & Beverage","Marie Besnier Beauvalot",42,"France","Laval","Cheese","France","F"
282,7700,"Media & Entertainment","David Geffen",80,"United States","Beverly Hills","Movies, record labels","United States","M"
282,7700,"Technology","Robin Li",54,"China","Beijing","Internet search","China","M"
282,7700,"Service","Liu Yonghao & family",71,"China","Chengdu","Agribusiness","China","M"
282,7700,"Technology","Henry Samueli",68,"United States","Newport Beach","Semiconductors","United States","M"
282,7700,"Healthcare","Reinhold Schmieding",68,"United States","Naples","Medical devices","United States","M"
282,7700,"Real Estate","Ivar Tollefsen",61,"Norway","Oslo","Real estate","Norway","M"
290,7600,"Energy","Cao Renxian",54,"China","Hefei","Photovoltaic equipment","China","M"
290,7600,"Healthcare","Hasmukh Chudgar & family",89,"India","Ahmedabad","Pharmaceuticals","India","M"
290,7600,"Manufacturing","Andrew Currie",67,"United Kingdom","London","Chemicals","United Kingdom","M"
290,7600,"Technology","Joe Gebbia",41,"United States","Austin","Airbnb","United States","M"
290,7600,"Real Estate","Philip Ng",64,"Singapore","Singapore","Real Estate","Singapore","M"
