"declaration_title","state","designated_area","year_declared"
"Severe Storm","NY","Erie (County)",2020
"Severe Storm","NY","Lewis (County)",2020
"Severe Storm","NY","Jefferson (County)",2020
"Severe Storm","NY","Montgomery (County)",2020
"Severe Storm","NY","Chenango (County)",2020
"Severe Storm","NY","Warren (County)",2020
"Severe Storm","NY","Oswego (County)",2020
"Severe Storm","NY","Saratoga (County)",2020
"Severe Storm","NY","Hamilton (County)",2020
"Severe Storm","NY","Cortland (County)",2020
"Severe Storm","NY","Otsego (County)",2020
"Severe Storm","NY","Herkimer (County)",2020
"Severe Storm","NY","Madison (County)",2020
"Earthquake","PR","Aguas Buenas (Municipio)",2020
"Earthquake","PR","Aibonito (Municipio)",2020
"Earthquake","PR","Adjuntas (Municipio)",2020
"Earthquake","PR","Anasco (Municipio)",2020
"Earthquake","PR","Aguadilla (Municipio)",2020
"Earthquake","PR","Aguada (Municipio)",2020
"Earthquake","PR","Arecibo (Municipio)",2020
"Earthquake","PR","Arroyo (Municipio)",2020
"Earthquake","PR","Barceloneta (Municipio)",2020
"Earthquake","PR","Caguas (Municipio)",2020
"Earthquake","PR","Cabo Rojo (Municipio)",2020
"Earthquake","PR","Camuy (Municipio)",2020
"Earthquake","PR","Corozal (Municipio)",2020
"Earthquake","PR","Culebra (Municipio)",2020
"Earthquake","PR","Comerio (Municipio)",2020
"Earthquake","PR","Carolina (Municipio)",2020
"Earthquake","PR","Catano (Municipio)",2020
"Earthquake","PR","Canovanas (Municipio)",2020
"Earthquake","PR","Barranquitas (Municipio)",2020
"Earthquake","PR","Bayamon (Municipio)",2020
"Earthquake","PR","Coamo (Municipio)",2020
"Earthquake","PR","Dorado (Municipio)",2020
"Earthquake","PR","Fajardo (Municipio)",2020
"Earthquake","PR","Ciales (Municipio)",2020
"Earthquake","PR","Guanica (Municipio)",2020
"Earthquake","PR","Ceiba (Municipio)",2020
"Earthquake","PR","Cidra (Municipio)",2020
"Earthquake","PR","Florida (Municipio)",2020
"Earthquake","PR","Guayama (Municipio)",2020
"Earthquake","PR","Cayey (Municipio)",2020
"Earthquake","PR","Guayanilla (Municipio)",2020
"Earthquake","PR","Guaynabo (Municipio)",2020
"Earthquake","PR","Gurabo (Municipio)",2020
"Earthquake","PR","Hatillo (Municipio)",2020
"Earthquake","PR","Hormigueros (Municipio)",2020
"Earthquake","PR","Humacao (Municipio)",2020
"Earthquake","PR","Isabela (Municipio)",2020
"Earthquake","PR","Jayuya (Municipio)",2020
"Earthquake","PR","Juana Diaz (Municipio)",2020
"Earthquake","PR","Lares (Municipio)",2020
"Earthquake","PR","Juncos (Municipio)",2020
"Earthquake","PR","Luquillo (Municipio)",2020
"Earthquake","PR","Loiza (Municipio)",2020
"Earthquake","PR","Las Marias (Municipio)",2020
"Earthquake","PR","Lajas (Municipio)",2020
"Earthquake","PR","Las Piedras (Municipio)",2020
"Earthquake","PR","Maunabo (Municipio)",2020
"Earthquake","PR","Mayaguez (Municipio)",2020
"Earthquake","PR","Moca (Municipio)",2020
"Earthquake","PR","Orocovis (Municipio)",2020
"Earthquake","PR","Naguabo (Municipio)",2020
"Earthquake","PR","Naranjito (Municipio)",2020
"Earthquake","PR","Maricao (Municipio)",2020
"Earthquake","PR","Manati (Municipio)",2020
"Earthquake","PR","Morovis (Municipio)",2020
"Earthquake","PR","Patillas (Municipio)",2020
"Earthquake","PR","Rio Grande (Municipio)",2020
"Earthquake","PR","Quebradillas (Municipio)",2020
"Earthquake","PR","Rincon (Municipio)",2020
"Earthquake","PR","Penuelas (Municipio)",2020
"Earthquake","PR","Ponce (Municipio)",2020
"Earthquake","PR","Sabana Grande (Municipio)",2020
"Earthquake","PR","Salinas (Municipio)",2020
"Earthquake","PR","San German (Municipio)",2020
"Earthquake","PR","San Lorenzo (Municipio)",2020
"Earthquake","PR","San Juan (Municipio)",2020
"Earthquake","PR","San Sebastian (Municipio)",2020
"Earthquake","PR","Toa Baja (Municipio)",2020
"Earthquake","PR","Santa Isabel (Municipio)",2020
"Earthquake","PR","Toa Alta (Municipio)",2020
"Earthquake","PR","Trujillo Alto (Municipio)",2020
"Earthquake","PR","Vega Alta (Municipio)",2020
"Earthquake","PR","Yabucoa (Municipio)",2020
"Earthquake","PR","Villalba (Municipio)",2020
"Earthquake","PR","Utuado (Municipio)",2020
"Earthquake","PR","Vega Baja (Municipio)",2020
"Earthquake","PR","Vieques (Municipio)",2020
"Earthquake","PR","Yauco (Municipio)",2020
"Earthquake","PR","Yauco (Municipio)",2020
"Earthquake","PR","Corozal (Municipio)",2020
"Earthquake","PR","Hormigueros (Municipio)",2020
"Earthquake","PR","Penuelas (Municipio)",2020
"Earthquake","PR","Villalba (Municipio)",2020
"Earthquake","PR","Jayuya (Municipio)",2020
"Earthquake","PR","Cabo Rojo (Municipio)",2020
"Earthquake","PR","Naranjito (Municipio)",2020
"Earthquake","PR","Salinas (Municipio)",2020
"Earthquake","PR","Guayanilla (Municipio)",2020
"Earthquake","PR","Lares (Municipio)",2020
"Earthquake","PR","Moca (Municipio)",2020
"Earthquake","PR","Lajas (Municipio)",2020
"Earthquake","PR","Anasco (Municipio)",2020
"Earthquake","PR","Maricao (Municipio)",2020
"Earthquake","PR","Morovis (Municipio)",2020
"Earthquake","PR","Santa Isabel (Municipio)",2020
"Earthquake","PR","Juana Diaz (Municipio)",2020
"Earthquake","PR","Aguada (Municipio)",2020
"Earthquake","PR","Mayaguez (Municipio)",2020
"Earthquake","PR","Coamo (Municipio)",2020
"Earthquake","PR","Adjuntas (Municipio)",2020
"Earthquake","PR","San Sebastian (Municipio)",2020
"Earthquake","PR","Ponce (Municipio)",2020
"Earthquake","PR","Arecibo (Municipio)",2020
"Earthquake","PR","Ciales (Municipio)",2020
"Earthquake","PR","Orocovis (Municipio)",2020
"Earthquake","PR","Rincon (Municipio)",2020
"Earthquake","PR","Las Marias (Municipio)",2020
"Earthquake","PR","Sabana Grande (Municipio)",2020
"Earthquake","PR","San German (Municipio)",2020
"Earthquake","PR","Guanica (Municipio)",2020
"Earthquake","PR","Utuado (Municipio)",2020
"Earthquake","PR","Barceloneta (Municipio)",2020
"Severe Storm","VT","Lamoille (County)",2020
"Severe Storm","VT","Franklin (County)",2020
"Severe Storm","VT","Washington (County)",2020
"Severe Storm","VT","Orleans (County)",2020
"Severe Storm","VT","Orange (County)",2020
"Severe Storm","VT","Essex (County)",2020
"Severe Storm","VT","Addison (County)",2020
"Severe Storm","VT","Chittenden (County)",2020
"Flood","ND","Grand Forks (County)",2020
"Flood","ND","Emmons (County)",2020
"Flood","ND","LaMoure (County)",2020
"Flood","ND","Walsh (County)",2020
"Flood","ND","Sargent (County)",2020
"Flood","ND","Eddy (County)",2020
"Flood","ND","Dickey (County)",2020
"Flood","ND","Barnes (County)",2020
"Flood","ND","Kidder (County)",2020
"Flood","ND","Griggs (County)",2020
"Flood","ND","Stutsman (County)",2020
"Flood","ND","Wells (County)",2020
"Flood","ND","Logan (County)",2020
"Flood","ND","Mountrail (County)",2020
"Flood","ND","Sheridan (County)",2020
"Flood","ND","Nelson (County)",2020
"Flood","ND","Foster (County)",2020
"Flood","ND","Traill (County)",2020
"Severe Storm","TN","Davidson (County)",2020
"Severe Storm","TN","Carroll (County)",2020
"Severe Storm","TN","Benton (County)",2020
"Severe Storm","TN","Smith (County)",2020
"Severe Storm","TN","Putnam (County)",2020
"Severe Storm","TN","Wilson (County)",2020
"Fire","OK","Beaver (County)",2020
"Severe Storm","WI","Kenosha (County)",2020
"Severe Storm","WI","Racine (County)",2020
"Severe Storm","WI","Milwaukee (County)",2020
"Severe Storm","MS","DeSoto (County)",2020
"Severe Storm","MS","Prentiss (County)",2020
"Severe Storm","MS","Tallahatchie (County)",2020
"Severe Storm","MS","Clay (County)",2020
"Severe Storm","MS","Washington (County)",2020
"Severe Storm","MS","Panola (County)",2020
"Severe Storm","MS","Bolivar (County)",2020
"Severe Storm","MS","Choctaw (County)",2020
"Severe Storm","MS","Chickasaw (County)",2020
"Severe Storm","MS","Quitman (County)",2020
"Severe Storm","MS","Oktibbeha (County)",2020
"Severe Storm","MS","Sunflower (County)",2020
"Severe Storm","MS","Tishomingo (County)",2020
"Severe Storm","SC","Anderson (County)",2020
"Severe Storm","SC","Bamberg (County)",2020
"Severe Storm","SC","Oconee (County)",2020
"Severe Storm","SC","Spartanburg (County)",2020
"Severe Storm","SC","Greenville (County)",2020
"Severe Storm","SC","Chester (County)",2020
"Severe Storm","SC","Newberry (County)",2020
"Severe Storm","SC","Pickens (County)",2020
"Severe Storm","SC","Hampton (County)",2020
"Severe Storm","SC","Barnwell (County)",2020
"Severe Storm","OR","Umatilla (County)",2020
"Severe Storm","OR","Wallowa (County)",2020
"Severe Storm","OR","Union (County)",2020
"Severe Storm","OR","Umatilla Indian Reservation",2020
"Severe Storm","MS","Coahoma (County)",2020
"Severe Storm","MS","Lafayette (County)",2020
"Severe Storm","MS","Sunflower (County)",2020
"Severe Storm","MS","Yalobusha (County)",2020
"Severe Storm","MS","Calhoun (County)",2020
"Severe Storm","MS","Choctaw (County)",2020
"Severe Storm","MS","Bolivar (County)",2020
"Severe Storm","MS","Webster (County)",2020
"Severe Storm","MS","Grenada (County)",2020
"Severe Storm","MS","Covington (County)",2020
"Severe Storm","MS","Lawrence (County)",2020
"Severe Storm","MS","Holmes (County)",2020
"Severe Storm","MS","Leake (County)",2020
"Severe Storm","MS","Tallahatchie (County)",2020
"Severe Storm","MS","Tate (County)",2020
"Severe Storm","MS","Smith (County)",2020
"Severe Storm","MS","Panola (County)",2020
"Severe Storm","MS","Clay (County)",2020
"Severe Storm","MS","Walthall (County)",2020
"Severe Storm","MS","Tunica (County)",2020
"Severe Storm","MS","Montgomery (County)",2020
"Severe Storm","MS","Jefferson Davis (County)",2020
"Severe Storm","MS","Chickasaw (County)",2020
"Severe Storm","MS","Jasper (County)",2020
"Severe Storm","MS","Noxubee (County)",2020
"Severe Storm","MS","Quitman (County)",2020
"Severe Storm","MS","Carroll (County)",2020
"Severe Storm","MS","Jones (County)",2020
"Severe Storm","MS","Clarke (County)",2020
"Severe Storm","WA","King (County)",2020
"Severe Storm","WA","Grays Harbor (County)",2020
"Severe Storm","WA","Thurston (County)",2020
"Severe Storm","WA","San Juan (County)",2020
"Severe Storm","WA","Skagit (County)",2020
"Severe Storm","WA","Pacific (County)",2020
"Severe Storm","WA","Whatcom (County)",2020
"Severe Storm","WA","Walla Walla (County)",2020
"Severe Storm","WA","Garfield (County)",2020
"Severe Storm","WA","Island (County)",2020
"Severe Storm","WA","Columbia (County)",2020
"Severe Storm","WA","Mason (County)",2020
"Severe Storm","WA","Snohomish (County)",2020
"Severe Storm","WA","Lewis (County)",2020
"Severe Storm","WA","Wahkiakum (County)",2020
"Severe Storm","MS","Wilkinson (County)",2020
"Severe Storm","MS","Attala (County)",2020
"Severe Storm","MS","Hinds (County)",2020
"Severe Storm","MS","Holmes (County)",2020
"Severe Storm","MS","Grenada (County)",2020
"Severe Storm","MS","Marion (County)",2020
"Severe Storm","MS","Copiah (County)",2020
"Severe Storm","MS","Claiborne (County)",2020
"Severe Storm","MS","Issaquena (County)",2020
"Severe Storm","MS","Leflore (County)",2020
"Severe Storm","MS","Clay (County)",2020
"Severe Storm","MS","Yazoo (County)",2020
"Severe Storm","MS","Sharkey (County)",2020
"Severe Storm","MS","Warren (County)",2020
"Severe Storm","MS","Carroll (County)",2020
"Severe Storm","KY","Lewis (County)",2020
"Severe Storm","KY","Knox (County)",2020
"Severe Storm","KY","Letcher (County)",2020
"Severe Storm","KY","Perry (County)",2020
"Severe Storm","KY","Owsley (County)",2020
"Severe Storm","KY","Clay (County)",2020
"Severe Storm","KY","Lawrence (County)",2020
"Severe Storm","KY","Morgan (County)",2020
"Severe Storm","KY","Powell (County)",2020
"Severe Storm","KY","Pike (County)",2020
"Severe Storm","KY","Leslie (County)",2020
"Severe Storm","KY","Magoffin (County)",2020
"Severe Storm","KY","Johnson (County)",2020
"Severe Storm","KY","Union (County)",2020
"Severe Storm","KY","Monroe (County)",2020
"Severe Storm","KY","Metcalfe (County)",2020
"Severe Storm","KY","Boyd (County)",2020
"Severe Storm","KY","McCracken (County)",2020
"Severe Storm","KY","McCreary (County)",2020
"Severe Storm","KY","Harlan (County)",2020
"Severe Storm","KY","Butler (County)",2020
"Severe Storm","KY","Whitley (County)",2020
"Severe Storm","KY","Bell (County)",2020
"Severe Storm","KY","Hickman (County)",2020
"Severe Storm","KY","Henderson (County)",2020
"Severe Storm","KY","Menifee (County)",2020
"Severe Storm","KY","Knott (County)",2020
"Severe Storm","TN","Unicoi (County)",2020
"Severe Storm","TN","Bradley (County)",2020
"Severe Storm","TN","Monroe (County)",2020
"Severe Storm","TN","Hamilton (County)",2020
"Severe Storm","TN","Washington (County)",2020
"Severe Storm","TN","Campbell (County)",2020
"Severe Storm","TN","Marion (County)",2020
"Severe Storm","TN","Polk (County)",2020
"Severe Storm","TN","Scott (County)",2020
"Severe Storm","SC","Georgetown (County)",2020
"Severe Storm","SC","Colleton (County)",2020
"Severe Storm","SC","Orangeburg (County)",2020
"Severe Storm","SC","Marlboro (County)",2020
"Severe Storm","SC","Aiken (County)",2020
"Severe Storm","SC","Oconee (County)",2020
"Severe Storm","SC","Barnwell (County)",2020
"Severe Storm","SC","Berkeley (County)",2020
"Severe Storm","SC","Pickens (County)",2020
"Severe Storm","SC","Hampton (County)",2020
"Fire","FL","Santa Rosa (County)",2020
"Fire","FL","Walton (County)",2020
"Severe Storm","NC","Gaston (County)",2020
"Severe Storm","NC","Swain (County)",2020
"Severe Storm","NC","Madison (County)",2020
"Severe Storm","NC","Randolph (County)",2020
"Severe Storm","NC","Stokes (County)",2020
"Severe Storm","NC","Perquimans (County)",2020
"Severe Storm","NC","Yadkin (County)",2020
"Severe Storm","NC","Stanly (County)",2020
"Severe Storm","NC","Wayne (County)",2020
"Severe Storm","NC","Graham (County)",2020
"Severe Storm","NC","Rutherford (County)",2020
"Severe Storm","NC","Ashe (County)",2020
"Severe Storm","NC","Alexander (County)",2020
"Severe Storm","NC","Cleveland (County)",2020
"Severe Storm","NC","Mitchell (County)",2020
"Severe Storm","NC","Cherokee (County)",2020
"Severe Storm","NC","Polk (County)",2020
"Severe Storm","NC","Yancey (County)",2020
"Severe Storm","NC","Pender (County)",2020
"Severe Storm","AR","Craighead (County)",2020
"Fire","FL","Collier (County)",2020
"Fire","AZ","Maricopa (County)",2020
"Severe Storm","AL","Cullman (County)",2020
"Severe Storm","AL","Greene (County)",2020
"Severe Storm","AL","Perry (County)",2020
"Severe Storm","AL","Macon (County)",2020
"Severe Storm","AL","Randolph (County)",2020
"Severe Storm","AL","Butler (County)",2020
"Severe Storm","AL","Limestone (County)",2020
"Severe Storm","AL","Lamar (County)",2020
"Severe Storm","AL","Wilcox (County)",2020
"Severe Storm","AL","Fayette (County)",2020
"Severe Storm","AL","Covington (County)",2020
"Severe Storm","AL","Choctaw (County)",2020
"Severe Storm","AL","Blount (County)",2020
"Severe Storm","AL","Colbert (County)",2020
"Severe Storm","AL","Crenshaw (County)",2020
"Severe Storm","AL","Marion (County)",2020
"Severe Storm","AL","Dallas (County)",2020
"Severe Storm","AL","Chambers (County)",2020
"Severe Storm","AL","Tuscaloosa (County)",2020
"Severe Storm","MI","Gladwin (County)",2020
"Severe Storm","MI","Midland (County)",2020
"Fire","AZ","Maricopa (County)",2020
"Hurricane","LA","Acadia (Parish)",2020
"Hurricane","LA","Allen (Parish)",2020
"Hurricane","LA","Avoyelles (Parish)",2020
"Hurricane","LA","Assumption (Parish)",2020
"Hurricane","LA","Ascension (Parish)",2020
"Hurricane","LA","Beauregard (Parish)",2020
"Hurricane","LA","Bienville (Parish)",2020
"Hurricane","LA","Bossier (Parish)",2020
"Hurricane","LA","Claiborne (Parish)",2020
"Hurricane","LA","Caldwell (Parish)",2020
"Hurricane","LA","Cameron (Parish)",2020
"Hurricane","LA","Iberville (Parish)",2020
"Hurricane","LA","Jefferson (Parish)",2020
"Hurricane","LA","Lafayette (Parish)",2020
"Hurricane","LA","Caddo (Parish)",2020
"Hurricane","LA","Jackson (Parish)",2020
"Hurricane","LA","Lafourche (Parish)",2020
"Hurricane","LA","Grant (Parish)",2020
"Hurricane","LA","Calcasieu (Parish)",2020
"Hurricane","LA","East Baton Rouge (Parish)",2020
"Hurricane","LA","La Salle (Parish)",2020
"Hurricane","LA","De Soto (Parish)",2020
"Hurricane","LA","East Feliciana (Parish)",2020
"Hurricane","LA","Concordia (Parish)",2020
"Hurricane","LA","East Carroll (Parish)",2020
"Hurricane","LA","Catahoula (Parish)",2020
"Hurricane","LA","Evangeline (Parish)",2020
"Hurricane","LA","Iberia (Parish)",2020
"Hurricane","LA","Lincoln (Parish)",2020
"Hurricane","LA","Franklin (Parish)",2020
"Hurricane","LA","Jefferson Davis (Parish)",2020
"Hurricane","LA","Livingston (Parish)",2020
"Hurricane","LA","Morehouse (Parish)",2020
"Hurricane","LA","Madison (Parish)",2020
"Hurricane","LA","Natchitoches (Parish)",2020
"Hurricane","LA","Red River (Parish)",2020
"Hurricane","LA","Richland (Parish)",2020
"Hurricane","LA","Rapides (Parish)",2020
"Hurricane","LA","Orleans (Parish)",2020
"Hurricane","LA","Ouachita (Parish)",2020
"Hurricane","LA","Pointe Coupee (Parish)",2020
"Hurricane","LA","Plaquemines (Parish)",2020
"Hurricane","LA","St. James (Parish)",2020
"Hurricane","LA","St. Mary (Parish)",2020
"Hurricane","LA","Sabine (Parish)",2020
"Hurricane","LA","St. Landry (Parish)",2020
"Hurricane","LA","St. Charles (Parish)",2020
"Hurricane","LA","St. John the Baptist (Parish)",2020
"Hurricane","LA","St. Bernard (Parish)",2020
"Hurricane","LA","St. Helena (Parish)",2020
"Hurricane","LA","St. Martin (Parish)",2020
"Hurricane","LA","Tensas (Parish)",2020
"Hurricane","LA","West Carroll (Parish)",2020
"Hurricane","LA","Vernon (Parish)",2020
"Hurricane","LA","West Feliciana (Parish)",2020
"Hurricane","LA","Terrebonne (Parish)",2020
"Hurricane","LA","Vermilion (Parish)",2020
"Hurricane","LA","Tangipahoa (Parish)",2020
"Hurricane","LA","Washington (Parish)",2020
"Hurricane","LA","Union (Parish)",2020
"Hurricane","LA","West Baton Rouge (Parish)",2020
"Hurricane","LA","Winn (Parish)",2020
"Hurricane","LA","Webster (Parish)",2020
"Hurricane","LA","St. Tammany (Parish)",2020
"Fire","AZ","Pima (County)",2020
"Fire","AZ","Gila (County)",2020
"Fire","AZ","Maricopa (County)",2020
"Fire","AZ","Maricopa (County)",2020
"Fire","AZ","Maricopa (County)",2020
"Fire","NV","Washoe (County)",2020
"Fire","UT","Millard (County)",2020
"Fire","UT","Utah (County)",2020
"Fire","NV","Douglas (County)",2020
"Severe Storm","MI","Midland (County)",2020
"Severe Storm","MI","Iosco (County)",2020
"Severe Storm","MI","Gladwin (County)",2020
"Severe Storm","MI","Arenac (County)",2020
"Severe Storm","MI","Saginaw (County)",2020
"Earthquake","UT","Salt Lake (County)",2020
"Earthquake","UT","Davis (County)",2020
"Severe Storm","HI","Kauai (County)",2020
"Severe Storm","TN","Davidson (County)",2020
"Severe Storm","TN","Benton (County)",2020
"Severe Storm","TN","Lawrence (County)",2020
"Severe Storm","TN","Hickman (County)",2020
"Severe Storm","TN","Maury (County)",2020
"Severe Storm","TN","Dickson (County)",2020
"Severe Storm","TN","Lewis (County)",2020
"Severe Storm","TN","Lake (County)",2020
"Severe Storm","TN","Obion (County)",2020
"Severe Storm","TN","Dyer (County)",2020
"Severe Storm","TN","Henderson (County)",2020
"Severe Storm","TN","Henry (County)",2020
"Severe Storm","TN","Houston (County)",2020
"Severe Storm","TN","Perry (County)",2020
"Severe Storm","TN","Madison (County)",2020
"Severe Storm","TN","Carroll (County)",2020
"Severe Storm","TN","Humphreys (County)",2020
"Severe Storm","TN","Decatur (County)",2020
"Severe Storm","TN","Hardin (County)",2020
"Severe Storm","TN","Weakley (County)",2020
"Severe Storm","MS","Jones (County)",2020
"Severe Storm","MS","Pike (County)",2020
"Flood","ND","Cass (County)",2020
"Flood","ND","Stutsman (County)",2020
"Flood","ND","Dickey (County)",2020
"Flood","ND","Nelson (County)",2020
"Flood","ND","Sheridan (County)",2020
"Flood","ND","Traill (County)",2020
"Flood","ND","Wells (County)",2020
"Severe Storm","MS","Amite (County)",2020
"Severe Storm","MS","Claiborne (County)",2020
"Flood","ND","Kidder (County)",2020
"Severe Storm","MS","Smith (County)",2020
"Severe Storm","MS","Simpson (County)",2020
"Severe Storm","MS","Covington (County)",2020
"Flood","ND","Grand Forks (County)",2020
"Severe Storm","MS","George (County)",2020
"Flood","ND","Barnes (County)",2020
"Flood","ND","Ransom (County)",2020
"Severe Storm","MS","Jefferson Davis (County)",2020
"Severe Storm","MS","Lawrence (County)",2020
"Flood","ND","LaMoure (County)",2020
"Flood","ND","Steele (County)",2020
"Severe Storm","MS","Wayne (County)",2020
"Flood","ND","McIntosh (County)",2020
"Flood","ND","Richland (County)",2020
"Flood","ND","Sargent (County)",2020
"Flood","ND","Walsh (County)",2020
"Flood","ND","Logan (County)",2020
"Flood","ND","Pembina (County)",2020
"Flood","ND","Foster (County)",2020
"Severe Storm","MO","Howell (County)",2020
"Severe Storm","MO","Shannon (County)",2020
"Severe Storm","MO","Ripley (County)",2020
"Severe Storm","MO","Polk (County)",2020
"Severe Storm","MO","Wayne (County)",2020
"Severe Storm","MO","Bates (County)",2020
"Severe Storm","MO","Carter (County)",2020
"Severe Storm","MO","Oregon (County)",2020
"Severe Storm","MO","Stoddard (County)",2020
"Severe Storm","MO","Pemiscot (County)",2020
"Severe Storm","MO","Dallas (County)",2020
"Severe Storm","MO","Laclede (County)",2020
"Severe Storm","MO","Dunklin (County)",2020
"Severe Storm","MO","Hickory (County)",2020
"Severe Storm","MO","Butler (County)",2020
