"Genus","Time","Location","Zone","Current_Country","Habitat","Cranial_Capacity","Height","Incisor_Size","Jaw_Shape","Torus_Supraorbital","Prognathism","Foramen_Mágnum_Position","Canine.Size","Canines_Shape","Tooth_Enamel","Tecno","Tecno_type","biped","Arms","Foots","Diet","Sexual_Dimorphism","Hip","Vertical_Front","Anatomy","Migrated","Skeleton"
"Paranthropus Boisei",2.41,"Africa","oriental","Ethiopia","forest",595.23,114.53,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Sediba",2.17,"Africa","south","South Africa","mixed",412.12,109.44,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Homo Rodhesiensis",0.83,"Africa","oriental","Ethiopia","savannah",1133.65,146.8,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Anamensis",4.7,"Africa","oriental","Kenya","forest-gallery",224.72,116.71,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Antecesor",0.77,"Europa","west","Spain","savannah",981.01,167.47,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Georgicus",2.01,"Asia ","west","Georgia","savannah",719.64,144.77,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Australopithecus Sediba",2.19,"Africa","south","South Africa","mixed",419.91,107.47,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"hominino Ardipithecus ramidus / kabadda",4.15,"Africa","oriental","Ethiopia","mixed",244.42,101.33,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"hominino Orrorin tugenencin",6.69,"Africa","oriental","Kenya","forest",121.83,125.52,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Sapiens",0.3,"Africa","oriental","Kenya","savannah",1164.6,171.55,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Floresiensis",0.22,"Asia ","oriental","Indonesia","peninsular",336.37,103.53,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Erectus",1.78,"Asia ","west","Indonesia","savannah",1099.93,166.57,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Rudolfensis",2.97,"Africa","oriental","Kenya","savannah",672.23,129.3,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Anamensis",4.56,"Africa","oriental","Kenya","forest-gallery",262.81,115.85,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Australopithecus Bahrelghazali",3.64,"Africa","central","Republic of Chad","mixed",309.01,112,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Floresiensis",0.51,"Asia ","oriental","Indonesia","peninsular",319.99,96.84,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",2.94,"Africa","oriental","Ethiopia","mixed",404.38,120.58,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Antecesor",1.47,"Europa","west","Spain","savannah",1013.84,164.51,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"hominino Orrorin tugenencin",6.52,"Africa","oriental","Kenya","forest",165.01,118.31,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Naledi",0.39,"Africa","south","South Africa","jungle",347.59,134.28,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",2.63,"Africa","oriental","Ethiopia","mixed",247.98,122.39,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Paranthropus Boisei",2.29,"Africa","oriental","Ethiopia","forest",556.05,112.23,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Neanderthalensis
",0.41,"Europa","central","Germany","cold forest",1195.9,165.37,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Neanderthalensis
",0.04,"Europa","central","Germany","cold forest",1200,154.28,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Aethiopicus",2.94,"Africa","oriental","Kenya","forest-savanna",473.92,117.35,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Sahelanthropus tchadensis",7.5,"Africa","central","Republic of Chad","mixed",213.96,82.61,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Garhi",2.49,"Africa","oriental","Ethiopia","mixed",231.06,120.42,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Naledi",0.38,"Africa","south","South Africa","jungle",485.59,136.49,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Bahrelghazali",3.6,"Africa","central","Republic of Chad","mixed",407.92,110.3,"small","U shape","very protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","climbing","dry fruits","high","slim","no","old","no","light"
"Homo Ergaster",1.48,"Africa","oriental","Kenya","savannah",874.62,168.97,"very small","modern","very protruding","reduced","modern","small","incisiform","medium-thin","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Floresiensis",0.61,"Asia ","oriental","Indonesia","peninsular",192.69,90.18,"small","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","yes","mode 1","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Georgicus",2.36,"Asia ","west","Georgia","savannah",682.05,149.05,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Robustus",1.67,"Africa","south","South Africa","jungle",477.48,121.71,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rodhesiensis",0.9,"Africa","oriental","Ethiopia","savannah",1082.13,157.6,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Afarensis",3.72,"Africa","oriental","Kenya","mixed",212.1,137.97,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Australopithecus Garhi",3.12,"Africa","oriental","Ethiopia","mixed",252.47,114.57,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Sediba",1.92,"Africa","south","South Africa","mixed",359.62,106.35,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"Australopithecus Anamensis",4.59,"Africa","oriental","Kenya","forest-gallery",468.25,125.59,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Naledi",0.78,"Africa","south","South Africa","jungle",266.27,127.89,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Naledi",0.45,"Africa","south","South Africa","jungle",475.39,120.58,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Erectus",1.95,"Asia ","west","Indonesia","savannah",1025.97,162.13,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Homo Rodhesiensis",0.54,"Africa","oriental","Ethiopia","savannah",1089.69,150.98,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Anamensis",4.78,"Africa","oriental","Kenya","forest-gallery",290.66,128.75,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Antecesor",0.84,"Europa","west","Spain","savannah",1047.19,173.9,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"Homo Rudolfensis",2.38,"Africa","oriental","Kenya","savannah",824.16,139.78,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Neanderthalensis
",0.45,"Europa","central","Germany","cold forest",1221.8,155.05,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Australopithecus Sediba",2.01,"Africa","south","South Africa","mixed",390.62,106.27,"small","U shape","very protruding","medium-high","anterior","small","conicalls","medium-thin","no","no","yes","climbing","walk","soft fruits","high","slim","no","old","no","light"
"hominino Sahelanthropus tchadensis",7.44,"Africa","central","Republic of Chad","mixed",171.59,90.54,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Afarensis",3.92,"Africa","oriental","Kenya","mixed",443.84,120.04,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Sapiens",0.68,"Africa","oriental","Kenya","savannah",1259.37,166.49,"very small","modern","flat","absent","modern","small","incisiform","very thin","yes","mode 4","modern","manipulate with precision","walk","carnivorous","reduced","very modern","modern","very modern","yes","refined"
"Homo Antecesor",1.18,"Europa","west","Spain","savannah",1058.14,164.4,"medium large","U shape","little protruding","medium","modern","big","incisiform","medium-thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","mixed","yes","light"
"hominino Orrorin tugenencin",6.56,"Africa","oriental","Kenya","forest",154.17,127.17,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Paranthropus Robustus",1.61,"Africa","south","South Africa","jungle",526.79,113.27,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Neanderthalensis
",0.77,"Europa","central","Germany","cold forest",1246.84,168.15,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"hominino Ardipithecus ramidus / kabadda",3.8,"Africa","oriental","Ethiopia","mixed",396.65,116.67,"small","conical","very protruding","high","semi-anterior","small","conicalls","thick-medium","no","no","high probability","climbing","climbing","soft fruits","medium-high","wide","no","old","no","light"
"Homo Georgicus",1.95,"Asia ","west","Georgia","savannah",845.82,156.9,"medium large","U shape","very protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
"Paranthropus Aethiopicus",2.42,"Africa","oriental","Kenya","forest-savanna",356.71,101.21,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Africanus",3.39,"Africa","south","South Africa","forest-gallery",627.01,105.17,"small","conical","very protruding","medium-high","anterior","small","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","yes","old","no","light"
"Australopithecus Anamensis",4.55,"Africa","oriental","Kenya","forest-gallery",316.13,122.55,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Paranthropus Aethiopicus",2.92,"Africa","oriental","Kenya","forest-savanna",489.68,117.5,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Rodhesiensis",0.41,"Africa","oriental","Ethiopia","savannah",1069.74,150.04,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Australopithecus Afarensis",4.22,"Africa","oriental","Kenya","mixed",445.71,130.23,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"hominino Sahelanthropus tchadensis",6.85,"Africa","central","Republic of Chad","mixed",78.91,88.83,"small","conical","very protruding","high","posterior","small","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Paranthropus Robustus",2.11,"Africa","south","South Africa","jungle",566.31,110.71,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Homo Heidelbergensis",0.44,"Europa","central","Germany","cold forest",1303.38,181.16,"small","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 2","modern","manipulate","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Paranthropus Robustus",2.25,"Africa","south","South Africa","jungle",441.84,117.71,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"Australopithecus Anamensis",4.3,"Africa","oriental","Kenya","forest-gallery",471.05,117.24,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","climbing","dry fruits","high","wide","no","mixed","no","light"
"Homo Rudolfensis",2.63,"Africa","oriental","Kenya","savannah",738.96,131.76,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Australopithecus Garhi",3.08,"Africa","oriental","Ethiopia","mixed",285.27,122.84,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Naledi",0.94,"Africa","south","South Africa","jungle",497.25,128.9,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Australopithecus Garhi",2.53,"Africa","oriental","Ethiopia","mixed",368.81,111.63,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Homo Habilis",3.15,"Africa","oriental","Ethiopia","savannah",811.44,121.8,"small","U shape","little protruding","medium","anterior","small","incisiform","medium-thin","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","yes","modern","yes","robust"
"hominino Orrorin tugenencin",5.93,"Africa","oriental","Kenya","forest",64.75,129.73,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Australopithecus Garhi",3.07,"Africa","oriental","Ethiopia","mixed",261.51,128.53,"big","U shape","very protruding","medium-high","anterior","big","conicalls","thick","likely","primitive","yes","climbing","walk","omnivore","high","slim","no","old","no","light"
"Australopithecus Afarensis",3.95,"Africa","oriental","Kenya","mixed",321.15,136.58,"big","U shape","very protruding","high","anterior","big","incisiform","thick","no","no","yes","climbing","walk","dry fruits","high","slim","no","old","no","refined"
"Homo Naledi",0.96,"Africa","south","South Africa","jungle",471.58,139.58,"big","U shape","little protruding","medium-high","modern","small","incisiform","medium-thin","no","no","modern","climbing","walk","omnivore","medium-high","wide","no","mixed","no","light"
"Homo Rodhesiensis",1.28,"Africa","oriental","Ethiopia","savannah",1024.63,147.95,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Paranthropus Boisei",2.04,"Africa","oriental","Ethiopia","forest",558.59,108.77,"megadony","V shape","ultra protruding","very high","semi-anterior","big","conicalls","very thick","no","no","yes","climbing","climbing","hard fruits","high","wide","no","old","no","robust"
"hominino Orrorin tugenencin",6.32,"Africa","oriental","Kenya","forest",64.63,128.4,"small","conical","very protruding","high","posterior","big","conicalls","thick","no","no","low probability","climbing","climbing","dry fruits","high","wide","no","old","no","light"
"Homo Neanderthalensis
",0.08,"Europa","central","Germany","cold forest",1113.42,156.46,"big","modern","little protruding","reduced","modern","small","incisiform","thin","yes","mode 3","modern","manipulate with precision","walk","carnivorous","medium-high","very modern","modern","very modern","no","robust"
"Homo Rodhesiensis",1.06,"Africa","oriental","Ethiopia","savannah",1049.47,148.49,"big","U shape","less protruding","medium-high","modern","big","incisiform","medium-thick","yes","mode 2","modern","manipulate with precision","walk","omnivore","medium-high","slim","yes","mixed","no","robust"
"Homo Rudolfensis",2.2,"Africa","oriental","Kenya","savannah",582.17,131.72,"small","U shape","less protruding","medium-high","anterior","big","conicalls","thick","no","no","yes","climbing","walk","hard fruits","high","slim","no","mixed","no","refined"
"Homo Erectus",1.74,"Asia ","west","Indonesia","savannah",1115.01,156.53,"very small","modern","little protruding","reduced","modern","small","incisiform","thick","yes","mode 1","modern","manipulate","walk","omnivore","medium-high","modern","modern","modern","yes","robust"
