numYears,numRaters,numCourses,pepper,easiness,raterInterest,quality,deptBiology,deptBusiness,deptChemistry,deptCommunication,deptCS,deptEducation,deptEnglish,deptGeology,deptHistory,deptLanguages,deptMath,deptMusic,deptPhilosophy,deptPhysics,deptPolySci,deptPsychology,deptReligion,deptSocialScience,deptSociology
11,35,6,No,3.86,3,1.5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
7,11,2,No,4.18,4.91,5,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
11,23,10,No,2.83,3.33,3.7,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,27,6,No,3.15,4.15,3.1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,42,5,Yes,3.17,3.52,4.1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,38,4,No,3.13,4.03,4.3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,20,8,No,3.25,3.63,3.3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,44,6,No,2.05,3.48,1.1,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
11,57,3,Yes,3.61,3.9,4.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
10,15,3,No,3.13,3.93,2.7,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
9,46,5,No,3.87,2.35,0.1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,10,4,No,3.89,3.88,3.8,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3,18,2,No,3.11,3.5,4.1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,79,7,No,2.66,2.96,0.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,18,2,No,3.39,4,2.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,26,5,No,2.23,2.69,0.5,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,52,2,No,3.08,3.44,1.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
11,10,2,No,3.2,4.3,2.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
7,26,5,No,2.88,4.32,3.4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10,15,3,No,3.8,2.73,1.1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,45,8,No,2.84,3.19,1.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
3,12,3,Yes,3.67,3.42,4.7,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
7,12,2,No,3.33,3.42,1.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,16,3,No,2.81,3.2,0.3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
9,36,8,No,2.78,3.29,2.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,24,5,No,3,4.23,3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
3,29,4,No,2.97,4.32,3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,65,4,No,3.06,3.28,2.1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,11,4,No,3.36,3.64,1.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,14,4,Yes,3.36,2.79,2.1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,14,7,No,2.5,3.88,3.2,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,29,6,No,3.31,4.33,3.2,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
11,54,6,Yes,4.07,4.34,4.3,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
4,12,3,No,2.5,3.5,1.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,57,5,No,2.63,3.17,0.2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
9,13,6,No,3.23,3.8,2.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,33,3,No,3.45,2.7,1.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
8,46,7,No,2.46,3.81,0.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,19,4,No,3.16,2.93,2.6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,18,6,Yes,3.06,3.94,4.6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
9,28,3,No,4.5,3.33,4.7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
11,21,7,No,4.81,3.43,4.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
8,26,8,Yes,4.08,3.55,4.6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,10,2,No,3,2.8,1.4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
2,14,4,No,2,3.17,0.2,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
7,27,6,No,3.72,3.84,3.6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10,22,3,No,2.27,3,2.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
4,36,6,No,4.53,3.72,4.5,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2,14,4,Yes,4,3.21,4.1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,19,6,No,1.74,3.07,0.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,86,8,No,1.56,2.81,0.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
8,25,8,No,2.92,3.63,2.8,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
8,26,7,Yes,3.5,3.73,4.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10,16,2,No,2.69,2.67,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
9,20,3,No,2.65,3.81,3.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
11,30,4,No,1.97,4,2.4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
7,12,3,No,3.92,3.78,1.5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
10,21,3,No,1.86,2.45,0.6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
1,19,4,Yes,2.79,4.16,2.7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,12,3,Yes,4.17,3.75,4.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,31,3,Yes,3.65,3.87,4.7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
4,22,2,Yes,3.64,3.55,4.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
4,13,5,No,2.92,3.15,2.1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,22,5,No,3.5,3.82,4.3,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,26,8,No,3.69,3.15,2.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,15,3,No,2.4,2.77,0.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2,20,5,No,3.85,3.25,2.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,24,7,No,2.75,3.67,3.1,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,69,3,No,3.77,2.9,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No
10,37,6,No,1.78,2.55,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
9,36,7,No,3.73,3.75,4.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
7,32,3,No,2.16,2.94,1.7,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2,11,3,No,2.46,3.12,1.8,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,41,2,No,3.39,3.36,2.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No
7,34,7,No,4.09,2.79,2.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,15,4,No,3.4,3.4,1.7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,38,3,No,3.42,3.46,1.7,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
2,10,4,Yes,3.7,3.4,4.7,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,29,5,No,2.07,2.4,0,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
1,10,4,Yes,3.4,3.9,3.1,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,27,5,No,2.81,3.17,2.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,36,4,No,2.08,2.65,1.7,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
9,19,3,No,1.79,2.84,0.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,14,2,No,3.5,3.85,2.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,17,5,No,3.29,2.88,2.1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10,54,3,No,3.2,2.92,3.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,21,5,No,3.86,2.85,1.4,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
5,33,6,No,2.67,3.36,0.5,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
11,47,8,No,3.36,3.38,1.2,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,58,5,No,3.67,3.33,1.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
7,14,4,Yes,4.07,4.07,4.6,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
11,10,5,No,2,3,1.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,36,6,No,2.64,3.17,2.9,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
7,14,5,Yes,3.29,3.71,2.8,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
11,26,5,No,4.04,1.1,1.9,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
8,39,5,No,3.92,3.11,0.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,16,6,No,3.19,3.06,0.5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
5,67,3,No,2.37,2.55,1.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
9,29,4,No,2.97,2.83,1.7,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,26,6,No,3.04,3.28,0.9,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
6,24,7,No,3.17,3.33,2.8,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
7,16,5,Yes,3.06,4.53,4.5,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
5,20,2,No,2.55,3.24,2.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
10,35,6,No,3.03,3.66,1.6,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
5,36,9,No,3.5,3.5,1.9,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
4,28,3,No,3.59,3.15,1.3,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
11,10,4,No,2.6,3.3,3.4,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
9,53,7,No,2.74,2.91,1,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
2,13,2,No,3.46,2.62,1.4,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No
7,10,2,No,4.4,4.5,4.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7,21,2,No,4.24,4.1,4.4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,33,2,No,3.97,4,4.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7,11,2,No,3.73,3.33,2.5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,18,3,No,3.83,3,2.5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,30,2,No,4.13,4,4.1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7,14,2,No,3.14,3.5,3.4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,15,5,Yes,2.93,3.93,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,50,4,No,2.48,3.31,3.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
3,10,3,No,2.8,3.8,3.5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,30,5,No,2.37,3.3,1.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,53,3,No,3.6,3.43,4.2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,46,4,Yes,3.22,3.06,3.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,30,5,No,1.63,3.19,0.8,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,42,7,No,2.55,3.43,1.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,74,8,No,2.18,3.22,0.7,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
10,51,4,No,3.59,4.08,4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,31,4,No,2.48,3.23,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,19,2,No,4.37,3.28,1.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,56,4,No,2.14,3.11,0.4,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,72,7,No,2.61,3.61,2.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
8,67,4,No,2.54,3.5,3.7,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,85,7,No,2.08,3.22,0.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
9,14,1,No,2.43,3.79,3.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
9,47,7,No,3.81,2.86,1.1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
10,69,2,No,3.58,3.02,1.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2,11,2,No,3.82,3.09,1.9,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
11,56,6,No,2.5,2.37,0.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
10,14,5,No,2.08,2.45,0,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,23,7,No,3.17,3.65,0.8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,36,5,No,3.5,2.86,1.2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,44,8,No,3.18,3.1,0.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
6,19,4,No,4.21,4.37,4.6,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,11,5,No,3.64,3.64,3.2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,10,1,Yes,4.5,3.4,4.5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,56,2,No,4.3,3.29,4.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
11,85,3,No,4.44,3.71,3.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
2,16,1,Yes,4,2.19,5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
7,39,5,Yes,2.41,3.83,3.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,31,4,No,1.87,3.36,0.5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,24,3,No,2.89,3.83,4.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,67,3,No,3.91,3.57,3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
2,15,3,No,3.53,3.47,2.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
6,46,3,No,3.87,3.37,3.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
9,13,6,No,4.08,3.69,3.5,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
4,27,3,No,3.19,2.74,0.1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,35,3,No,2.89,3.48,2.8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,32,4,No,4.09,3.28,0.2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
3,22,2,Yes,3.95,3.59,3.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,51,3,No,2.76,3.5,2.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
8,11,2,No,3.36,4.71,2.5,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
10,52,3,No,3.42,3.66,3.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
10,62,5,No,2.32,3.24,2,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
3,13,1,No,3.46,2.92,0.9,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2,20,2,No,3.5,3.95,2.5,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,32,4,No,3.88,4.27,4.4,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
5,23,3,No,3.17,4.09,1.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
11,62,1,No,3.48,2.87,2.8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,42,6,Yes,2.5,3.76,4.3,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,24,2,No,3.33,2.71,3.4,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
5,26,6,No,3.58,4.27,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
3,12,4,Yes,3,3.83,2.9,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,32,4,No,2.72,2.59,1.8,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
9,50,5,No,2.86,3.1,0.6,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
11,57,4,No,2.68,2.96,0.9,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No
11,15,4,No,3.4,3.31,3.1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
8,32,4,Yes,3.81,2.9,5,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,17,9,No,2.24,3.33,0.6,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,23,5,No,1.39,3.65,0.6,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,13,4,No,2.62,3.33,3.8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
1,13,2,No,3.85,2.85,2.8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
6,18,7,No,2.06,2.44,0.8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
1,11,3,Yes,4.36,3.18,5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
10,26,4,No,3.04,4.04,4.2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
6,15,4,No,2,3.2,0.8,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,25,2,No,2.56,3.32,4.7,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,21,3,No,1.57,3.14,0.7,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,43,3,No,3.28,3.05,5,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,51,6,No,4.04,3,4.4,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,11,2,No,3,2.91,3.3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,27,2,No,3.15,2.9,4.8,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,37,5,No,2.19,3.03,1.4,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,35,3,No,1.63,3.23,1.9,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,29,2,No,2.14,3.11,3.2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
4,30,2,No,2.67,2.96,0,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,28,6,Yes,2.71,3.64,3.9,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
11,33,3,No,3.21,3.35,4.6,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
11,28,6,No,2.75,3.35,0.9,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,62,5,No,3.19,2.8,1.8,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
5,38,7,No,3.84,3.89,3.2,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No
11,14,1,No,3.21,3.36,2.9,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
5,25,3,No,3.21,3.9,2.2,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,53,8,No,3,2.85,2.2,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
7,20,3,No,3.7,3.88,4.5,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
11,21,10,No,2.24,2.72,2,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
