"","Gender","Age","Status","Visit","Method","Time_spent","Closest_Shop","Membership_Card","Quality","Promotions","Ambiance","Wifi","Customer_Service","Social/Meetings","Return"
"42","Male","From 20 to 29","Employed","Monthly","Dine in","Between 30 minutes to 1 hour","within 1km","Yes",5,5,5,3,5,5,"Yes"
"43","Female","From 20 to 29","Employed","Weekly","Dine in","Between 30 minutes to 1 hour","within 1km","Yes",5,5,5,1,4,4,"Yes"
"44","Female","From 20 to 29","Employed","Monthly","Take away","Below 30 minutes","more than 3km","No",4,5,4,4,5,5,"Yes"
"45","Female","Below 20","Student","Never","never","Below 30 minutes","1km - 3km","No",3,3,3,3,3,3,"Yes"
"46","Female","From 30 to 39","Student","Rarely","Take away","Below 30 minutes","1km - 3km","Yes",5,4,3,4,4,4,"Yes"
"47","Female","Below 20","Student","Never","Dine in","Below 30 minutes","more than 3km","No",3,5,4,3,3,5,"Yes"
"48","Female","From 20 to 29","Self-employed","Rarely","Take away","Between 30 minutes to 1 hour","more than 3km","No",3,5,4,3,3,2,"Yes"
"49","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","within 1km","No",3,5,4,3,4,2,"Yes"
"50","Male","Below 20","Student","Rarely","Drive-thru","Below 30 minutes","within 1km","Yes",3,3,3,3,3,3,"Yes"
"51","Male","40 and above","Employed","Rarely","Dine in","Below 30 minutes","more than 3km","Yes",4,4,4,2,3,4,"Yes"
"52","Female","Below 20","Student","Rarely","Dine in","Below 30 minutes","more than 3km","No",3,2,2,2,4,3,"No"
"53","Female","40 and above","Stay-at-home","Monthly","Take away","Below 30 minutes","more than 3km","Yes",5,3,5,3,5,5,"Yes"
"54","Female","Below 20","Student","Rarely","Drive-thru","Below 30 minutes","more than 3km","No",3,2,3,3,3,3,"Yes"
"55","Female","From 20 to 29","Employed","Rarely","Take away","Between 30 minutes to 1 hour","within 1km","Yes",4,5,4,4,5,5,"Yes"
"56","Female","From 20 to 29","Employed","Monthly","Take away","Between 30 minutes to 1 hour","1km - 3km","Yes",4,4,3,2,3,4,"Yes"
"57","Female","From 20 to 29","Employed","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No",5,3,4,3,3,3,"Yes"
"58","Male","Below 20","Student","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes",5,5,5,5,5,5,"Yes"
"59","Male","Below 20","Student","Monthly","Dine in","Below 30 minutes","1km - 3km","No",3,3,3,4,3,3,"Yes"
"60","Female","From 20 to 29","Student","Rarely","Drive-thru","Below 30 minutes","more than 3km","No",4,4,4,3,4,3,"Yes"
"61","Male","From 20 to 29","Student","Rarely","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes",2,5,1,4,3,3,"Yes"
"62","Female","From 20 to 29","Employed","Rarely","Drive-thru","Below 30 minutes","1km - 3km","No",5,3,4,3,3,3,"Yes"
"63","Male","From 30 to 39","Student","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No",3,4,3,3,3,3,"Yes"
"64","Male","From 20 to 29","Employed","Rarely","Take away","Between 30 minutes to 1 hour","within 1km","Yes",4,3,5,4,4,5,"Yes"
"65","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","more than 3km","No",3,5,3,4,4,5,"No"
"66","Female","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No",4,2,4,3,4,4,"No"
"67","Female","From 20 to 29","Self-employed","Monthly","Dine in","Below 30 minutes","within 1km","Yes",4,4,5,4,4,4,"Yes"
"68","Female","From 20 to 29","Self-employed","Never","Never buy","Below 30 minutes","more than 3km","No",3,3,3,3,3,3,"No"
"69","Female","From 20 to 29","Employed","Rarely","Dine in","Below 30 minutes","more than 3km","No",2,5,4,4,4,1,"No"
"70","Female","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes",3,5,4,3,3,4,"Yes"
"71","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","within 1km","No",4,4,5,5,5,3,"Yes"
"72","Male","From 20 to 29","Employed","Weekly","Take away","Between 1 hour to 2 hours","within 1km","Yes",5,3,3,2,3,3,"Yes"
"73","Female","From 20 to 29","Employed","Monthly","Take away","Below 30 minutes","more than 3km","Yes",4,4,4,3,4,3,"Yes"
"74","Male","From 30 to 39","Employed","Rarely","Take away","Below 30 minutes","1km - 3km","Yes",3,4,4,4,5,4,"Yes"
"75","Female","From 20 to 29","Stay-at-home","Rarely","Drive-thru","Below 30 minutes","more than 3km","No",3,3,3,3,5,4,"Yes"
"76","Male","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","more than 3km","Yes",3,4,5,4,4,4,"Yes"
"77","Male","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","1km - 3km","No",4,5,3,2,4,4,"Yes"
"78","Male","From 20 to 29","Employed","Monthly","Dine in","Between 30 minutes to 1 hour","more than 3km","Yes",4,1,4,1,4,4,"Yes"
"79","Female","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",2,5,2,2,2,2,"No"
"80","Female","Below 20","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",2,3,2,2,2,2,"No"
"81","Female","From 20 to 29","Employed","Monthly","Drive-thru","More than 3 hours","1km - 3km","Yes",3,4,3,1,3,3,"No"
"82","Male","From 20 to 29","Employed","Never",NA,"Below 30 minutes","more than 3km","No",1,1,3,3,3,3,"No"
"83","Male","From 20 to 29","Self-employed","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","Yes",5,5,5,5,5,5,"Yes"
"84","Male","From 30 to 39","Self-employed","Weekly","Take away","Between 30 minutes to 1 hour","1km - 3km","Yes",4,2,4,3,4,5,"Yes"
"85","Male","From 20 to 29","Employed","Rarely","Dine in","Between 1 hour to 2 hours","more than 3km","No",4,4,3,4,4,4,"No"
"86","Male","From 30 to 39","Self-employed","Monthly","Dine in","Between 2 hours to 3 hours","more than 3km","Yes",4,4,4,3,4,4,"Yes"
"87","Male","From 20 to 29","Self-employed","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","Yes",4,2,3,1,2,2,"Yes"
"88","Female","From 20 to 29","Employed","Rarely","Dine in","Below 30 minutes","1km - 3km","Yes",3,3,4,3,3,3,"Yes"
"89","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","within 1km","Yes",4,4,4,4,4,4,"Yes"
"90","Male","From 20 to 29","Self-employed","Rarely","Dine in","Below 30 minutes","1km - 3km","Yes",5,5,5,4,5,5,"Yes"
"91","Female","From 30 to 39","Employed","Weekly","Dine in","Between 1 hour to 2 hours","more than 3km","Yes",4,5,4,4,5,4,"Yes"
"92","Female","From 30 to 39","Employed","Monthly","Take away","Between 30 minutes to 1 hour","within 1km","Yes",4,4,5,5,4,5,"Yes"
"93","Female","From 20 to 29","Employed","Never","Dine in","Below 30 minutes","within 1km","No",3,3,3,3,3,3,"No"
"94","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","more than 3km","Yes",5,5,5,4,4,1,"Yes"
"95","Male","From 20 to 29","Employed","Monthly","Take away","Below 30 minutes","more than 3km","Yes",3,3,3,1,3,2,"Yes"
"96","Female","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","Yes",3,5,4,3,3,4,"Yes"
"97","Female","From 20 to 29","Self-employed","Rarely","Take away","Below 30 minutes","more than 3km","No",3,1,4,3,4,4,"Yes"
"98","Female","From 30 to 39","Employed","Rarely","I dont like coffee","Below 30 minutes","within 1km","No",3,3,3,3,3,3,"Yes"
"99","Female","From 20 to 29","Employed","Rarely","Drive-thru","Below 30 minutes","1km - 3km","Yes",4,4,3,3,4,4,"Yes"
"100","Male","From 30 to 39","Employed","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","Yes",4,3,4,4,4,4,"Yes"
"101","Male","From 20 to 29","Student","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No",3,3,3,3,3,3,"Yes"
"102","Male","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No",3,3,3,1,2,3,"Yes"
"103","Male","From 20 to 29","Self-employed","Daily","Drive-thru","Below 30 minutes","more than 3km","Yes",4,4,4,3,3,3,"Yes"
"104","Male","From 30 to 39","Employed","Weekly","Dine in","Between 1 hour to 2 hours","more than 3km","No",4,5,4,4,3,3,"Yes"
"105","Male","Below 20","Student","Rarely","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No",4,4,4,4,4,4,"No"
"106","Male","40 and above","Employed","Monthly","Drive-thru","Between 30 minutes to 1 hour","more than 3km","No",4,5,4,4,4,4,"Yes"
"107","Male","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",3,3,3,3,3,3,"Yes"
"108","Female","Below 20","Student","Never","Never","Below 30 minutes","more than 3km","No",3,2,2,3,3,3,"Yes"
"109","Male","From 20 to 29","Student","Never","never","Below 30 minutes","within 1km","No",3,3,1,3,3,4,"No"
"110","Male","From 20 to 29","Student","Rarely","Dine in","Below 30 minutes","more than 3km","No",3,3,3,3,3,2,"No"
"111","Male","From 20 to 29","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",4,3,5,4,4,2,"No"
"112","Female","From 20 to 29","Employed","Monthly","Take away","Below 30 minutes","more than 3km","No",5,4,4,4,4,4,"Yes"
"113","Male","From 20 to 29","Student","Never","Never","Below 30 minutes","more than 3km","No",1,1,1,1,1,1,"No"
"114","Female","Below 20","Student","Rarely","Take away","Below 30 minutes","more than 3km","No",3,5,5,5,4,4,"Yes"
"115","Male","40 and above","Self-employed","Rarely","Dine in","Between 30 minutes to 1 hour","more than 3km","No",2,1,2,2,3,2,"No"
"116","Male","Below 20","Student","Daily","Take away","Below 30 minutes","more than 3km","No",5,5,5,5,5,5,"Yes"
"117","Male","From 30 to 39","Student","Monthly","Dine in","Between 1 hour to 2 hours","more than 3km","No",4,5,4,2,3,4,"Yes"
"118","Male","40 and above","Self-employed","Monthly","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes",3,5,3,2,4,4,"Yes"
"119","Male","From 20 to 29","Employed","Monthly","Dine in","Between 1 hour to 2 hours","1km - 3km","Yes",5,5,5,5,5,5,"Yes"
"120","Male","From 20 to 29","Student","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No",3,4,3,3,3,4,"No"
"121","Female","From 20 to 29","Employed","Rarely","Take away","Below 30 minutes","within 1km","No",4,4,4,4,4,4,"Yes"
"122","Male","From 20 to 29","Employed","Rarely","Dine in","Between 30 minutes to 1 hour","1km - 3km","No",1,5,4,3,3,2,"No"
