sex,age,juv_fel_count,race,juv_misd_count,juv_other_count,PriorCount,is_recid,is_violent_recid,ChargeDegree,DaysInJail,RecidScore
Female,32,0,African-American,0,0,4,1,1,F,9811.83333333333,1.31
Male,29,0,Hispanic,0,0,1,0,0,F,1274.81666666667,-0.27
Male,55,0,African-American,0,0,3,0,0,M,1570.6,-4.38
Male,39,1,Caucasian,0,0,1,0,0,M,5650.08333333333,0.49
Male,30,0,African-American,0,0,1,0,0,F,100983.416666667,2.11
Male,48,0,Caucasian,0,0,2,0,0,M,1190.73333333333,-3.7
Male,22,0,African-American,0,0,1,0,0,F,1246.8,-0.69
Female,49,0,Caucasian,0,0,6,0,0,F,7233.5,-4.51
Male,31,0,Caucasian,0,0,0,0,0,F,3267.4,-4.31
Male,23,0,Hispanic,0,0,0,0,0,F,59.6,-2.3
Female,32,0,African-American,0,0,5,0,0,F,1585.96666666667,-3.46
Male,52,0,Hispanic,0,0,2,0,0,M,4429.6,-6.99
Male,62,0,African-American,0,0,8,0,0,F,22543.6833333333,-1.67
Female,37,0,Caucasian,0,0,6,0,0,F,152433.266666667,1.98
Male,55,0,Caucasian,0,0,1,0,0,F,26393.9666666667,-0.09
Male,28,0,African-American,0,0,6,1,1,M,998.2,4.47
Male,54,0,Hispanic,0,0,2,0,0,F,271267.666666667,-2.38
Male,58,0,Hispanic,0,0,0,0,0,F,979.233333333333,-6.47
Male,56,0,Caucasian,0,0,0,0,0,F,1676.26666666667,-7.16
Male,24,0,Other,0,0,0,0,0,F,2844.05,-1.38
Male,57,0,Hispanic,0,0,1,0,0,F,28365.2,-0.92
Male,66,0,African-American,0,0,3,1,1,F,2900.5,1.2
Male,37,0,African-American,0,0,2,1,1,M,313.65,2.42
Male,45,0,Caucasian,0,0,2,0,0,F,516915.133333333,-0.43
Male,23,0,African-American,0,0,0,1,1,F,1407.35,2.54
Male,34,0,African-American,0,0,2,1,0,M,37034.8833333333,-1.25
Female,23,0,African-American,0,0,1,0,0,M,1193.16666666667,-1
Male,50,0,Caucasian,0,0,1,0,0,F,2494.18333333333,-2.55
Female,37,0,Caucasian,0,0,0,0,0,M,367.166666666667,-4.4
Male,44,0,Caucasian,0,0,4,0,0,M,1790.15,-0.98
Male,27,0,African-American,0,0,0,0,0,M,3933.25,-0.67
Female,28,0,African-American,0,0,0,0,0,F,41929.1666666667,3.47
Male,43,0,Caucasian,0,0,11,1,1,F,174570.2,2.23
Male,38,0,African-American,0,0,2,0,0,F,1753.7,-1.68
Male,27,0,Caucasian,0,0,2,0,0,M,51848.4666666667,2.68
Female,28,0,African-American,0,0,1,0,0,F,55916.8833333333,-1.18
Male,38,0,African-American,0,0,15,0,0,F,2537.85,1.65
Male,28,0,African-American,0,0,2,0,0,M,1068.06666666667,-1.57
Male,45,0,African-American,0,0,3,0,0,F,314770,3.3
Male,61,0,Caucasian,0,0,1,0,0,F,1223.63333333333,-1.41
Female,51,0,Caucasian,0,0,0,1,1,M,1042.63333333333,-4.2
Male,51,0,Caucasian,0,0,0,0,0,M,1279.03333333333,-5.54
Male,48,0,African-American,0,0,0,0,0,F,1583.45,-3.56
Female,30,0,African-American,0,0,2,0,0,F,4029.75,-0.29
Female,41,0,African-American,0,0,5,0,0,M,348.066666666667,-0.56
Male,37,0,African-American,0,0,0,1,1,M,2567.2,-3.86
Male,54,0,African-American,0,0,11,0,0,F,187027.416666667,0.84
Male,23,0,African-American,0,0,2,0,0,F,103467.383333333,0.38
Male,41,0,African-American,0,0,0,0,0,M,1247.3,-0.06
Male,52,0,Caucasian,0,0,0,0,0,F,1295.68333333333,-5.77
Male,52,0,African-American,0,0,0,0,0,F,20069.8,-2.5
Male,28,0,Caucasian,0,0,1,0,0,F,4713.48333333333,-3.31
Male,30,0,African-American,0,2,11,1,1,M,1760.78333333333,2.75
Male,28,0,Caucasian,0,0,1,0,0,F,8884.28333333333,-2.95
Male,22,0,African-American,0,0,0,0,0,F,1329.96666666667,-2.8
Male,30,0,African-American,0,0,4,0,0,F,-183.283333333333,-2.96
Male,25,0,Hispanic,0,0,4,0,0,F,1752.06666666667,0.16
Male,32,0,African-American,1,0,14,0,0,F,1661.83333333333,3.65
Male,26,0,African-American,1,0,4,0,0,M,109314.333333333,0.16
Male,53,0,Caucasian,0,0,1,0,0,M,1507.81666666667,-3.43
Male,25,0,African-American,0,0,0,0,0,F,491.5,-2.72
Female,37,0,Other,0,0,0,0,0,M,1445.51666666667,-4.85
Female,40,0,Other,0,0,3,0,0,F,1442.2,0.37
Male,36,0,Caucasian,0,0,8,1,1,F,31964.2666666667,0.71
Male,30,0,Caucasian,0,0,4,0,0,F,89828.5333333333,-0.9
Male,22,0,African-American,0,0,3,1,1,M,1146.9,-0.9
Female,24,0,Caucasian,0,0,1,1,1,M,41992.4666666667,-1.46
Female,31,0,Hispanic,0,0,0,0,0,M,1318.61666666667,-3.67
Male,24,0,Hispanic,0,0,0,0,0,M,951.3,-2.07
Male,29,0,African-American,0,0,1,0,0,M,1388.61666666667,-1.96
Male,20,0,African-American,0,0,1,1,1,F,1620.13333333333,3.1
Male,39,0,Other,0,0,0,0,0,F,1302.11666666667,-3.68
Male,27,0,African-American,0,0,4,0,0,F,1402.86666666667,4.65
Male,31,0,Caucasian,0,0,2,1,0,M,15580.7333333333,-0.71
Female,37,0,African-American,0,0,2,0,0,F,1135.33333333333,1.53
Male,20,0,African-American,0,0,0,0,0,F,3990.41666666667,2.74
Male,22,0,Hispanic,0,1,0,0,0,F,2972.36666666667,0.72
Female,52,0,African-American,0,0,0,0,0,F,957.3,-4.24
Female,48,0,African-American,0,0,0,0,0,F,2663.51666666667,-3.05
Male,25,0,Caucasian,0,0,0,0,0,F,275.283333333333,-1.51
Male,27,0,Caucasian,0,0,0,1,1,F,2472.55,-1.24
Female,22,0,Caucasian,0,0,1,0,0,F,1381.71666666667,-1.65
Male,32,0,Caucasian,0,0,2,0,0,F,57688.5833333333,0.02
Female,41,0,African-American,0,0,2,0,0,M,1369.31666666667,-4.53
Female,25,0,Other,0,0,0,0,0,F,1314.33333333333,-1.75
Male,44,0,African-American,0,0,24,0,0,M,169458.45,5.49
Male,43,0,African-American,0,0,0,0,0,F,59053.0833333333,0.27
Male,37,0,Caucasian,0,0,3,0,0,F,4162.95,-0.68
Male,28,0,African-American,0,0,3,1,1,M,3922.05,1.57
Male,70,0,Caucasian,0,0,1,0,0,M,18686.6666666667,-5.47
Male,46,0,Caucasian,0,0,3,0,0,F,20469.6166666667,4.7
Male,26,0,African-American,0,0,1,1,1,M,2668.16666666667,0.74
Male,34,0,Caucasian,0,0,5,0,0,M,1718.75,-3.91
Male,34,0,African-American,0,0,5,0,0,M,1386.53333333333,-0.89
Male,30,0,African-American,0,0,2,0,0,F,119993.066666667,0.72
Male,24,0,Other,0,0,0,0,0,F,1525.56666666667,1.59
Male,33,0,Caucasian,0,0,1,1,1,M,123.05,-4.73
Male,58,0,Caucasian,0,0,2,0,0,F,2559.98333333333,-3.68
Female,21,0,African-American,0,0,0,0,0,M,1257.35,0.44
Male,21,0,African-American,0,0,1,1,0,F,52101.8,0.01
Male,62,0,Caucasian,0,0,0,0,0,F,2802.53333333333,0.05
Male,37,0,Caucasian,0,0,5,0,0,F,15782,-1.28
Female,32,0,African-American,0,0,5,0,0,F,-129.633333333333,3.86
Male,23,0,Hispanic,0,0,0,0,0,F,66126.5,-1.31
Male,27,0,African-American,0,0,0,0,0,M,1152.75,-2.52
Female,42,0,Caucasian,0,0,0,0,0,F,1603.06666666667,-1.29
Male,24,0,Other,1,0,9,1,1,F,6655.01666666667,0.92
Male,27,0,African-American,0,0,0,0,0,F,24806.2333333333,-2.15
Female,51,0,Caucasian,0,0,0,0,0,M,1838.05,-3.78
Male,56,0,Caucasian,0,0,0,0,0,M,1779.66666666667,-4.16
Male,29,0,African-American,0,0,7,0,0,F,1692.98333333333,1.17
Male,53,0,Caucasian,0,0,6,0,0,F,250668.45,-0.77
Male,27,0,Caucasian,0,0,8,0,0,F,98122.6333333333,0.01
Male,24,0,African-American,1,0,2,1,1,F,27535.6166666667,-0.06
Male,28,0,Caucasian,0,0,2,1,1,M,1751.83333333333,1.41
Male,21,0,Hispanic,1,0,3,1,0,F,31776.85,0.95
Female,36,0,African-American,0,0,0,0,0,F,17284.7,-0.31
Female,23,0,Hispanic,0,0,1,1,0,M,614.8,-1.68
Male,28,0,Caucasian,0,0,1,0,0,F,1701.88333333333,0.72
Male,36,0,Caucasian,0,0,0,0,0,M,1004.1,-3.1
Male,24,0,African-American,0,0,0,0,0,F,1070.71666666667,-0.25
Male,29,0,African-American,0,0,0,0,0,F,1796.26666666667,-0.98
Female,30,0,Caucasian,0,0,0,0,0,M,5623.85,0.41
Male,51,0,Hispanic,0,0,1,0,0,M,1654.86666666667,0.29
Male,33,0,Other,0,0,3,0,0,F,4368,0.13
Female,25,0,African-American,0,0,2,0,0,F,2791.58333333333,3.91
Male,32,0,African-American,1,0,12,1,1,F,2233.78333333333,5.4
Male,23,0,African-American,0,1,1,0,0,F,1571.83333333333,-3.18
Male,47,0,African-American,0,0,3,0,0,F,268.916666666667,1.9
Male,37,0,Caucasian,0,0,0,0,0,F,27402.5,-2.4
Male,27,0,Hispanic,0,0,0,0,0,M,3010.56666666667,-4.25
Male,39,0,Other,0,0,0,0,0,M,1200.55,-1.26
Female,21,0,Caucasian,0,2,0,0,0,F,246.55,-1.8
Male,69,0,Caucasian,0,0,0,0,0,M,1363.85,-4.33
Male,21,0,Caucasian,0,0,2,0,0,F,3009.8,-2.8
Male,22,0,Caucasian,0,0,0,0,0,F,75.2833333333333,0.02
Male,49,0,African-American,0,0,3,0,0,F,5377.5,-2.34
Male,29,0,African-American,0,1,2,1,0,M,73147.9833333333,2.69
Female,60,0,Caucasian,0,0,0,0,0,M,1261.53333333333,-5.08
Male,34,0,Hispanic,0,0,2,1,1,M,299325.033333333,-2.78
Female,20,1,Other,0,0,1,0,0,F,4253.26666666667,-0.18
Male,36,0,Hispanic,0,0,1,0,0,F,136951.833333333,1.59
Male,30,0,Caucasian,0,0,0,0,0,F,2647.5,0.7
Male,21,0,African-American,1,0,1,1,0,F,-335,-1.67
Male,34,0,Caucasian,0,0,1,0,0,M,303.1,0.26
Female,53,0,Caucasian,0,0,1,0,0,M,1215,-3.88
Female,24,0,African-American,0,0,0,0,0,F,1686.76666666667,0.1
Male,42,0,African-American,0,0,1,0,0,F,6093.28333333333,-0.58
Male,28,0,African-American,0,0,1,0,0,M,2615.6,0.21
Male,24,0,Caucasian,0,0,1,0,0,M,52420.8333333333,-0.71
Male,22,0,African-American,0,0,4,1,1,F,374681.3,0.77
Male,21,0,Caucasian,0,0,3,0,0,M,8499.6,-1.48
Male,35,0,African-American,0,0,2,0,0,F,7507.31666666667,0.01
Male,53,0,African-American,0,0,2,0,0,F,1051.2,-5.49
Male,29,0,African-American,0,0,7,1,0,F,1773.71666666667,-1.64
Male,48,1,Caucasian,0,0,23,1,1,F,519752.216666667,7.04
Female,52,0,Caucasian,0,0,0,0,0,M,261.3,-3.44
Male,28,0,African-American,0,0,5,1,0,F,73798.3,2.74
Male,33,0,Caucasian,0,0,3,0,0,M,393.666666666667,-1.97
Female,28,0,Hispanic,0,0,0,0,0,F,3428.7,-3.73
Male,29,1,African-American,0,0,2,0,0,F,2677.73333333333,-3.12
Male,26,0,African-American,0,2,6,0,0,F,372.933333333333,0.14
Male,25,0,Caucasian,0,0,0,0,0,F,285.933333333333,1.56
Male,68,0,Caucasian,0,0,2,0,0,F,1136.21666666667,-4.47
Male,56,0,African-American,0,0,5,0,0,F,17392.6666666667,-4.13
Male,27,0,African-American,0,0,9,1,1,F,75052.0333333333,2.01
Male,32,0,African-American,0,0,3,0,0,F,1636.23333333333,-3.75
Male,60,0,Other,0,0,4,0,0,F,1654.88333333333,-4.41
Male,23,0,Hispanic,0,0,1,0,0,M,7464.3,-3.51
Female,39,0,Caucasian,0,0,0,0,0,M,1379.63333333333,-5.18
Male,56,0,Caucasian,0,0,0,0,0,M,1403.83333333333,-3.17
Female,22,0,African-American,0,0,0,0,0,F,369.016666666667,0.21
Male,53,0,African-American,0,0,11,0,0,F,158425.95,0.33
Male,21,0,Hispanic,0,0,0,0,0,M,271.95,-0.99
Male,22,0,Caucasian,0,0,0,0,0,F,2830.8,0.54
Female,58,0,Caucasian,0,0,2,0,0,M,1713.45,-5.15
Male,42,0,Other,0,0,1,0,0,F,2950.91666666667,0.14
Male,29,0,Caucasian,0,0,0,1,1,M,7812.45,1.23
Male,29,0,African-American,0,0,8,0,0,F,126178.933333333,0.01
Male,22,0,African-American,0,0,3,0,0,F,152876.616666667,-0.11
Male,37,0,Caucasian,0,0,0,0,0,F,206.716666666667,-2.3
Male,27,0,Caucasian,0,0,3,0,0,M,-12.5,0.34
Male,26,0,African-American,0,0,3,0,0,F,47597.2666666667,2.03
Male,33,0,Caucasian,0,0,0,0,0,F,1794.8,-5.92
Male,29,0,African-American,0,0,2,0,0,F,1395.85,-2.29
Male,36,0,Caucasian,0,0,2,0,0,M,1421.53333333333,-3.08
Female,24,0,Caucasian,0,0,0,0,0,F,329.3,0.82
Male,34,0,Caucasian,0,0,0,0,0,M,85.9,-1.38
Male,25,0,Hispanic,0,0,2,1,1,F,973.633333333333,3.01
Male,28,0,Hispanic,0,0,2,1,1,M,1615.25,-3.63
Male,24,0,African-American,0,0,1,1,1,M,2824.46666666667,2.76
Male,61,0,Caucasian,0,0,4,0,0,F,2548.2,-4.09
Female,50,0,African-American,0,0,3,0,0,F,-232.7,-3.4
Male,30,0,African-American,0,0,1,0,0,M,6437.7,-3.85
Male,38,0,African-American,0,0,5,0,0,F,1767.98333333333,-4.74
Male,24,0,Caucasian,0,0,0,0,0,M,953.75,-1.45
Male,45,0,African-American,0,0,16,0,0,F,93090.3833333333,2.61
Male,20,0,Other,0,1,0,1,1,F,31980.2666666667,-1.55
Male,27,0,African-American,0,0,13,1,1,M,1647,5.57
Female,51,0,African-American,0,0,16,0,0,F,95088.15,2.02
Male,28,0,Caucasian,0,0,1,1,1,F,5771.51666666667,1.57
Male,26,1,African-American,1,0,10,1,1,F,1040.65,3.39
Male,28,0,African-American,0,0,5,0,0,F,1682.01666666667,4.71
Male,63,0,Caucasian,0,0,2,0,0,F,4427.43333333333,0.76
Male,42,0,African-American,0,0,0,0,0,F,1540.93333333333,0.36
Male,23,1,African-American,2,2,6,1,1,F,1252.71666666667,3.23
Male,54,0,African-American,0,0,2,0,0,M,1182.4,-1.83
Male,35,0,African-American,0,0,1,0,0,M,1420.53333333333,0.34
Male,20,0,African-American,0,0,1,1,1,F,2943.1,1.48
Male,51,0,Caucasian,0,0,0,0,0,F,50776.75,-2.18
Male,24,0,Hispanic,0,0,0,0,0,F,1493.13333333333,1.14
Male,37,0,Caucasian,0,0,3,0,0,F,9969.58333333333,3.04
Male,47,0,Caucasian,0,0,3,0,0,F,1333.98333333333,-0.63
Male,56,0,Caucasian,0,0,0,0,0,F,1266.06666666667,-2.68
Male,35,0,Asian,0,0,0,0,0,F,145538.683333333,-1.75
Male,58,0,Hispanic,0,0,1,0,0,F,14525.55,-8.07
Male,29,0,Hispanic,0,0,2,0,0,M,1326.68333333333,-2.71
Female,24,0,Caucasian,0,1,6,1,1,F,4853.51666666667,-0.96
Male,21,0,Caucasian,0,4,2,1,1,M,12376.2666666667,2.65
Male,26,0,African-American,0,0,1,0,0,F,1752.81666666667,4.83
Female,30,0,Caucasian,0,0,0,0,0,M,1461.66666666667,0.31
Male,29,0,Caucasian,0,0,0,1,1,M,1444.7,-1.69
Male,54,0,African-American,0,0,0,0,0,M,1636.51666666667,-4.16
Male,29,0,African-American,0,0,4,1,1,F,11838.7,2.36
Female,59,0,Caucasian,0,0,0,0,0,M,1375.83333333333,-5.83
Male,38,0,African-American,0,0,0,0,0,F,1828.21666666667,-6.25
Male,29,0,African-American,0,0,4,1,1,F,37321.65,2.02
Male,52,0,Hispanic,0,0,20,0,0,F,40184.5833333333,2.34
Male,27,0,Caucasian,0,0,2,0,0,F,407.733333333333,-1.53
Male,51,0,Caucasian,0,0,1,0,0,M,1549.18333333333,-4.1
Male,35,0,Caucasian,0,0,1,0,0,F,106582.633333333,-0.31
Male,52,0,Caucasian,0,0,4,0,0,M,1379.66666666667,0.53
Female,35,0,African-American,0,0,12,0,0,M,-607.85,0.21
Male,48,0,Other,0,0,12,0,0,F,1721.58333333333,-1.22
Female,26,0,African-American,0,0,0,0,0,M,1808.55,-1.12
Female,48,0,Caucasian,0,0,0,0,0,M,1358.23333333333,-3.55
Male,30,0,Hispanic,0,0,7,0,0,M,54365.0333333333,0.87
Male,28,0,Other,0,0,2,0,0,M,2804.55,-3.89
Male,33,0,African-American,0,0,2,0,0,M,585.133333333333,-0.62
Female,34,0,African-American,0,0,6,0,0,F,74973.7833333333,-3.38
Male,25,0,Other,0,0,0,0,0,M,-90.4333333333333,-0.78
Male,24,0,Caucasian,0,0,0,0,0,F,1764.46666666667,-1.51
Male,55,0,African-American,0,0,0,1,1,M,65203.9833333333,-1.44
Male,52,0,African-American,0,0,4,0,0,M,1497.53333333333,0.7
Male,24,0,Caucasian,0,0,0,0,0,F,21649.9333333333,-2.45
Male,23,0,Caucasian,0,0,0,0,0,M,1763.7,1.36
Male,27,0,Caucasian,1,3,6,1,0,F,1840.33333333333,3.27
Male,31,0,African-American,0,0,0,0,0,F,6.23333333333333,1.71
Male,32,0,Caucasian,0,0,1,1,1,F,950.083333333333,-1.85
Male,37,0,Other,0,0,1,0,0,F,7266.68333333333,-4.12
Male,25,0,Caucasian,0,0,0,0,0,F,5.73333333333333,-3.15
Male,32,1,Hispanic,1,0,20,0,0,F,1320.05,-0.68
Male,35,0,African-American,0,0,0,0,0,F,2942.43333333333,-1.32
Male,24,0,Caucasian,0,1,9,1,1,M,14529.4666666667,3.66
Male,47,0,Caucasian,0,0,1,0,0,M,325.416666666667,-5.12
Male,44,0,African-American,0,0,1,0,0,M,117.566666666667,0.5
Male,23,0,Caucasian,0,0,2,0,0,F,1297.03333333333,-1.2
Male,42,0,African-American,0,0,8,0,0,F,2562.9,-0.9
Male,58,0,African-American,0,0,6,0,0,F,207471.666666667,-0.54
Male,26,0,African-American,0,1,3,1,0,F,2630.78333333333,0.51
Female,48,0,Other,0,0,0,0,0,F,24576.65,-3.4
Male,21,0,African-American,2,0,3,1,1,F,-332.833333333333,4.13
Male,63,0,Caucasian,0,0,1,0,0,M,8272.71666666667,-6.78
Male,22,0,African-American,1,0,3,1,1,F,11406.8166666667,0.4
Male,50,0,African-American,0,0,3,0,0,M,1309.4,-3.23
Male,38,0,African-American,0,0,0,0,0,F,14345.7666666667,-3.36
Male,41,0,Caucasian,0,0,1,0,0,F,9064.73333333333,-3.46
Male,28,8,African-American,0,1,16,1,1,F,1671.78333333333,7.65
Female,30,0,African-American,0,0,0,0,0,M,1790.23333333333,-0.86
Male,23,0,African-American,0,0,1,0,0,F,340.75,-0.96
Male,40,0,Caucasian,0,0,5,0,0,F,243.366666666667,-2.2
Male,24,0,Hispanic,0,0,8,0,0,F,-44.45,2.01
Male,44,0,Caucasian,0,0,11,0,0,M,259608.766666667,2.01
Female,35,0,African-American,0,0,6,1,1,F,1805.66666666667,-1.39
Male,42,0,Caucasian,0,0,0,0,0,M,322.15,-2.83
Male,38,0,African-American,0,0,15,1,0,F,332.283333333333,-1.65
Male,26,0,Hispanic,0,0,4,0,0,F,-135.733333333333,-0.29
Female,25,0,African-American,0,0,0,0,0,M,1407.75,-2.2
Male,64,0,Hispanic,0,0,1,0,0,F,10905.8666666667,-3.29
Female,46,0,Caucasian,0,0,0,0,0,M,1447.1,-1.26
Male,30,0,African-American,0,1,5,1,1,F,1569.85,5.18
Female,22,0,Caucasian,0,0,0,0,0,M,-214.9,-3.01
Male,23,0,Caucasian,0,0,1,0,0,M,14355.55,0.96
Male,31,0,Hispanic,0,0,0,0,0,M,805.116666666667,-1.08
Male,31,0,Other,0,0,1,0,0,F,1229.03333333333,-5.19
Male,28,0,African-American,0,0,4,1,0,F,75091.7166666667,-3.26
Male,25,0,African-American,0,0,0,1,1,M,1020.53333333333,-2.1
Female,21,0,Caucasian,0,0,0,0,0,F,3119.73333333333,-0.81
Male,27,0,African-American,0,0,0,0,0,M,1936.61666666667,-6.16
Male,32,0,Hispanic,0,0,1,0,0,F,21.5,-2.61
Female,24,0,Caucasian,0,1,0,0,0,F,1238.68333333333,0.27
Male,20,1,African-American,0,0,1,0,0,F,1313.21666666667,2.77
Male,27,0,African-American,0,0,3,1,1,M,8713.18333333333,3.91
Male,40,0,African-American,0,0,0,0,0,F,1609.5,-2.23
Male,22,0,African-American,0,0,11,1,1,F,5.26666666666667,4.74
Female,38,0,African-American,0,0,1,0,0,F,1313.6,-2.3
Male,30,0,African-American,0,0,1,0,0,M,1326.38333333333,-3.53
Male,27,0,Caucasian,0,0,6,1,1,F,49482.2,-0.63
Female,59,0,Caucasian,0,0,0,0,0,M,312.15,-5.63
Male,37,0,Caucasian,0,0,2,0,0,M,1460.75,0.77
Male,38,0,Caucasian,0,0,0,0,0,F,562.216666666667,-1.65
Male,43,0,Hispanic,0,0,1,0,0,M,59334.0333333333,-4.72
Male,25,0,African-American,0,0,4,1,1,F,46073.1166666667,4.94
Male,51,0,Caucasian,0,0,0,0,0,M,16.05,-3.31
Male,28,0,African-American,0,0,10,0,0,F,183.35,1.67
Female,23,0,Caucasian,0,0,3,0,0,F,8247.51666666667,-0.01
Female,22,0,African-American,0,0,0,0,0,M,11122.8333333333,1.76
