"type_school","school_accreditation","gender","interest","residence","parent_age","parent_salary","house_area","average_grades","parent_was_in_college","in_college"
"Academic","B","Female","Less Interested","Urban",49,4840000,54.9,85.81,"True","False"
"Academic","B","Female","Uncertain","Rural",48,5020000,88,92.47,"True","True"
"Academic","B","Female","Very Interested","Urban",58,5390000,74.9,86.92,"False","True"
"Academic","B","Female","Uncertain","Rural",52,4890000,109.1,80.65,"True","True"
"Academic","A","Female","Less Interested","Urban",55,6960000,78.5,83.84,"False","False"
"Academic","B","Male","Very Interested","Urban",52,6750000,90.1,86.23,"False","True"
"Academic","A","Male","Less Interested","Urban",54,3650000,76.4,87.09,"False","False"
"Academic","A","Female","Very Interested","Urban",56,3700000,72.7,85.14,"False","False"
"Academic","B","Male","Not Interested","Rural",49,7570000,62.3,89.95,"True","True"
"Academic","B","Male","Uncertain","Urban",53,6160000,80.8,91.16,"True","True"
"Academic","A","Female","Very Interested","Urban",59,2910000,79.6,85.24,"False","False"
"Academic","B","Female","Less Interested","Urban",50,3360000,63.5,84.98,"True","False"
"Academic","B","Female","Not Interested","Rural",50,8290000,67.4,89.16,"True","True"
"Academic","A","Male","Very Interested","Urban",60,1830000,75.9,81.19,"False","False"
"Academic","A","Male","Less Interested","Urban",53,4180000,69.3,80.96,"False","False"
"Academic","B","Male","Very Interested","Rural",49,3770000,66.7,85.93,"True","False"
"Academic","B","Female","Uncertain","Rural",52,5340000,85.2,95.1,"True","True"
"Academic","A","Female","Less Interested","Urban",51,4720000,104.5,87.24,"False","True"
"Academic","A","Female","Less Interested","Urban",53,5310000,72.3,81.04,"False","False"
"Academic","A","Male","Very Interested","Urban",51,7430000,74.3,88.84,"False","True"
"Academic","B","Female","Uncertain","Rural",50,5690000,75.2,91.47,"True","True"
"Academic","A","Female","Less Interested","Rural",44,5410000,36.6,83.48,"False","False"
"Academic","A","Female","Less Interested","Urban",53,5110000,68.2,82.67,"False","False"
"Academic","B","Female","Very Interested","Rural",54,6160000,120,88.98,"True","True"
"Academic","B","Female","Less Interested","Rural",54,4550000,65.8,84.97,"True","False"
"Academic","B","Male","Very Interested","Urban",55,5250000,80.7,83.89,"False","False"
"Academic","A","Male","Quite Interested","Urban",55,5120000,49.7,85.73,"False","False"
"Academic","B","Male","Uncertain","Rural",55,5530000,112.5,88.51,"True","True"
"Academic","B","Male","Quite Interested","Urban",53,4100000,54,84.9,"False","False"
"Academic","A","Female","Less Interested","Urban",58,5370000,72.3,84.78,"False","False"
"Academic","B","Female","Very Interested","Rural",54,5790000,94.9,86.6,"True","True"
"Academic","A","Male","Quite Interested","Urban",56,5280000,65.6,88.94,"False","False"
"Academic","A","Male","Very Interested","Urban",51,4440000,59.3,84.45,"False","False"
"Academic","A","Male","Uncertain","Urban",54,4940000,100.1,83.52,"False","True"
"Academic","A","Male","Less Interested","Urban",59,3720000,60.7,84.44,"False","False"
"Academic","A","Male","Very Interested","Urban",53,4840000,87.7,89.03,"False","True"
"Academic","A","Female","Very Interested","Urban",52,5320000,65.7,85.39,"False","True"
"Academic","A","Male","Less Interested","Urban",54,7260000,92.8,89.07,"False","True"
"Academic","B","Male","Very Interested","Urban",51,4970000,87.8,89.41,"True","True"
"Academic","A","Female","Very Interested","Urban",52,8020000,68.5,83.64,"False","True"
"Academic","B","Female","Uncertain","Urban",64,3860000,86.1,85.28,"False","True"
"Academic","A","Female","Very Interested","Urban",52,5980000,72,87.66,"False","True"
"Academic","A","Male","Very Interested","Urban",57,6540000,60.1,85.58,"False","False"
"Academic","B","Male","Uncertain","Urban",51,4170000,83.8,90.96,"True","True"
"Academic","B","Female","Uncertain","Urban",53,5730000,86.5,83.84,"True","True"
"Academic","B","Male","Uncertain","Urban",48,6090000,68.7,90.83,"True","True"
"Academic","B","Female","Very Interested","Rural",53,6140000,79.7,92.76,"True","True"
"Academic","B","Male","Uncertain","Urban",53,6150000,83.9,91.02,"True","True"
"Academic","A","Male","Uncertain","Rural",51,3510000,78.3,83.9,"True","False"
"Academic","B","Female","Uncertain","Urban",52,8080000,67.8,87.39,"False","True"
"Academic","B","Male","Less Interested","Urban",56,4560000,64.1,87.81,"False","False"
"Academic","B","Female","Very Interested","Rural",52,7960000,88.2,93.35,"True","True"
"Academic","A","Male","Less Interested","Urban",57,3830000,89.3,84.92,"False","True"
"Academic","A","Female","Less Interested","Rural",51,5350000,47.4,82.61,"True","False"
"Academic","B","Female","Very Interested","Urban",54,6570000,83.3,89.42,"False","True"
"Academic","B","Female","Uncertain","Rural",48,6750000,91,85.01,"True","True"
"Academic","B","Male","Uncertain","Urban",52,6200000,67.8,88.72,"True","True"
"Academic","B","Male","Uncertain","Rural",50,2810000,80.5,85.62,"True","False"
"Academic","B","Male","Uncertain","Rural",50,7880000,93,96.1,"True","True"
"Academic","B","Female","Very Interested","Urban",56,6070000,71.3,86.86,"False","True"
"Academic","A","Male","Not Interested","Rural",49,2600000,100.8,88.86,"True","False"
"Academic","B","Female","Less Interested","Urban",46,2730000,62.4,83.08,"True","False"
"Academic","A","Male","Quite Interested","Urban",52,4920000,41.8,81.64,"False","False"
"Academic","B","Male","Very Interested","Urban",54,6060000,86.3,86.55,"True","True"
"Academic","A","Male","Less Interested","Urban",53,3340000,86.1,90.01,"False","True"
"Academic","B","Male","Less Interested","Urban",53,6140000,76.2,84.33,"False","False"
"Academic","B","Female","Uncertain","Urban",50,2160000,78.4,83.17,"True","False"
"Academic","A","Male","Less Interested","Urban",57,3040000,72.3,84.79,"False","False"
"Academic","B","Female","Not Interested","Rural",49,6340000,77.3,92.68,"True","True"
"Academic","A","Male","Uncertain","Rural",47,3040000,85.3,85.93,"True","False"
"Academic","A","Female","Uncertain","Urban",52,5040000,65.5,88.37,"True","True"
"Academic","B","Female","Uncertain","Rural",48,6710000,90.7,85.78,"True","True"
"Academic","A","Female","Quite Interested","Urban",54,5370000,38,82.7,"False","False"
"Academic","B","Male","Uncertain","Rural",52,5060000,87.3,93.89,"True","True"
"Academic","B","Female","Very Interested","Rural",46,3780000,68.6,89.13,"True","False"
"Academic","B","Female","Uncertain","Rural",50,7230000,93.8,89.53,"True","True"
"Academic","B","Female","Very Interested","Rural",49,7900000,75.8,90.67,"True","True"
"Academic","A","Female","Less Interested","Urban",56,4120000,67,86.6,"False","False"
"Academic","A","Female","Less Interested","Rural",51,4760000,87.1,82.36,"False","False"
"Academic","A","Male","Less Interested","Urban",57,2940000,79.7,82.57,"False","False"
"Academic","B","Male","Less Interested","Urban",50,3230000,64.8,86.02,"True","False"
"Academic","B","Male","Very Interested","Urban",50,6740000,71.2,87.64,"False","True"
"Academic","A","Male","Less Interested","Rural",53,5680000,81.3,84.25,"False","False"
"Academic","B","Male","Less Interested","Urban",55,1660000,92.1,88.26,"False","False"
"Academic","B","Female","Less Interested","Urban",54,3210000,106.9,92.85,"False","True"
"Academic","A","Male","Less Interested","Rural",52,5720000,81.7,83.88,"False","False"
"Academic","B","Male","Very Interested","Rural",52,6720000,89.8,88.78,"True","True"
"Academic","A","Female","Uncertain","Urban",58,5060000,62.1,88.85,"False","False"
"Academic","A","Female","Less Interested","Urban",52,3320000,64.6,82.33,"False","False"
"Academic","B","Male","Quite Interested","Urban",60,3540000,64.7,83.03,"False","False"
"Academic","B","Male","Very Interested","Rural",49,7710000,92.3,90.4,"True","True"
"Academic","A","Female","Uncertain","Rural",53,5660000,76.9,89.97,"False","True"
"Academic","A","Male","Very Interested","Rural",51,5460000,80.6,85.23,"False","False"
"Academic","A","Male","Quite Interested","Urban",54,5670000,65.4,81.76,"False","False"
"Academic","A","Female","Less Interested","Urban",46,4980000,47.8,84.72,"False","False"
"Academic","B","Male","Uncertain","Rural",49,6910000,84.6,91.38,"True","True"
"Academic","A","Female","Uncertain","Urban",51,5550000,68.2,87.61,"False","True"
"Academic","B","Male","Uncertain","Rural",48,7310000,105.5,87.66,"True","True"
"Academic","A","Female","Uncertain","Rural",53,5390000,47.1,81,"True","False"
"Academic","A","Male","Very Interested","Rural",47,5840000,90.2,86.36,"True","False"
"Academic","B","Female","Very Interested","Rural",48,3440000,58.3,84.07,"True","False"
"Academic","A","Female","Very Interested","Urban",53,3310000,66.6,83.14,"False","False"
"Academic","A","Female","Very Interested","Urban",56,3380000,69.1,84.06,"False","False"
"Academic","B","Male","Very Interested","Urban",54,4120000,80.8,92.07,"False","True"
"Academic","A","Male","Less Interested","Urban",55,4880000,95.1,90.47,"False","True"
"Academic","B","Female","Less Interested","Urban",55,5780000,85.1,85.9,"True","True"
"Academic","A","Male","Quite Interested","Urban",60,3860000,70.5,84.83,"False","False"
"Academic","A","Female","Very Interested","Urban",56,3390000,80.5,84.04,"False","False"
"Academic","B","Male","Less Interested","Rural",47,5100000,40.6,82.32,"True","False"
"Academic","B","Female","Very Interested","Urban",55,2920000,67,82.93,"True","False"
"Academic","B","Male","Less Interested","Rural",46,4010000,58.5,84.11,"True","False"
"Academic","A","Female","Very Interested","Urban",53,4510000,66.7,87.71,"False","False"
"Academic","B","Female","Very Interested","Urban",54,5250000,69.6,84.81,"True","True"
"Academic","B","Female","Less Interested","Urban",52,3640000,59.4,84.59,"True","False"
"Academic","B","Female","Very Interested","Urban",54,5560000,79.9,83.41,"True","True"
"Academic","A","Male","Uncertain","Rural",54,8650000,76.7,90.03,"True","True"
"Academic","B","Female","Less Interested","Rural",40,3810000,44.7,81,"True","False"
"Academic","A","Male","Not Interested","Rural",53,5810000,107.1,88.37,"True","True"
"Academic","B","Female","Uncertain","Rural",50,6250000,79.9,90.96,"True","True"
"Academic","A","Female","Less Interested","Urban",52,3260000,57.1,80.26,"False","False"
"Academic","A","Male","Less Interested","Urban",50,4660000,51.1,85.87,"False","False"
"Academic","B","Male","Less Interested","Urban",46,3800000,57.4,84.84,"True","False"
"Academic","B","Female","Uncertain","Rural",51,5630000,93.5,85.19,"True","True"
"Academic","B","Female","Very Interested","Urban",55,6340000,91.6,90.95,"False","True"
"Academic","A","Male","Less Interested","Urban",51,4860000,54.3,84.33,"False","False"
"Academic","B","Female","Very Interested","Urban",54,7570000,71.3,88.33,"True","True"
"Academic","B","Female","Very Interested","Rural",51,5950000,86.2,88.76,"True","True"
"Academic","B","Male","Less Interested","Urban",55,6490000,72.5,84.22,"False","False"
"Academic","A","Female","Less Interested","Urban",47,4600000,52.7,83.92,"True","False"
"Academic","B","Female","Very Interested","Rural",52,5500000,97.7,85.13,"True","True"
"Academic","A","Male","Very Interested","Urban",57,6690000,89.8,89.87,"False","True"
"Academic","B","Male","Uncertain","Rural",52,5090000,96.2,82.28,"True","True"
"Academic","B","Female","Very Interested","Rural",46,3470000,61.2,83.73,"True","False"
"Academic","A","Female","Less Interested","Urban",50,6840000,53.5,81.78,"False","False"
"Academic","A","Female","Uncertain","Urban",50,5580000,62.4,89.9,"False","True"
"Academic","A","Female","Uncertain","Rural",52,6450000,82.3,88.27,"True","True"
"Academic","B","Female","Very Interested","Rural",43,3800000,48.5,79.1,"True","False"
"Academic","A","Female","Less Interested","Urban",50,4640000,50.8,83.92,"False","False"
"Academic","A","Female","Less Interested","Rural",46,5570000,35.2,82.31,"False","False"
"Academic","B","Male","Not Interested","Urban",56,6090000,75.8,85.13,"False","True"
"Academic","B","Female","Less Interested","Urban",57,3070000,75.8,85.02,"False","False"
"Academic","A","Male","Less Interested","Urban",57,3370000,71.6,84.67,"False","False"
"Academic","B","Male","Less Interested","Urban",59,5170000,83.4,87.65,"False","True"
"Academic","A","Female","Less Interested","Urban",54,5920000,88.2,83.23,"False","True"
"Academic","A","Male","Very Interested","Urban",51,7320000,77.6,86.81,"False","True"
"Academic","A","Male","Less Interested","Urban",51,6670000,71.6,85.12,"False","False"
"Academic","A","Male","Uncertain","Urban",55,2450000,86.4,85.18,"False","False"
"Academic","A","Female","Very Interested","Urban",54,4590000,79.5,89.54,"False","True"
"Academic","B","Male","Very Interested","Rural",51,7310000,90.8,91.89,"True","True"
"Academic","A","Female","Less Interested","Urban",53,3890000,56.7,83.25,"False","False"
"Academic","B","Female","Very Interested","Rural",50,3440000,76.4,88.65,"True","False"
"Academic","B","Male","Not Interested","Urban",55,5010000,86.3,82.13,"False","True"
"Academic","B","Male","Less Interested","Urban",53,3460000,71.8,84.48,"True","False"
"Academic","B","Male","Very Interested","Rural",52,6370000,89.4,85.48,"True","True"
"Academic","B","Female","Very Interested","Urban",55,5770000,74.3,84.29,"False","False"
"Academic","A","Female","Not Interested","Urban",59,4390000,115.7,87.16,"False","True"
"Academic","B","Male","Uncertain","Rural",51,7120000,105.9,88.74,"True","True"
"Academic","B","Male","Very Interested","Urban",58,5280000,78,85.84,"False","True"
"Academic","B","Female","Less Interested","Urban",50,3540000,58.8,82.63,"True","False"
"Academic","B","Female","Very Interested","Rural",49,3340000,64.3,83.59,"True","False"
"Academic","A","Male","Quite Interested","Urban",58,5520000,64,80.75,"False","False"
"Academic","A","Female","Very Interested","Urban",51,5480000,77.3,90.4,"False","True"
"Academic","A","Male","Uncertain","Rural",43,4160000,63.5,87.68,"True","False"
"Academic","B","Female","Quite Interested","Urban",56,3090000,69.4,84.66,"False","False"
"Academic","A","Male","Uncertain","Rural",50,6530000,100.1,87.42,"True","True"
"Academic","A","Male","Quite Interested","Urban",54,4350000,55.2,85.68,"False","False"
"Academic","B","Male","Uncertain","Rural",51,5770000,78,94.06,"True","True"
"Academic","A","Female","Very Interested","Urban",55,4650000,74.9,83.64,"False","False"
"Academic","B","Male","Quite Interested","Urban",49,5040000,35.7,83.21,"False","False"
"Academic","B","Male","Very Interested","Rural",52,4160000,58.6,81.94,"True","False"
"Academic","A","Female","Less Interested","Urban",52,3920000,91.1,91.63,"False","True"
"Academic","B","Female","Less Interested","Urban",58,3020000,81.2,78.92,"True","False"
"Academic","A","Male","Less Interested","Urban",53,3110000,73.1,84.01,"False","False"
"Academic","B","Male","Very Interested","Urban",56,3260000,62.1,84.42,"False","False"
"Academic","A","Female","Less Interested","Urban",57,4420000,60.6,85.23,"False","False"
"Academic","A","Male","Less Interested","Urban",56,5360000,86.3,84.78,"False","False"
"Academic","A","Male","Uncertain","Rural",55,3830000,77.5,86.68,"True","False"
"Academic","A","Male","Quite Interested","Urban",54,6860000,74.9,84,"False","False"
"Academic","B","Female","Uncertain","Rural",48,4260000,75.9,90.31,"True","True"
"Academic","A","Male","Less Interested","Urban",51,9410000,76.2,83.7,"False","True"
"Academic","B","Female","Less Interested","Rural",44,3280000,62.8,82.58,"True","False"
"Academic","B","Male","Quite Interested","Urban",57,3740000,63,85.23,"False","False"
"Academic","B","Male","Quite Interested","Urban",55,4060000,62.2,85.61,"True","False"
"Academic","A","Female","Very Interested","Urban",47,3940000,52.2,83.41,"False","False"
"Academic","A","Female","Less Interested","Urban",53,6690000,91.3,85.33,"False","True"
"Academic","A","Male","Less Interested","Urban",54,4180000,64.4,84.04,"False","False"
"Academic","A","Male","Very Interested","Rural",52,5720000,40.6,80.73,"True","False"
"Academic","B","Male","Uncertain","Rural",49,6290000,84.9,91.82,"True","True"
"Academic","A","Male","Very Interested","Urban",59,1790000,90.5,81.65,"False","False"
"Academic","A","Female","Very Interested","Urban",57,2740000,89.8,83.56,"False","False"
"Academic","B","Male","Less Interested","Rural",54,5290000,89.3,84.72,"True","False"
"Academic","B","Female","Uncertain","Rural",47,6650000,94.4,85.79,"True","True"
"Academic","B","Male","Not Interested","Rural",50,4910000,76.2,93.01,"True","True"
"Academic","B","Female","Less Interested","Urban",52,4090000,63.1,85.45,"True","False"
"Academic","B","Male","Very Interested","Rural",53,7300000,95.9,89.42,"False","True"
"Academic","B","Female","Uncertain","Rural",51,5040000,91,96.72,"True","True"
"Academic","A","Female","Very Interested","Urban",53,8430000,81,84.3,"False","True"
"Academic","B","Male","Very Interested","Rural",52,5810000,87.8,86.72,"True","False"
"Academic","A","Male","Quite Interested","Urban",51,5340000,46.9,86.66,"False","False"
"Academic","A","Female","Less Interested","Urban",52,10000000,87.6,83.67,"False","True"
"Academic","B","Male","Uncertain","Rural",51,6120000,79,89.63,"True","True"
"Academic","A","Female","Quite Interested","Urban",58,4640000,57,86.6,"False","False"
"Academic","A","Female","Very Interested","Urban",51,7320000,82.5,86.47,"False","True"
"Academic","A","Male","Very Interested","Urban",52,1770000,78.1,83.79,"False","False"
"Academic","A","Male","Very Interested","Urban",53,7160000,83.3,87.5,"False","True"
"Academic","A","Female","Less Interested","Urban",51,2820000,64.6,83.18,"False","False"
"Academic","A","Female","Very Interested","Urban",53,6680000,64.6,85.23,"False","True"
"Academic","A","Male","Less Interested","Urban",54,8280000,77.7,81.12,"False","True"
"Academic","B","Female","Quite Interested","Urban",52,4680000,40.8,82.88,"False","False"
"Academic","B","Female","Uncertain","Urban",52,5730000,77,89.97,"True","True"
"Academic","B","Female","Less Interested","Urban",52,2940000,80.4,85.5,"True","False"
"Academic","A","Male","Uncertain","Rural",48,4070000,59.4,80.69,"False","False"
"Academic","B","Male","Uncertain","Rural",47,7130000,79.3,88.35,"True","True"
"Academic","B","Female","Very Interested","Urban",48,3180000,59.5,81.86,"True","False"
"Academic","A","Female","Uncertain","Rural",49,6200000,74.8,89.14,"True","True"
"Academic","B","Male","Less Interested","Urban",58,4290000,67.3,85.2,"True","False"
"Academic","B","Male","Quite Interested","Urban",52,3450000,63.7,84.51,"False","False"
"Academic","A","Male","Quite Interested","Urban",53,4110000,60.2,84.3,"False","False"
"Academic","B","Male","Not Interested","Rural",51,5350000,85.1,83.3,"True","True"
"Academic","B","Female","Not Interested","Rural",48,6090000,74.4,95.81,"True","True"
"Academic","B","Male","Uncertain","Rural",52,5940000,91.7,84.85,"True","True"
"Academic","B","Female","Very Interested","Rural",50,7540000,96.5,91.84,"True","True"
"Academic","A","Male","Very Interested","Urban",54,6310000,60.3,85.89,"False","False"
"Academic","B","Male","Very Interested","Urban",50,7000000,93.1,86.93,"False","True"
"Academic","B","Female","Very Interested","Rural",53,6670000,116.3,90.92,"True","True"
"Academic","B","Male","Not Interested","Rural",46,4810000,76.5,94.28,"True","True"
"Academic","A","Female","Less Interested","Urban",58,4000000,63.3,83.87,"False","False"
"Academic","A","Male","Very Interested","Urban",54,5140000,85.4,86.31,"False","False"
"Academic","B","Male","Uncertain","Rural",51,5130000,75.3,94.24,"True","True"
"Academic","B","Male","Uncertain","Urban",54,6210000,80.5,83.99,"True","True"
"Academic","A","Male","Quite Interested","Urban",55,4440000,58,86.09,"False","False"
"Academic","A","Male","Uncertain","Rural",48,7160000,71,88.46,"True","True"
"Academic","B","Female","Less Interested","Urban",57,3750000,82.4,90.33,"False","False"
"Academic","B","Male","Very Interested","Rural",53,7390000,94.3,92.39,"False","True"
"Academic","A","Male","Very Interested","Rural",48,3770000,65.7,83.79,"True","False"
"Academic","B","Female","Less Interested","Urban",54,4230000,57.7,84.89,"True","False"
"Academic","B","Female","Less Interested","Urban",56,4490000,60.4,84.63,"True","False"
"Academic","A","Female","Very Interested","Rural",48,6420000,69.3,84.15,"False","False"
"Academic","B","Male","Very Interested","Rural",45,5340000,40.5,83.78,"True","False"
"Academic","B","Female","Less Interested","Urban",56,5990000,70.6,83.1,"False","False"
"Academic","A","Female","Very Interested","Urban",52,6910000,81.5,86.83,"False","True"
"Academic","B","Female","Uncertain","Rural",50,6590000,76,91.77,"True","True"
"Academic","B","Female","Less Interested","Urban",52,2790000,72.5,85.3,"True","False"
"Academic","B","Female","Very Interested","Rural",40,3910000,48.7,80.8,"True","False"
"Academic","B","Male","Quite Interested","Urban",55,3460000,64.6,85.1,"False","False"
"Academic","B","Male","Very Interested","Urban",52,6730000,85.1,90.49,"False","True"
"Academic","B","Female","Less Interested","Rural",50,8120000,71.6,90.32,"True","True"
"Academic","B","Male","Less Interested","Urban",58,2140000,82.9,83.53,"True","False"
"Academic","B","Female","Less Interested","Rural",50,7650000,97.3,86.88,"True","True"
"Academic","A","Male","Very Interested","Rural",46,4150000,52.4,81.06,"True","False"
"Academic","B","Female","Very Interested","Rural",51,5850000,95.9,92.43,"True","True"
"Academic","B","Female","Very Interested","Rural",48,4240000,68.4,86.52,"True","False"
"Academic","A","Female","Uncertain","Rural",51,5840000,83.4,93.04,"True","True"
"Academic","A","Male","Very Interested","Urban",51,5720000,75.3,86.35,"False","True"
"Academic","B","Female","Less Interested","Rural",49,7100000,81.5,84.05,"True","False"
"Academic","B","Female","Very Interested","Urban",52,3500000,66.9,85.11,"True","False"
"Academic","A","Male","Less Interested","Urban",55,3070000,68.7,83.3,"False","False"
"Academic","A","Female","Less Interested","Urban",53,6360000,85.3,88.35,"False","True"
"Academic","B","Male","Very Interested","Urban",56,5910000,91.3,85.29,"False","True"
"Academic","A","Female","Very Interested","Urban",52,7540000,69.4,86.98,"False","True"
"Academic","A","Male","Not Interested","Rural",41,3020000,50.6,77.18,"True","False"
"Academic","B","Male","Very Interested","Rural",50,3180000,72.4,85.01,"True","False"
"Academic","A","Female","Quite Interested","Urban",54,4930000,96.9,86.97,"False","True"
"Academic","B","Female","Very Interested","Rural",52,7420000,82.6,86.82,"True","True"
"Academic","A","Female","Very Interested","Urban",54,5970000,74.3,85.68,"False","True"
"Academic","B","Male","Uncertain","Urban",59,3610000,85.2,78.67,"False","True"
"Academic","A","Female","Very Interested","Urban",52,4930000,66.4,90.18,"False","True"
"Academic","B","Male","Very Interested","Urban",53,6640000,81,89.22,"False","True"
"Academic","A","Male","Very Interested","Urban",57,6310000,92.8,88.96,"False","True"
"Academic","A","Male","Very Interested","Urban",56,3860000,68.6,82.24,"False","False"
"Academic","B","Female","Not Interested","Rural",50,6050000,106.1,84.28,"True","True"
"Academic","B","Female","Quite Interested","Urban",51,3180000,63,83.62,"True","False"
"Academic","A","Female","Quite Interested","Urban",56,6700000,98.2,86.6,"False","True"
"Academic","B","Male","Uncertain","Rural",50,8140000,78.3,89.24,"True","True"
"Academic","B","Male","Uncertain","Rural",50,3300000,101.9,96.23,"True","True"
