Salary,Arts,Biology & Life Science,Business,Communications & Journalism,Computers & Mathematics,Education,Engineering,Health,Humanities & Liberal Arts,Industrial Arts & Consumer Services,Interdisciplinary,Law & Public Policy,Physical Sciences,Psychology & Social Work,Social Science,Male,GPA
62000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1.98
82000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.81
91000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.9
55000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.68
75000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.93
87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.85
83000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.23
69000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.46
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.72
55000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.04
73000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
81000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.71
80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.12
85000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.95
83000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.56
74000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.67
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.35
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
83000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.72
73000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.74
73000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.73
65000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.6
66000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.44
84000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.83
72000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.07
49000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.86
67000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.6
78000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77
71000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95
87000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.97
65000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.25
76000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.85
86000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.88
81000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01
90000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.51
64000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3.45
88000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7
96000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.89
85000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.62
61000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.49
71000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2.65
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.81
57000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.12
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.99
75000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.53
83000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.55
75000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.71
60000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2
68000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3.65
63000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.21
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.07
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.35
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.44
67000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.95
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08
77000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.74
65000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.75
86000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.82
74000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.52
60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99
77000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.99
69000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.75
84000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.37
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.92
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.42
86000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.66
79000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26
76000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.66
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71
63000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.38
74000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.98
88000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76
71000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.26
66000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.55
70000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.98
76000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.44
60000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7
74000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
94000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.69
64000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.42
75000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83
87000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.05
79000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.05
61000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39
72000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.51
58000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.09
65000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3.39
1e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.64
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.77
83000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.86
54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44
64000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.52
79000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.82
62000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.18
58000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63
87000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.11
89000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.53
71000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83
83000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.37
85000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.75
73000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.78
60000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.98
85000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.82
68000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.64
79000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.64
83000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.86
71000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74
84000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.58
61000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.35
64000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.28
91000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.36
93000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.96
86000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.65
61000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.51
64000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.55
73000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.91
79000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.94
1e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.99
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.89
54000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
75000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.2
79000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.95
64000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.95
97000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.71
92000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.81
82000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.1
80000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.79
72000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.51
63000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.66
72000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42
74000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.79
94000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3.08
86000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.18
63000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.68
64000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79
58000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.74
63000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2.35
67000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.56
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.82
76000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
72000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.85
65000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9
67000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.98
57000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.74
50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.13
84000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.6
81000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
86000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.77
60000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.53
78000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.81
77000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.46
91000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.93
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.25
74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.85
65000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.59
77000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3.75
64000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.97
73000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
56000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.76
78000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.72
75000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3.95
63000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2.58
57000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.98
79000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15
60000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3.42
70000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2.45
89000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.84
80000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.18
56000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.81
90000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.92
59000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.36
72000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88
76000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2.25
70000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.2
64000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.37
66000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03
65000,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.09
79000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96
77000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.64
63000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6
56000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.96
89000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.73
73000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7
66000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.2
68000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.77
82000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.31
1e+05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.02
52000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.95
65000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.66
80000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3.42
