Crash,Distracted,Age
212,Other Distracted,15-19
213,Other Distracted,15-19
214,Other Distracted,15-19
215,Other Distracted,15-19
216,Other Distracted,15-19
217,Other Distracted,15-19
218,Other Distracted,15-19
219,Other Distracted,15-19
220,Other Distracted,15-19
221,Other Distracted,15-19
222,Other Distracted,15-19
223,Other Distracted,15-19
224,Other Distracted,15-19
225,Other Distracted,15-19
226,Other Distracted,15-19
227,Other Distracted,15-19
228,Other Distracted,15-19
229,Other Distracted,15-19
230,Other Distracted,15-19
231,Other Distracted,15-19
232,Other Distracted,15-19
233,Other Distracted,15-19
234,Other Distracted,15-19
235,Other Distracted,15-19
236,Other Distracted,15-19
237,Other Distracted,15-19
238,Other Distracted,15-19
239,Other Distracted,15-19
240,Other Distracted,15-19
241,Other Distracted,15-19
242,Other Distracted,15-19
243,Other Distracted,15-19
244,Other Distracted,15-19
245,Other Distracted,15-19
246,Other Distracted,15-19
247,Other Distracted,15-19
248,Other Distracted,15-19
249,Other Distracted,15-19
250,Other Distracted,15-19
251,Other Distracted,15-19
252,Other Distracted,15-19
253,Other Distracted,15-19
254,Other Distracted,15-19
255,Other Distracted,15-19
256,Other Distracted,15-19
257,Other Distracted,15-19
258,Other Distracted,15-19
259,Other Distracted,15-19
260,Other Distracted,15-19
261,Other Distracted,15-19
262,Other Distracted,15-19
263,Other Distracted,15-19
264,Other Distracted,15-19
265,Other Distracted,15-19
266,Other Distracted,15-19
267,Other Distracted,15-19
268,Other Distracted,15-19
269,Other Distracted,15-19
270,Other Distracted,15-19
271,Other Distracted,15-19
272,Other Distracted,15-19
273,Other Distracted,15-19
274,Other Distracted,15-19
275,Other Distracted,15-19
276,Other Distracted,15-19
277,Other Distracted,15-19
278,Other Distracted,15-19
279,Other Distracted,15-19
280,Other Distracted,15-19
281,Other Distracted,15-19
282,Other Distracted,15-19
283,Other Distracted,15-19
284,Other Distracted,15-19
285,Other Distracted,15-19
286,Other Distracted,15-19
287,Other Distracted,15-19
288,Other Distracted,15-19
289,Other Distracted,15-19
290,Other Distracted,15-19
291,Other Distracted,15-19
292,Other Distracted,15-19
293,Other Distracted,15-19
294,Other Distracted,15-19
295,Other Distracted,15-19
296,Other Distracted,15-19
297,Other Distracted,15-19
298,Other Distracted,15-19
299,Other Distracted,15-19
300,Other Distracted,15-19
301,Other Distracted,15-19
302,Other Distracted,15-19
303,Other Distracted,15-19
304,Cell Phone Distracted,15-19
305,Cell Phone Distracted,15-19
306,Cell Phone Distracted,15-19
307,Cell Phone Distracted,15-19
308,Cell Phone Distracted,15-19
309,Cell Phone Distracted,15-19
310,Cell Phone Distracted,15-19
311,Cell Phone Distracted,15-19
312,Cell Phone Distracted,15-19
313,Cell Phone Distracted,15-19
314,Cell Phone Distracted,15-19
315,Cell Phone Distracted,15-19
316,Cell Phone Distracted,15-19
317,Cell Phone Distracted,15-19
318,Cell Phone Distracted,15-19
319,Cell Phone Distracted,15-19
320,Cell Phone Distracted,15-19
321,Cell Phone Distracted,15-19
322,Cell Phone Distracted,15-19
323,Cell Phone Distracted,15-19
324,Cell Phone Distracted,15-19
325,Cell Phone Distracted,15-19
326,Cell Phone Distracted,15-19
327,Cell Phone Distracted,15-19
328,Cell Phone Distracted,15-19
329,Cell Phone Distracted,15-19
330,Cell Phone Distracted,15-19
331,Cell Phone Distracted,15-19
332,Cell Phone Distracted,15-19
333,Cell Phone Distracted,15-19
334,Cell Phone Distracted,15-19
335,Cell Phone Distracted,15-19
336,Cell Phone Distracted,15-19
337,Cell Phone Distracted,15-19
338,Cell Phone Distracted,15-19
339,Cell Phone Distracted,15-19
340,Cell Phone Distracted,15-19
341,Cell Phone Distracted,15-19
342,Cell Phone Distracted,15-19
343,Cell Phone Distracted,15-19
344,Cell Phone Distracted,15-19
345,Cell Phone Distracted,15-19
346,Cell Phone Distracted,15-19
347,Cell Phone Distracted,15-19
348,Cell Phone Distracted,15-19
349,Cell Phone Distracted,15-19
350,Cell Phone Distracted,15-19
351,Cell Phone Distracted,15-19
352,Cell Phone Distracted,15-19
353,Cell Phone Distracted,15-19
354,Cell Phone Distracted,15-19
355,Cell Phone Distracted,15-19
356,Cell Phone Distracted,15-19
357,Cell Phone Distracted,15-19
358,Cell Phone Distracted,15-19
359,Cell Phone Distracted,15-19
360,Cell Phone Distracted,15-19
361,Cell Phone Distracted,15-19
362,Not Distracted,15-19
363,Not Distracted,15-19
364,Not Distracted,15-19
365,Not Distracted,15-19
366,Not Distracted,15-19
367,Not Distracted,15-19
368,Not Distracted,15-19
369,Not Distracted,15-19
370,Not Distracted,15-19
371,Not Distracted,15-19
372,Not Distracted,15-19
373,Not Distracted,15-19
374,Not Distracted,15-19
375,Not Distracted,15-19
376,Not Distracted,15-19
377,Not Distracted,15-19
378,Not Distracted,15-19
379,Not Distracted,15-19
380,Not Distracted,15-19
381,Not Distracted,15-19
382,Not Distracted,15-19
383,Not Distracted,15-19
384,Not Distracted,15-19
385,Not Distracted,15-19
386,Not Distracted,15-19
387,Not Distracted,15-19
388,Not Distracted,15-19
389,Not Distracted,15-19
390,Not Distracted,15-19
391,Not Distracted,15-19
392,Not Distracted,15-19
393,Not Distracted,15-19
394,Not Distracted,15-19
395,Not Distracted,15-19
396,Not Distracted,15-19
397,Not Distracted,15-19
398,Not Distracted,15-19
399,Not Distracted,15-19
400,Not Distracted,15-19
401,Not Distracted,15-19
402,Not Distracted,15-19
403,Not Distracted,15-19
404,Not Distracted,15-19
405,Not Distracted,15-19
406,Not Distracted,15-19
407,Not Distracted,15-19
408,Not Distracted,15-19
409,Not Distracted,15-19
410,Not Distracted,15-19
411,Not Distracted,15-19
412,Not Distracted,15-19
413,Not Distracted,15-19
414,Not Distracted,15-19
415,Not Distracted,15-19
416,Not Distracted,15-19
417,Not Distracted,15-19
418,Not Distracted,15-19
419,Not Distracted,15-19
420,Not Distracted,15-19
421,Not Distracted,15-19
422,Not Distracted,15-19
423,Not Distracted,15-19
424,Not Distracted,15-19
425,Not Distracted,15-19
426,Not Distracted,15-19
427,Not Distracted,15-19
428,Not Distracted,15-19
429,Not Distracted,15-19
430,Not Distracted,15-19
431,Not Distracted,15-19
432,Not Distracted,15-19
433,Not Distracted,15-19
434,Not Distracted,15-19
435,Not Distracted,15-19
436,Not Distracted,15-19
437,Not Distracted,15-19
438,Not Distracted,15-19
439,Not Distracted,15-19
440,Not Distracted,15-19
441,Not Distracted,15-19
442,Not Distracted,15-19
443,Not Distracted,15-19
444,Not Distracted,15-19
445,Not Distracted,15-19
446,Not Distracted,15-19
447,Not Distracted,15-19
448,Not Distracted,15-19
449,Not Distracted,15-19
450,Not Distracted,15-19
451,Not Distracted,15-19
452,Not Distracted,15-19
453,Not Distracted,15-19
454,Not Distracted,15-19
455,Not Distracted,15-19
456,Not Distracted,15-19
457,Not Distracted,15-19
458,Not Distracted,15-19
459,Not Distracted,15-19
460,Not Distracted,15-19
461,Not Distracted,15-19
462,Not Distracted,15-19
463,Not Distracted,15-19
464,Not Distracted,15-19
465,Not Distracted,15-19
466,Not Distracted,15-19
467,Not Distracted,15-19
468,Not Distracted,15-19
469,Not Distracted,15-19
470,Not Distracted,15-19
471,Not Distracted,15-19
472,Not Distracted,15-19
473,Not Distracted,15-19
474,Not Distracted,15-19
475,Not Distracted,15-19
476,Not Distracted,15-19
477,Not Distracted,15-19
478,Not Distracted,15-19
479,Not Distracted,15-19
480,Not Distracted,15-19
481,Not Distracted,15-19
482,Not Distracted,15-19
483,Not Distracted,15-19
484,Not Distracted,15-19
485,Not Distracted,15-19
486,Not Distracted,15-19
487,Not Distracted,15-19
488,Not Distracted,15-19
489,Not Distracted,15-19
490,Not Distracted,15-19
491,Not Distracted,15-19
492,Not Distracted,15-19
493,Not Distracted,15-19
494,Not Distracted,15-19
495,Not Distracted,15-19
496,Not Distracted,15-19
497,Not Distracted,15-19
498,Not Distracted,15-19
499,Not Distracted,15-19
500,Not Distracted,15-19
501,Not Distracted,15-19
502,Not Distracted,15-19
503,Not Distracted,15-19
504,Not Distracted,15-19
505,Not Distracted,15-19
506,Not Distracted,15-19
507,Not Distracted,15-19
508,Not Distracted,15-19
509,Not Distracted,15-19
510,Not Distracted,15-19
511,Not Distracted,15-19
512,Not Distracted,15-19
513,Not Distracted,15-19
514,Not Distracted,15-19
515,Not Distracted,15-19
516,Not Distracted,15-19
517,Not Distracted,15-19
518,Not Distracted,15-19
519,Not Distracted,15-19
520,Not Distracted,15-19
521,Not Distracted,15-19
522,Not Distracted,15-19
523,Not Distracted,15-19
524,Not Distracted,15-19
525,Not Distracted,15-19
526,Not Distracted,15-19
527,Not Distracted,15-19
528,Not Distracted,15-19
529,Not Distracted,15-19
530,Not Distracted,15-19
531,Not Distracted,15-19
532,Not Distracted,15-19
533,Not Distracted,15-19
534,Not Distracted,15-19
535,Not Distracted,15-19
536,Not Distracted,15-19
537,Not Distracted,15-19
538,Not Distracted,15-19
539,Not Distracted,15-19
540,Not Distracted,15-19
541,Not Distracted,15-19
542,Not Distracted,15-19
543,Not Distracted,15-19
544,Not Distracted,15-19
545,Not Distracted,15-19
546,Not Distracted,15-19
547,Not Distracted,15-19
548,Not Distracted,15-19
549,Not Distracted,15-19
550,Not Distracted,15-19
551,Not Distracted,15-19
552,Not Distracted,15-19
553,Not Distracted,15-19
554,Not Distracted,15-19
555,Not Distracted,15-19
556,Not Distracted,15-19
557,Not Distracted,15-19
558,Not Distracted,15-19
559,Not Distracted,15-19
560,Not Distracted,15-19
561,Not Distracted,15-19
562,Not Distracted,15-19
563,Not Distracted,15-19
564,Not Distracted,15-19
565,Not Distracted,15-19
566,Not Distracted,15-19
567,Not Distracted,15-19
568,Not Distracted,15-19
569,Not Distracted,15-19
570,Not Distracted,15-19
571,Not Distracted,15-19
572,Not Distracted,15-19
573,Not Distracted,15-19
574,Not Distracted,15-19
575,Not Distracted,15-19
576,Not Distracted,15-19
577,Not Distracted,15-19
578,Not Distracted,15-19
579,Not Distracted,15-19
580,Not Distracted,15-19
581,Not Distracted,15-19
582,Not Distracted,15-19
583,Not Distracted,15-19
584,Not Distracted,15-19
585,Not Distracted,15-19
586,Not Distracted,15-19
587,Not Distracted,15-19
588,Not Distracted,15-19
589,Not Distracted,15-19
590,Not Distracted,15-19
591,Not Distracted,15-19
592,Not Distracted,15-19
593,Not Distracted,15-19
594,Not Distracted,15-19
595,Not Distracted,15-19
596,Not Distracted,15-19
597,Not Distracted,15-19
598,Not Distracted,15-19
599,Not Distracted,15-19
600,Not Distracted,15-19
601,Not Distracted,15-19
602,Not Distracted,15-19
603,Not Distracted,15-19
604,Not Distracted,15-19
605,Not Distracted,15-19
606,Not Distracted,15-19
607,Not Distracted,15-19
608,Not Distracted,15-19
609,Not Distracted,15-19
610,Not Distracted,15-19
611,Not Distracted,15-19
612,Not Distracted,15-19
613,Not Distracted,15-19
614,Not Distracted,15-19
615,Not Distracted,15-19
616,Not Distracted,15-19
617,Not Distracted,15-19
618,Not Distracted,15-19
619,Not Distracted,15-19
620,Not Distracted,15-19
621,Not Distracted,15-19
622,Not Distracted,15-19
623,Not Distracted,15-19
624,Not Distracted,15-19
625,Not Distracted,15-19
626,Not Distracted,15-19
627,Not Distracted,15-19
628,Not Distracted,15-19
629,Not Distracted,15-19
630,Not Distracted,15-19
631,Not Distracted,15-19
632,Not Distracted,15-19
633,Not Distracted,15-19
634,Not Distracted,15-19
635,Not Distracted,15-19
636,Not Distracted,15-19
637,Not Distracted,15-19
638,Not Distracted,15-19
639,Not Distracted,15-19
640,Not Distracted,15-19
641,Not Distracted,15-19
642,Not Distracted,15-19
643,Not Distracted,15-19
644,Not Distracted,15-19
645,Not Distracted,15-19
646,Not Distracted,15-19
647,Not Distracted,15-19
648,Not Distracted,15-19
649,Not Distracted,15-19
650,Not Distracted,15-19
651,Not Distracted,15-19
652,Not Distracted,15-19
653,Not Distracted,15-19
654,Not Distracted,15-19
655,Not Distracted,15-19
656,Not Distracted,15-19
657,Not Distracted,15-19
658,Not Distracted,15-19
659,Not Distracted,15-19
660,Not Distracted,15-19
661,Not Distracted,15-19
662,Not Distracted,15-19
663,Not Distracted,15-19
664,Not Distracted,15-19
665,Not Distracted,15-19
666,Not Distracted,15-19
667,Not Distracted,15-19
668,Not Distracted,15-19
669,Not Distracted,15-19
670,Not Distracted,15-19
671,Not Distracted,15-19
672,Not Distracted,15-19
673,Not Distracted,15-19
674,Not Distracted,15-19
675,Not Distracted,15-19
676,Not Distracted,15-19
677,Not Distracted,15-19
678,Not Distracted,15-19
679,Not Distracted,15-19
680,Not Distracted,15-19
681,Not Distracted,15-19
682,Not Distracted,15-19
683,Not Distracted,15-19
684,Not Distracted,15-19
685,Not Distracted,15-19
686,Not Distracted,15-19
687,Not Distracted,15-19
688,Not Distracted,15-19
689,Not Distracted,15-19
690,Not Distracted,15-19
691,Not Distracted,15-19
692,Not Distracted,15-19
693,Not Distracted,15-19
694,Not Distracted,15-19
695,Not Distracted,15-19
696,Not Distracted,15-19
697,Not Distracted,15-19
698,Not Distracted,15-19
699,Not Distracted,15-19
700,Not Distracted,15-19
701,Not Distracted,15-19
702,Not Distracted,15-19
703,Not Distracted,15-19
704,Not Distracted,15-19
705,Not Distracted,15-19
706,Not Distracted,15-19
707,Not Distracted,15-19
708,Not Distracted,15-19
709,Not Distracted,15-19
710,Not Distracted,15-19
711,Not Distracted,15-19
712,Not Distracted,15-19
713,Not Distracted,15-19
714,Not Distracted,15-19
715,Not Distracted,15-19
716,Not Distracted,15-19
717,Not Distracted,15-19
718,Not Distracted,15-19
719,Not Distracted,15-19
720,Not Distracted,15-19
721,Not Distracted,15-19
722,Not Distracted,15-19
723,Not Distracted,15-19
724,Not Distracted,15-19
725,Not Distracted,15-19
726,Not Distracted,15-19
727,Not Distracted,15-19
728,Not Distracted,15-19
729,Not Distracted,15-19
730,Not Distracted,15-19
731,Not Distracted,15-19
732,Not Distracted,15-19
733,Not Distracted,15-19
734,Not Distracted,15-19
735,Not Distracted,15-19
736,Not Distracted,15-19
737,Not Distracted,15-19
738,Not Distracted,15-19
739,Not Distracted,15-19
740,Not Distracted,15-19
741,Not Distracted,15-19
742,Not Distracted,15-19
743,Not Distracted,15-19
744,Not Distracted,15-19
745,Not Distracted,15-19
746,Not Distracted,15-19
747,Not Distracted,15-19
748,Not Distracted,15-19
749,Not Distracted,15-19
750,Not Distracted,15-19
751,Not Distracted,15-19
752,Not Distracted,15-19
753,Not Distracted,15-19
754,Not Distracted,15-19
755,Not Distracted,15-19
756,Not Distracted,15-19
757,Not Distracted,15-19
758,Not Distracted,15-19
759,Not Distracted,15-19
760,Not Distracted,15-19
761,Not Distracted,15-19
762,Not Distracted,15-19
763,Not Distracted,15-19
764,Not Distracted,15-19
765,Not Distracted,15-19
766,Not Distracted,15-19
767,Not Distracted,15-19
768,Not Distracted,15-19
769,Not Distracted,15-19
770,Not Distracted,15-19
771,Not Distracted,15-19
772,Not Distracted,15-19
773,Not Distracted,15-19
774,Not Distracted,15-19
775,Not Distracted,15-19
776,Not Distracted,15-19
777,Not Distracted,15-19
778,Not Distracted,15-19
779,Not Distracted,15-19
780,Not Distracted,15-19
781,Not Distracted,15-19
782,Not Distracted,15-19
783,Not Distracted,15-19
784,Not Distracted,15-19
785,Not Distracted,15-19
786,Not Distracted,15-19
787,Not Distracted,15-19
788,Not Distracted,15-19
789,Not Distracted,15-19
790,Not Distracted,15-19
791,Not Distracted,15-19
792,Not Distracted,15-19
793,Not Distracted,15-19
794,Not Distracted,15-19
795,Not Distracted,15-19
796,Not Distracted,15-19
797,Not Distracted,15-19
798,Not Distracted,15-19
799,Not Distracted,15-19
800,Not Distracted,15-19
801,Not Distracted,15-19
802,Not Distracted,15-19
803,Not Distracted,15-19
804,Not Distracted,15-19
805,Not Distracted,15-19
806,Not Distracted,15-19
807,Not Distracted,15-19
808,Not Distracted,15-19
809,Not Distracted,15-19
810,Not Distracted,15-19
811,Not Distracted,15-19
812,Not Distracted,15-19
813,Not Distracted,15-19
814,Not Distracted,15-19
815,Not Distracted,15-19
816,Not Distracted,15-19
817,Not Distracted,15-19
818,Not Distracted,15-19
819,Not Distracted,15-19
820,Not Distracted,15-19
821,Not Distracted,15-19
822,Not Distracted,15-19
823,Not Distracted,15-19
824,Not Distracted,15-19
825,Not Distracted,15-19
826,Not Distracted,15-19
827,Not Distracted,15-19
828,Not Distracted,15-19
829,Not Distracted,15-19
830,Not Distracted,15-19
831,Not Distracted,15-19
832,Not Distracted,15-19
833,Not Distracted,15-19
834,Not Distracted,15-19
835,Not Distracted,15-19
836,Not Distracted,15-19
837,Not Distracted,15-19
838,Not Distracted,15-19
839,Not Distracted,15-19
840,Not Distracted,15-19
841,Not Distracted,15-19
842,Not Distracted,15-19
843,Not Distracted,15-19
844,Not Distracted,15-19
845,Not Distracted,15-19
846,Not Distracted,15-19
847,Not Distracted,15-19
848,Not Distracted,15-19
849,Not Distracted,15-19
850,Not Distracted,15-19
851,Not Distracted,15-19
852,Not Distracted,15-19
853,Not Distracted,15-19
854,Not Distracted,15-19
855,Not Distracted,15-19
856,Not Distracted,15-19
857,Not Distracted,15-19
858,Not Distracted,15-19
859,Not Distracted,15-19
860,Not Distracted,15-19
861,Not Distracted,15-19
862,Not Distracted,15-19
863,Not Distracted,15-19
864,Not Distracted,15-19
865,Not Distracted,15-19
866,Not Distracted,15-19
867,Not Distracted,15-19
868,Not Distracted,15-19
869,Not Distracted,15-19
870,Not Distracted,15-19
871,Not Distracted,15-19
872,Not Distracted,15-19
873,Not Distracted,15-19
874,Not Distracted,15-19
875,Not Distracted,15-19
876,Not Distracted,15-19
877,Not Distracted,15-19
878,Not Distracted,15-19
879,Not Distracted,15-19
880,Not Distracted,15-19
881,Not Distracted,15-19
882,Not Distracted,15-19
883,Not Distracted,15-19
884,Not Distracted,15-19
885,Not Distracted,15-19
886,Not Distracted,15-19
887,Not Distracted,15-19
888,Not Distracted,15-19
889,Not Distracted,15-19
890,Not Distracted,15-19
891,Not Distracted,15-19
892,Not Distracted,15-19
893,Not Distracted,15-19
894,Not Distracted,15-19
895,Not Distracted,15-19
896,Not Distracted,15-19
897,Not Distracted,15-19
898,Not Distracted,15-19
899,Not Distracted,15-19
900,Not Distracted,15-19
901,Not Distracted,15-19
902,Not Distracted,15-19
903,Not Distracted,15-19
904,Not Distracted,15-19
905,Not Distracted,15-19
906,Not Distracted,15-19
907,Not Distracted,15-19
908,Not Distracted,15-19
909,Not Distracted,15-19
910,Not Distracted,15-19
911,Not Distracted,15-19
912,Not Distracted,15-19
913,Not Distracted,15-19
914,Not Distracted,15-19
915,Not Distracted,15-19
916,Not Distracted,15-19
917,Not Distracted,15-19
918,Not Distracted,15-19
919,Not Distracted,15-19
920,Not Distracted,15-19
921,Not Distracted,15-19
922,Not Distracted,15-19
923,Not Distracted,15-19
924,Not Distracted,15-19
925,Not Distracted,15-19
926,Not Distracted,15-19
927,Not Distracted,15-19
928,Not Distracted,15-19
929,Not Distracted,15-19
930,Not Distracted,15-19
931,Not Distracted,15-19
932,Not Distracted,15-19
933,Not Distracted,15-19
934,Not Distracted,15-19
935,Not Distracted,15-19
936,Not Distracted,15-19
937,Not Distracted,15-19
938,Not Distracted,15-19
939,Not Distracted,15-19
940,Not Distracted,15-19
941,Not Distracted,15-19
942,Not Distracted,15-19
943,Not Distracted,15-19
944,Not Distracted,15-19
945,Not Distracted,15-19
946,Not Distracted,15-19
947,Not Distracted,15-19
948,Not Distracted,15-19
949,Not Distracted,15-19
950,Not Distracted,15-19
951,Not Distracted,15-19
952,Not Distracted,15-19
953,Not Distracted,15-19
954,Not Distracted,15-19
955,Not Distracted,15-19
956,Not Distracted,15-19
957,Not Distracted,15-19
958,Not Distracted,15-19
959,Not Distracted,15-19
960,Not Distracted,15-19
961,Not Distracted,15-19
962,Not Distracted,15-19
963,Not Distracted,15-19
964,Not Distracted,15-19
965,Not Distracted,15-19
966,Not Distracted,15-19
967,Not Distracted,15-19
968,Not Distracted,15-19
969,Not Distracted,15-19
970,Not Distracted,15-19
971,Not Distracted,15-19
972,Not Distracted,15-19
973,Not Distracted,15-19
974,Not Distracted,15-19
975,Not Distracted,15-19
976,Not Distracted,15-19
977,Not Distracted,15-19
978,Not Distracted,15-19
979,Not Distracted,15-19
980,Not Distracted,15-19
981,Not Distracted,15-19
982,Not Distracted,15-19
983,Not Distracted,15-19
984,Not Distracted,15-19
985,Not Distracted,15-19
986,Not Distracted,15-19
987,Not Distracted,15-19
988,Not Distracted,15-19
989,Not Distracted,15-19
990,Not Distracted,15-19
991,Not Distracted,15-19
992,Not Distracted,15-19
993,Not Distracted,15-19
994,Not Distracted,15-19
995,Not Distracted,15-19
996,Not Distracted,15-19
997,Not Distracted,15-19
998,Not Distracted,15-19
999,Not Distracted,15-19
1000,Not Distracted,15-19
1001,Not Distracted,15-19
1002,Not Distracted,15-19
1003,Not Distracted,15-19
1004,Not Distracted,15-19
1005,Not Distracted,15-19
1006,Not Distracted,15-19
1007,Not Distracted,15-19
1008,Not Distracted,15-19
1009,Not Distracted,15-19
1010,Not Distracted,15-19
1011,Not Distracted,15-19
1012,Not Distracted,15-19
1013,Not Distracted,15-19
1014,Not Distracted,15-19
1015,Not Distracted,15-19
1016,Not Distracted,15-19
1017,Not Distracted,15-19
1018,Not Distracted,15-19
1019,Not Distracted,15-19
1020,Not Distracted,15-19
1021,Not Distracted,15-19
1022,Not Distracted,15-19
1023,Not Distracted,15-19
1024,Not Distracted,15-19
1025,Not Distracted,15-19
1026,Not Distracted,15-19
1027,Not Distracted,15-19
1028,Not Distracted,15-19
1029,Not Distracted,15-19
1030,Not Distracted,15-19
1031,Not Distracted,15-19
1032,Not Distracted,15-19
1033,Not Distracted,15-19
1034,Not Distracted,15-19
1035,Not Distracted,15-19
1036,Not Distracted,15-19
1037,Not Distracted,15-19
1038,Not Distracted,15-19
1039,Not Distracted,15-19
1040,Not Distracted,15-19
1041,Not Distracted,15-19
1042,Not Distracted,15-19
1043,Not Distracted,15-19
1044,Not Distracted,15-19
1045,Not Distracted,15-19
1046,Not Distracted,15-19
1047,Not Distracted,15-19
1048,Not Distracted,15-19
1049,Not Distracted,15-19
1050,Not Distracted,15-19
1051,Not Distracted,15-19
1052,Not Distracted,15-19
1053,Not Distracted,15-19
