"Temperature","Fuel_Price","CPI","Unemployment","Weekly_Sales"
82.59,2.64,210.77,8.1,523218
85.32,2.62,210.76,8.1,828703
87.66,2.61,210.89,8.1,721920
83.49,2.64,211.03,8.1,1119390
89.53,2.63,211.16,8.1,950137
89.05,2.69,211.3,8.1,1460598
88.7,2.66,211.26,8.1,691777
87.12,2.62,211.22,8.1,1052329
81.83,2.58,211.19,8.1,787488
79.09,2.56,211.15,8.1,1804769
82.05,2.58,211.18,8.1,890688
81.79,2.62,211.26,8.1,1101671
69.24,2.6,211.33,8.16,616358
63.19,2.63,211.4,8.16,624584
65.8,2.72,211.47,8.16,1521746
68.5,2.72,211.52,8.16,596478
66.24,2.72,211.57,8.16,989541
57.85,2.69,211.61,8.16,184373
59.69,2.73,211.66,8.16,1639579
50.81,2.77,211.55,8.16,222420
62.98,2.73,211.41,8.16,1931555
49.33,2.71,211.27,8.16,2098620
45.5,2.84,211.12,8.16,889459
47.55,2.87,211.06,8.16,767872
49.97,2.89,211.06,8.16,1963018
47.3,2.94,211.06,8.16,628152
44.69,2.98,211.06,8.03,963340
33.02,2.98,211.12,8.03,1229248
41.4,3.02,211.49,8.03,722707
42.83,3.01,211.86,8.03,1503049
38.25,2.99,212.22,8.03,824162
33.19,3.02,212.59,8.03,1531367
57.83,3.04,212.9,8.03,1359705
60.8,3.06,213.19,8.03,168044
57.77,3.29,213.48,8.03,2151714
52.7,3.46,213.76,8.03,641614
62.32,3.49,214.02,8.03,781477
69.42,3.47,214.25,8.03,1524570
55.43,3.52,214.49,7.93,1364508
67,3.62,214.73,7.93,424279
69.48,3.74,214.94,7.93,460752
69.39,3.81,215.11,7.93,1735717
69.21,3.81,215.28,7.93,1519507
61.48,3.91,215.44,7.93,532866
74.61,3.9,215.61,7.93,306669
67.14,3.91,215.38,7.93,338013
76.42,3.79,215.15,7.93,847705
83.07,3.7,214.93,7.93,371237
83.4,3.65,214.7,7.93,1662403
86.53,3.64,214.65,7.93,832457
85.17,3.59,214.74,7.93,771111
85.69,3.52,214.84,7.85,-5666
87.7,3.48,214.93,7.85,932938
89.83,3.58,215.01,7.85,1499715
89.34,3.65,215.07,7.85,1698275
90.07,3.68,215.14,7.85,345259
93.34,3.68,215.2,7.85,1408664
91.58,3.64,215.26,7.85,838752
89.86,3.55,215.32,7.85,1637947
90.45,3.52,215.39,7.85,1000749
89.64,3.53,215.45,7.85,1416617
77.97,3.55,215.51,7.85,1422453
78.85,3.53,215.69,7.85,3075187
75.58,3.47,216.03,7.85,1660959
78.14,3.36,216.36,7.85,614312
69.92,3.29,216.7,7.44,890698
71.67,3.27,217,7.44,1217478
64.53,3.35,217.17,7.44,1083127
65.87,3.37,217.33,7.44,572571
55.53,3.33,217.49,7.44,457707
59.33,3.3,217.65,7.44,1040002
62.01,3.31,217.87,7.44,530932
56.36,3.24,218.11,7.44,1140620
48.74,3.17,218.36,7.44,1478143
41.76,3.16,218.61,7.44,1295044
50.13,3.16,218.82,7.44,806319
46.66,3.11,219,7.44,-111412
44.57,3.13,219.18,7.44,1335998
46.75,3.16,219.36,7.06,901546
45.99,3.26,219.53,7.06,1183427
51.7,3.27,219.63,7.06,1095481
50.5,3.29,219.72,7.06,594154
55.21,3.36,219.81,7.06,772609
46.98,3.41,219.9,7.06,-526155
43.82,3.51,220.07,7.06,1120385
54.63,3.56,220.28,7.06,624101
58.79,3.63,220.49,7.06,733632
57.11,3.67,220.7,7.06,1192028
63.68,3.73,220.85,7.06,1634383
64.01,3.79,220.92,7.06,1643902
66.83,3.85,221,7.06,384182
68.43,3.89,221.07,6.89,2161240
68.08,3.89,221.15,6.89,938312
65.69,3.88,221.2,6.89,1464477
67.2,3.81,221.26,6.89,1679466
76.73,3.75,221.31,6.89,1106882
73.87,3.69,221.36,6.89,216151
71.27,3.63,221.38,6.89,592494
78.19,3.56,221.38,6.89,365844
78.38,3.5,221.39,6.89,-86253
78.69,3.45,221.39,6.89,654665
80.56,3.39,221.4,6.89,1150475
81.04,3.35,221.44,6.89,718377
86.32,3.29,221.48,6.89,644894
84.2,3.23,221.52,6.57,1791025
80.17,3.26,221.56,6.57,150312
83.23,3.31,221.57,6.57,710011
86.37,3.41,221.58,6.57,939425
90.22,3.42,221.59,6.57,-70656
88.55,3.49,221.6,6.57,784679
84.79,3.57,221.68,6.57,2267607
76.91,3.62,221.81,6.57,401562
82.64,3.64,221.94,6.57,1280023
87.65,3.73,222.07,6.57,1737646
75.88,3.72,222.22,6.57,400979
71.09,3.72,222.42,6.57,1410134
79.45,3.67,222.62,6.57,1496317
70.27,3.62,222.82,6.17,1679138
60.97,3.6,223.02,6.17,579941
68.08,3.59,223.06,6.17,803516
69.79,3.51,223.08,6.17,1101625
45.71,2.57,214.42,7.37,1141463
47.93,2.55,214.57,7.37,1538409
47.07,2.51,214.62,7.37,1585445
52.05,2.56,214.65,7.37,251666
53.04,2.62,214.68,7.37,147175
63.08,2.67,214.7,7.37,1465492
60.42,2.72,214.53,7.37,835561
57.06,2.73,214.32,7.37,998026
65.56,2.72,214.12,7.34,194617
68,2.77,213.91,7.34,651986
66.98,2.81,213.77,7.34,2281483
67.87,2.8,213.72,7.34,217382
70.24,2.78,213.67,7.34,1356448
73.47,2.84,213.62,7.34,632029
77.18,2.85,213.62,7.34,2070380
75.81,2.83,213.91,7.34,455094
78.6,2.76,214.2,7.34,1272400
78.53,2.7,214.5,7.34,385180
82.1,2.67,214.79,7.34,1207258
83.52,2.64,214.79,7.34,955653
83.79,2.65,214.67,7.34,1087938
82.2,2.67,214.55,7.35,755873
81.75,2.64,214.43,7.35,1542999
84.32,2.62,214.42,7.35,837130
83.32,2.61,214.56,7.35,769012
82.04,2.64,214.7,7.35,1371597
85.13,2.63,214.83,7.35,1017089
86.74,2.69,214.97,7.35,986614
88.02,2.66,214.93,7.35,1589429
86.15,2.62,214.89,7.35,720539
84.16,2.58,214.85,7.35,2113986
80.84,2.56,214.81,7.35,1437267
82.36,2.58,214.83,7.35,1048697
76.9,2.62,214.91,7.35,1592535
73.6,2.6,214.98,7.56,1972957
66.99,2.63,215.06,7.56,1693655
69.71,2.72,215.13,7.56,1259093
71.64,2.72,215.18,7.56,1506402
72.04,2.72,215.23,7.56,754764
62.94,2.69,215.28,7.56,1087863
62.79,2.73,215.33,7.56,540196
57.72,2.77,215.21,7.56,579569
68.71,2.73,215.06,7.56,2145034
53.76,2.71,214.92,7.56,2378774
51.13,2.84,214.77,7.56,333646
52.2,2.87,214.7,7.56,710241
57.16,2.89,214.7,7.56,1450236
53.2,2.94,214.7,7.56,973092
53.35,2.98,214.7,7.55,733375
44.76,2.98,214.75,7.55,1358208
50.74,3.02,215.13,7.55,-169878
48.71,3.01,215.51,7.55,1534414
45.95,2.99,215.89,7.55,404301
43.57,3.02,216.27,7.55,2045577
61.58,3.04,216.58,7.55,768052
67.4,3.06,216.88,7.55,1596125
65.11,3.29,217.17,7.55,105530
61.29,3.46,217.47,7.55,1840044
69.47,3.49,217.72,7.55,1016746
72.94,3.47,217.97,7.55,692785
68.76,3.52,218.21,7.57,9038
72.55,3.62,218.46,7.57,1219924
75.88,3.74,218.68,7.57,437377
76.91,3.81,218.85,7.57,103477
78.69,3.81,219.02,7.57,1613612
69.45,3.91,219.2,7.57,109135
79.87,3.9,219.37,7.57,449469
75.79,3.91,219.13,7.57,1637473
84.41,3.79,218.89,7.57,1399294
84.29,3.7,218.64,7.57,1265254
84.84,3.65,218.4,7.57,303392
86.96,3.64,218.36,7.57,217011
84.94,3.59,218.45,7.57,379360
85.1,3.52,218.55,7.57,687323
85.38,3.48,218.64,7.57,659073
87.14,3.58,218.73,7.57,925998
86.19,3.65,218.79,7.57,1130877
88.07,3.68,218.84,7.57,1532917
88.45,3.68,218.9,7.57,1118358
88.88,3.64,218.96,7.57,712415
88.44,3.55,219.02,7.57,1913941
87.67,3.52,219.09,7.57,386976
89.12,3.53,219.15,7.57,823956
81.72,3.55,219.21,7.57,1858163
83.63,3.53,219.4,7.57,1622618
80.19,3.47,219.74,7.57,418602
82.58,3.36,220.09,7.57,1070381
75.54,3.29,220.43,7.2,930476
73.75,3.27,220.75,7.2,-819988
69.03,3.35,220.91,7.2,1152297
71.04,3.37,221.08,7.2,157974
59.31,3.33,221.25,7.2,1124200
61.7,3.3,221.41,7.2,1358405
63.91,3.31,221.64,7.2,1638248
68,3.24,221.9,7.2,807608
54.97,3.17,222.16,7.2,1466462
49.26,3.16,222.42,7.2,334287
57.95,3.16,222.64,7.2,1014784
53.41,3.11,222.83,7.2,636076
48.29,3.13,223.01,7.2,1610315
52.42,3.16,223.19,6.83,481782
51.86,3.26,223.38,6.83,884614
56.2,3.27,223.47,6.83,461300
58.06,3.29,223.56,6.83,-676624
59.33,3.36,223.66,6.83,1160301
51.65,3.41,223.75,6.83,669724
52.39,3.51,223.92,6.83,1379606
60.12,3.56,224.13,6.83,729592
61.65,3.63,224.35,6.83,614778
60.71,3.67,224.56,6.83,1657161
64,3.73,224.72,6.83,810240
66.53,3.79,224.79,6.83,824235
69.36,3.85,224.87,6.83,-156101
73.01,3.89,224.94,6.66,459305
72.83,3.89,225.01,6.66,999625
72.05,3.88,225.07,6.66,1098975
73.39,3.81,225.12,6.66,426254
79.51,3.75,225.18,6.66,512938
75.19,3.69,225.24,6.66,1279989
72.38,3.63,225.25,6.66,556368
78.58,3.56,225.25,6.66,544694
81.55,3.5,225.25,6.66,815311
81.65,3.45,225.25,6.66,1340069
84.66,3.39,225.26,6.66,819882
82.7,3.35,225.31,6.66,785147
86.42,3.29,225.35,6.66,1393562
83.14,3.23,225.39,6.33,1618952
82.28,3.26,225.43,6.33,881566
81.38,3.31,225.44,6.33,1813005
84.94,3.41,225.45,6.33,849119
86.55,3.42,225.46,6.33,443510
85.85,3.49,225.47,6.33,578238
87.36,3.57,225.56,6.33,673276
83.01,3.62,225.69,6.33,1599289
85.18,3.64,225.83,6.33,331917
84.99,3.73,225.97,6.33,1355487
78.36,3.72,226.11,6.33,1516725
72.78,3.72,226.32,6.33,933288
77.46,3.67,226.52,6.33,1220811
72.74,3.62,226.72,6.03,838977
70.31,3.6,226.92,6.03,947148
73.44,3.59,226.97,6.03,488623
74.66,3.51,226.99,6.03,1293487
43.76,2.6,126.44,8.62,1054636
28.84,2.57,126.5,8.62,1780173
36.45,2.54,126.53,8.62,958613
41.36,2.59,126.55,8.62,1715852
43.49,2.65,126.58,8.62,1224575
49.63,2.7,126.6,8.62,2404770
55.19,2.74,126.61,8.62,1650015
39.91,2.75,126.61,8.62,791335
48.77,2.74,126.6,7.9,1203222
54.16,2.77,126.6,7.9,971348
56.23,2.81,126.56,7.9,405016
56.87,2.81,126.47,7.9,13731
53.04,2.79,126.38,7.9,387644
56.77,2.84,126.29,7.9,1494947
62.35,2.85,126.21,7.9,1402803
67.4,2.82,126.18,7.9,372931
67.73,2.76,126.16,7.9,167661
70.83,2.7,126.14,7.9,746380
78.45,2.67,126.11,7.9,1849254
81.53,2.63,126.11,7.9,891545
81.1,2.65,126.13,7.9,892275
73.66,2.67,126.14,7.37,1093862
80.35,2.64,126.15,7.37,1140431
78.53,2.62,126.15,7.37,986464
79.78,2.61,126.13,7.37,1732631
80.7,2.65,126.11,7.37,928246
76.53,2.64,126.09,7.37,331557
78.08,2.7,126.06,7.37,2443364
78.83,2.67,126.08,7.37,768263
74.44,2.62,126.09,7.37,1520162
76.8,2.58,126.1,7.37,1251212
73.54,2.57,126.11,7.37,406552
64.91,2.59,126.15,7.37,1412959
60.96,2.64,126.19,7.37,833170
63.96,2.62,126.23,7.13,1607192
67.73,2.64,126.28,7.13,650661
62.03,2.73,126.33,7.13,919902
64.17,2.74,126.38,7.13,1186166
56.94,2.72,126.44,7.13,1767857
51.6,2.7,126.49,7.13,381895
52.65,2.74,126.55,7.13,870977
48.05,2.78,126.61,7.13,1489813
48.08,2.75,126.67,7.13,1833348
46.4,2.73,126.73,7.13,1965426
42.4,2.86,126.79,7.13,277998
46.57,2.88,126.88,7.13,2093471
43.21,2.89,126.98,7.13,1303111
38.09,2.96,127.09,7.13,1504308
39.34,2.98,127.19,6.51,1325624
31.6,2.99,127.3,6.51,712879
38.34,3.02,127.44,6.51,925185
40.6,3.02,127.58,6.51,1427858
34.61,3,127.72,6.51,1935791
33.29,3.03,127.86,6.51,2018156
48.17,3.06,128,6.51,1464206
49,3.09,128.13,6.51,709734
46.56,3.31,128.26,6.51,1015316
50.93,3.46,128.4,6.51,1125265
51.86,3.5,128.51,6.51,808439
59.1,3.48,128.62,6.51,1664647
56.99,3.52,128.72,5.95,2063395
62.61,3.6,128.82,5.95,1317581
62.34,3.72,128.91,5.95,2296555
68.8,3.78,128.96,5.95,2015814
64.22,3.78,129,5.95,1277686
63.41,3.87,129.04,5.95,299556
70.65,3.87,129.09,5.95,1366903
70.49,3.88,129.08,5.95,1000122
73.65,3.77,129.06,5.95,874157
78.26,3.68,129.05,5.95,1178123
80.05,3.64,129.04,5.95,1656183
83.51,3.62,129.04,5.95,1093184
81.85,3.57,129.07,5.95,1039000
84.54,3.5,129.09,5.64,729388
84.59,3.47,129.11,5.64,1428119
83.27,3.56,129.13,5.64,1482681
82.84,3.63,129.15,5.64,2032830
84.36,3.66,129.17,5.64,1383785
86.09,3.66,129.18,5.64,1459257
82.98,3.62,129.2,5.64,1445567
82.77,3.55,129.24,5.64,1583121
81.47,3.52,129.28,5.64,1493199
77.99,3.53,129.33,5.64,1345961
73.34,3.55,129.37,5.64,1472846
72.76,3.53,129.43,5.64,1389052
69.23,3.47,129.52,5.64,2180247
72.15,3.37,129.61,5.64,685101
65.79,3.3,129.69,5.14,1465035
63.75,3.28,129.77,5.14,327965
64.79,3.36,129.78,5.14,2034373
55.31,3.36,129.79,5.14,1340814
49.86,3.32,129.81,5.14,1483239
47.12,3.29,129.82,5.14,-88127
50.44,3.29,129.83,5.14,890109
47.96,3.22,129.84,5.14,49590
38.71,3.18,129.85,5.14,484585
31.64,3.15,129.86,5.14,1383985
36.44,3.15,129.9,5.14,1217410
35.92,3.1,129.98,5.14,400160
36.89,3.12,130.07,5.14,1232529
38.64,3.16,130.16,4.61,1295796
34.41,3.26,130.24,4.61,2424759
42.09,3.27,130.28,4.61,1171124
40.31,3.29,130.31,4.61,1323071
41.81,3.35,130.35,4.61,1252084
33,3.41,130.38,4.61,1664653
34.19,3.49,130.45,4.61,1087918
41.31,3.54,130.55,4.61,1127279
50.38,3.62,130.65,4.61,2144405
53.63,3.67,130.74,4.61,1091898
59.81,3.71,130.83,4.61,1464131
59.07,3.76,130.9,4.61,1411454
72.63,3.82,130.97,4.61,814196
67.69,3.86,131.04,4.31,575547
68.69,3.88,131.11,4.31,804588
68.6,3.86,131.12,4.31,2006429
76.47,3.81,131.13,4.31,1161462
80.14,3.75,131.14,4.31,1710804
67.64,3.68,131.15,4.31,2101312
68.43,3.62,131.1,4.31,2347642
77.47,3.55,131.03,4.31,1003660
77.41,3.48,130.96,4.31,655895
78.11,3.43,130.89,4.31,1879942
80.94,3.37,130.83,4.31,834291
81.63,3.33,130.79,4.31,1512266
84.23,3.26,130.76,4.31,1340681
80.37,3.19,130.72,4.08,790154
76.86,3.22,130.68,4.08,2055522
79.14,3.26,130.7,4.08,501353
81.06,3.36,130.72,4.08,1228973
83.86,3.37,130.74,4.08,686184
83.21,3.48,130.76,4.08,1511154
81.41,3.55,130.79,4.08,2604041
75.76,3.61,130.84,4.08,1536893
76.47,3.65,130.89,4.08,1218178
82.09,3.71,130.93,4.08,1601389
68.2,3.71,130.98,4.08,474183
68.97,3.72,131.01,4.08,1060241
71.74,3.67,131.04,4.08,1610136
63.07,3.62,131.08,3.88,1465895
57.11,3.6,131.11,3.88,1828436
64.46,3.61,131.15,3.88,1352087
63.64,3.51,131.19,3.88,2031995
39.7,2.57,211.65,6.57,1562395
39.81,2.55,211.8,6.57,1840420
41.14,2.51,211.85,6.57,1575079
46.7,2.56,211.88,6.57,1514973
48.89,2.62,211.91,6.57,643665
58.5,2.67,211.94,6.57,1590506
55.46,2.72,211.77,6.57,479677
52.47,2.73,211.57,6.57,1407096
63.18,2.72,211.37,6.46,185820
65.19,2.77,211.17,6.46,1655337
65.3,2.81,211.04,6.46,318781
65.13,2.8,210.99,6.46,1378305
67.53,2.78,210.94,6.46,207157
71.53,2.84,210.89,6.46,-141434
74.79,2.85,210.89,6.46,1887747
75.2,2.83,211.17,6.46,1373902
79.81,2.76,211.45,6.46,2072300
79.54,2.7,211.73,6.46,851220
80.7,2.67,212.01,6.46,943378
83.91,2.64,212.01,6.46,1408879
83.72,2.65,211.9,6.46,979956
81.25,2.67,211.78,6.5,1466996
81.14,2.64,211.66,6.5,-64678
83.98,2.62,211.66,6.5,1871581
83.66,2.61,211.79,6.5,430429
82.46,2.64,211.93,6.5,553271
86.1,2.63,212.06,6.5,1234269
87.41,2.69,212.2,6.5,235564
87.71,2.66,212.16,6.5,624457
87.05,2.62,212.12,6.5,1945469
84.06,2.58,212.09,6.5,1668768
79.86,2.56,212.05,6.5,1573277
82.28,2.58,212.08,6.5,780579
78.53,2.62,212.15,6.5,1351931
71.1,2.6,212.23,6.77,67932
64.99,2.63,212.3,6.77,93212
68.11,2.72,212.37,6.77,2036058
70.96,2.72,212.42,6.77,1437623
70.58,2.72,212.46,6.77,1111554
58.88,2.69,212.51,6.77,1191300
62.37,2.73,212.56,6.77,875225
52.52,2.77,212.45,6.77,997335
66.15,2.73,212.3,6.77,1174593
51.31,2.71,212.16,6.77,568979
48.27,2.84,212.02,6.77,273076
51.61,2.87,211.96,6.77,455071
55.01,2.89,211.96,6.77,1030736
49.79,2.94,211.96,6.77,456236
48.3,2.98,211.96,6.63,620302
37.74,2.98,212.01,6.63,1209358
45.41,3.02,212.38,6.63,1516641
44.5,3.01,212.75,6.63,1004853
41.67,2.99,213.12,6.63,878697
38.25,3.02,213.49,6.63,455617
58.83,3.04,213.81,6.63,1256271
63.35,3.06,214.1,6.63,957873
60.35,3.29,214.38,6.63,1172855
55.74,3.46,214.67,6.63,955888
64.31,3.49,214.93,6.63,666617
70.71,3.47,215.16,6.63,915948
61.5,3.52,215.4,6.49,1248931
69.64,3.62,215.64,6.49,803827
72.02,3.74,215.86,6.49,1599137
74.34,3.81,216.03,6.49,995928
74.75,3.81,216.2,6.49,1260826
66.27,3.91,216.37,6.49,247758
77.38,3.9,216.53,6.49,314557
71.37,3.91,216.3,6.49,1326124
80.14,3.79,216.07,6.49,1158523
83.81,3.7,215.84,6.49,1591558
83.61,3.65,215.61,6.49,959942
86.84,3.64,215.56,6.49,888446
84.76,3.59,215.65,6.49,1401358
85.81,3.52,215.75,6.53,730985
86.64,3.48,215.84,6.53,922886
88.64,3.58,215.93,6.53,1557648
86.97,3.65,215.99,6.53,1341105
89.42,3.68,216.05,6.53,544472
91.07,3.68,216.11,6.53,1255147
90.16,3.64,216.17,6.53,647915
89.35,3.55,216.23,6.53,499911
89.18,3.52,216.3,6.53,1700342
90.38,3.53,216.36,6.53,1083159
79.04,3.55,216.42,6.53,1017497
83.55,3.53,216.6,6.53,499294
78.01,3.47,216.94,6.53,517330
81.16,3.36,217.28,6.53,1797364
71.64,3.29,217.61,6.3,950333
72.36,3.27,217.92,6.3,1818021
66.9,3.35,218.09,6.3,2042099
69.27,3.37,218.25,6.3,1153990
56.71,3.33,218.41,6.3,1264485
60.71,3.3,218.57,6.3,-786581
64.33,3.31,218.79,6.3,760411
61.93,3.24,219.04,6.3,483903
51.14,3.17,219.29,6.3,800067
44.12,3.16,219.54,6.3,1814924
54.42,3.16,219.76,6.3,434158
50.33,3.11,219.94,6.3,1913858
45.62,3.13,220.12,6.3,698007
50.21,3.16,220.3,5.94,717160
48.86,3.26,220.48,5.94,229421
54.65,3.27,220.57,5.94,1017655
54.63,3.29,220.66,5.94,877531
57.35,3.36,220.76,5.94,904508
48.57,3.41,220.85,5.94,681382
48.25,3.51,221.01,5.94,1380550
57.75,3.56,221.22,5.94,1572187
60.66,3.63,221.43,5.94,343439
57.69,3.67,221.65,5.94,669083
63.55,3.73,221.8,5.94,435930
64.44,3.79,221.87,5.94,1436318
67.76,3.85,221.95,5.94,463506
70.4,3.89,222.02,5.8,764740
70.56,3.89,222.1,5.8,678965
67.33,3.88,222.15,5.8,1166150
68.96,3.81,222.21,5.8,1332956
77.1,3.75,222.26,5.8,1340762
73.45,3.69,222.31,5.8,1195416
70.45,3.63,222.33,5.8,907656
78.23,3.56,222.33,5.8,1152512
79.72,3.5,222.33,5.8,562916
81.02,3.45,222.34,5.8,1271755
81.64,3.39,222.35,5.8,1883058
80.57,3.35,222.39,5.8,1482712
87.08,3.29,222.43,5.8,2110453
82.35,3.23,222.47,5.6,438678
80.78,3.26,222.51,5.6,-254424
81.05,3.31,222.52,5.6,1315455
85.06,3.41,222.53,5.6,676201
86.91,3.42,222.54,5.6,1111233
86.96,3.49,222.55,5.6,622561
87.52,3.57,222.63,5.6,1016261
79.45,3.62,222.76,5.6,930566
84.25,3.64,222.9,5.6,1514107
86.3,3.73,223.03,5.6,1071825
76.65,3.72,223.17,5.6,1628520
71.09,3.72,223.37,5.6,2252352
78.33,3.67,223.57,5.6,1238459
71.17,3.62,223.77,5.42,1839288
66.24,3.6,223.97,5.42,1455865
69.17,3.59,224.02,5.42,1248769
71.7,3.51,224.04,5.42,1864073
