VisitIDNumber CorrectOrder TimeOfVisit
127 Accurate 6:13
128 Accurate 4:53
129 Accurate 4:40
130 Accurate 6:53
131 Accurate 4:02
132 Accurate 12:04
133 Accurate 2:14
134 Accurate 5:08
135 Accurate 1:38
136 Accurate 6:14
137 Accurate 12:13
138 Accurate 4:43
139 Accurate 6:30
140 Accurate 11:21
141 Inaccurate 11:36
142 Accurate 11:48
143 Accurate 12:35
144 Accurate 5:40
145 Accurate 5:10
146 Accurate 1:42
147 Accurate 1:03
148 Accurate 1:12
149 Accurate 5:33
150 Accurate 4:37
151 Accurate 11:19
152 Accurate 7:07
153 Accurate 11:24
154 Accurate 5:43
155 Accurate 12:10
156 Accurate 12:29
157 Accurate 12:07
158 Inaccurate 1:21
159 Accurate 4:08
160 Accurate 1:03
161 Accurate 12:01
162 Inaccurate 1:35
163 Accurate 5:59
164 Accurate 12:42
165 Accurate 5:23
166 Accurate 5:47
167 Accurate 5:22
168 Accurate 5:44
169 Accurate 11:13
170 Accurate 6:53
171 Accurate 2:20
172 Accurate 6:36
173 Accurate 4:02
174 Accurate 12:42
175 Accurate 6:38
176 Accurate 5:00
177 Accurate 12:10
178 Accurate 6:25
179 Accurate 7:01
180 Accurate 6:52
181 Accurate 1:45
182 Accurate 2:24
183 Accurate 7:21
184 Inaccurate 6:57
185 Accurate 1:49
186 Accurate 1:37
187 Accurate 5:38
188 Accurate 11:23
189 Accurate 7:23
190 Accurate 4:32
191 Accurate 11:35
192 Accurate 12:46
193 Accurate 4:54
194 Accurate 1:22
195 Accurate 6:12
196 Accurate 7:19
197 Accurate 5:42
198 Accurate 1:51
199 Accurate 4:31
200 Accurate 5:57
201 Accurate 11:32
202 Accurate 5:41
203 Accurate 4:01
204 Accurate 1:52
205 Accurate 4:25
206 Accurate 12:28
207 Accurate 4:38
208 Accurate 1:38
209 Accurate 11:41
210 Accurate 1:25
211 Accurate 5:57
212 Accurate 6:60
213 Accurate 11:43
214 Accurate 2:29
215 Accurate 11:58
216 Accurate 12:03
217 Accurate 11:31
218 Inaccurate 5:26
219 Accurate 5:10
220 Accurate 5:39
221 Inaccurate 2:18
222 Accurate 1:04
223 Accurate 11:20
224 Accurate 4:35
225 Accurate 12:56
226 Accurate 4:27
227 Accurate 7:29
228 Accurate 1:28
229 Accurate 2:09
230 Accurate 1:01
231 Accurate 5:28
232 Accurate 12:02
233 Accurate 12:23
234 Accurate 11:60
235 Accurate 11:58
236 Accurate 2:08
237 Accurate 7:14
238 Accurate 5:27
239 Accurate 4:08
240 Accurate 4:37
241 Inaccurate 12:56
242 Accurate 12:26
243 Accurate 5:35
244 Accurate 1:25
245 Inaccurate 4:21
246 Inaccurate 4:35
247 Inaccurate 2:28
248 Inaccurate 5:43
249 Accurate 6:60
250 Accurate 12:58
251 Accurate 4:11
252 Accurate 11:17
253 Accurate 2:11
254 Accurate 1:13
255 Accurate 6:37
256 Accurate 12:11
257 Accurate 1:22
258 Accurate 6:42
259 Accurate 4:49
260 Accurate 1:34
261 Accurate 2:11
262 Accurate 5:35
263 Accurate 2:29
264 Accurate 7:09
265 Accurate 11:35
266 Accurate 12:11
267 Accurate 11:53
268 Inaccurate 1:54
269 Accurate 1:42
270 Accurate 4:38
271 Accurate 12:36
272 Accurate 11:29
273 Accurate 5:39
274 Accurate 5:53
