PLAYER,POSITION,AtBat,Hits,AVG,BattingHand
Ben Broussard,First-Baseman,82,13,0.159,L
Mark Teixeira,First-Baseman,574,177,0.308,L
Adrian Gonzalez,First-Baseman,616,172,0.279,L
Ryan Garko,First-Baseman,495,135,0.273,L
Lance Berkman,First-Baseman,554,173,0.312,L
Lyle Overbay,First-Baseman,544,147,0.27,L
Prince Fielder,First-Baseman,588,162,0.276,L
Richie Sexson,First-Baseman,280,62,0.221,L
Derrek Lee,First-Baseman,623,181,0.291,L
Dmitri Young,First-Baseman,150,42,0.28,L
Jason Giambi,First-Baseman,458,113,0.247,R
Nick Johnson,First-Baseman,109,24,0.22,R
Miguel Cabrera,First-Baseman,616,180,0.292,R
Miguel Cairo,First-Baseman,221,55,0.249,R
Hank Blalock,First-Baseman,258,74,0.287,R
Frank Catalanotto,First-Baseman,248,68,0.274,R
Wilson Betemit,First-Baseman,189,50,0.265,R
Carlos Pena,First-Baseman,490,121,0.247,R
James Loney,First-Baseman,595,172,0.289,R
Todd Helton,First-Baseman,299,79,0.264,R
Ross Gload,First-Baseman,388,106,0.273,R
Adam LaRoche,First-Baseman,492,133,0.27,R
Chad Tracy,First-Baseman,273,73,0.267,R
Kevin Youkilis,First-Baseman,538,168,0.312,R
Justin Morneau,First-Baseman,623,187,0.3,R
