Industry,LawyersPerBillion
Manufacturing,3.3
Manufacturing,7.28
Manufacturing,6.54
Manufacturing,5.53
Manufacturing,6.06
Manufacturing,4.83
Manufacturing,6.92
Manufacturing,7.17
Manufacturing,5.3
Manufacturing,4.41
Manufacturing,4.99
Manufacturing,6.37
Manufacturing,6.61
Manufacturing,9.6
Manufacturing,7.92
Manufacturing,7.25
Manufacturing,9.91
Manufacturing,7.79
Manufacturing,2.65
Manufacturing,4.19
Manufacturing,6.54
Manufacturing,4.18
Manufacturing,3.83
Manufacturing,8.41
Manufacturing,5.49
Manufacturing,7.66
Manufacturing,4.81
Manufacturing,7.33
Manufacturing,5.77
Manufacturing,5.86
Manufacturing,4.41
Manufacturing,6.25
Manufacturing,4.78
Manufacturing,7.71
Manufacturing,6.46
Manufacturing,5.56
Manufacturing,6.59
Manufacturing,5.54
Manufacturing,2.14
Manufacturing,4.35
Manufacturing,4.54
Manufacturing,3.61
Manufacturing,0.88
Manufacturing,7.48
Manufacturing,6.59
Manufacturing,4.29
Manufacturing,6.34
Manufacturing,3.88
Manufacturing,5.88
Manufacturing,3.62
Manufacturing,6.46
Manufacturing,7.47
Manufacturing,5.55
Manufacturing,5.83
Manufacturing,4.19
Manufacturing,6.26
Manufacturing,6.58
Retail,2.81
Retail,3.17
Retail,3.05
Retail,3.69
Retail,4.5
Retail,2.21
Retail,2.91
Retail,5.88
Retail,3.76
Retail,0.61
Retail,3.4
Retail,2.77
Retail,1.78
Retail,1.8
Retail,0.46
Retail,5.51
Retail,3.22
Retail,4.83
Retail,3.11
Retail,1.67
Retail,4.32
Retail,4.9
Retail,3.8
Retail,2.52
Retail,3.98
Retail,3.47
Retail,0.06
Retail,5.15
Retail,0.88
Retail,4.55
Retail,2.5
Retail,2.5
Retail,3.59
Retail,4.49
Retail,2.5
Retail,2.74
Retail,2.94
Retail,2.5
Retail,4.08
Retail,2.5
Retail,5.11
Retail,4.11
Retail,4.25
Retail,3.68
Retail,2.6
Retail,3.32
Retail,2.51
Retail,5.78
Retail,4.92
Retail,2.5
Retail,6.35
Retail,4.02
Retail,3.99
Retail,3.77
Retail,4.13
Retail,2.5
Retail,2.5
Retail,4.19
